,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,01-06-2020 01:19:35,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0169,11250,4301,383,159,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,01-06-2020 01:19:35,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0138,9198,3517,313,130,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
2,01-06-2020 01:19:35,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,1,нет,Тбилиси,1 гр,0.0318,21155,8088,721,299,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
3,01-06-2020 01:19:35,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.086,63677,24345,2169,900,,,,,,,,,,Metadon 1gr
4,01-06-2020 01:19:35,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0254,16910,6465,576,239,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
5,01-06-2020 01:19:35,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0116,7712,2948,263,109,True,,,,,,,,,✨ 1g. MDMA ✨
6,01-06-2020 01:19:35,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,3,нет,Тбилиси,2 гр,0.0093,6226,2380,212,88,,,,,,,,,,2gr HYBRID buds
7,01-06-2020 01:19:35,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,3,нет,Тбилиси,3 гр,0.0126,8419,3219,287,119,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
8,01-06-2020 01:19:35,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,True,4,нет,Тбилиси,3 гр,0.0091,6155,2353,210,87,,,,,,,,,,3 gr georgian weed. Package on magnet
9,01-06-2020 01:19:35,Tbilisi,3TGJ9,Elegant,4g.марихуана шишки white widow,True,3,нет,Тбилиси,4 гр,0.0186,13797,5275,470,195,,,,,,,,,,4g.marihuana shishki white widow
10,01-06-2020 01:19:35,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,True,3,нет,Тбилиси,4 гр,0.0113,7570,2894,258,107,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
11,01-06-2020 01:19:35,Tbilisi,EIH4,San4oPan4o,!! Lemon Haze 5g!! !!! BTC SALE 5% !!!,,2,нет,Тбилиси,5 гр,0.0205,14080,5383,480,199,,True,,,,,,,,!! Lemon Haze 5g!! !!! BTC SALE 5% !!!
12,01-06-2020 01:19:35,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0312,21226,8115,723,300,,,,,,,,,,5 Grm Mdma Pure Quality A +++
13,01-06-2020 01:19:35,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,10,нет,Тбилиси,5 гр,0.0146,9835,3760,335,139,,,,,,,,,,5 gr georgian weed. Package on magnet
