,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,03-06-2020 08:00:55,Tbilisi,8ddca45a78,"0,5g LEMON SKUNK (Hybrid, more Sativa)",True,9,нет,Тбилиси,0.5 гр,0.0031,2070,807,72,30.0,,,,,,,,,,"0,5g LEMON SKUNK (Hybrid, more Sativa)"
1,1,03-06-2020 08:00:55,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,1,нет,Тбилиси,1 гр,0.0058,3794,1480,132,55.0,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
2,2,03-06-2020 08:00:55,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0858,62085,24210,2158,900.0,,,,,,,,,,Metadon 1gr
3,3,03-06-2020 08:00:55,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,True,2,нет,Тбилиси,1 гр,0.0253,16487,6429,573,239.0,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
4,4,03-06-2020 08:00:55,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0115,7519,2932,261,109.0,True,,,,,,,,,✨ 1g. MDMA ✨
5,5,03-06-2020 08:00:55,Tbilisi,be97026d1d,!!! Iranian Sirec 1.5g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,,1,нет,Тбилиси,1.5 гр,0.0744,49906,19533,1738,,,True,650.0,,,,,,,!!! Iranian Sirec 1.5g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
6,6,03-06-2020 08:00:55,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,2,нет,Тбилиси,2 гр,0.0093,6140,2394,213,89.0,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
7,7,03-06-2020 08:00:55,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,3 гр,0.0126,8209,3201,285,119.0,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
8,8,03-06-2020 08:00:55,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0111,7243,2825,252,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
9,9,03-06-2020 08:00:55,Tbilisi,8528108b62,4g.марихуана шишки white widow,True,2,нет,Тбилиси,4 гр,0.0186,13452,5246,468,195.0,,,,,,,,,,4g.marihuana shishki white widow
10,10,03-06-2020 08:00:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,1,нет,Тбилиси,4 гр,0.0112,7381,2878,257,107.0,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
11,11,03-06-2020 08:00:55,Tbilisi,97d5fcd29b,Suboxene 4mg,True,1,нет,Тбилиси,4 гр,0.0055,3794,1480,132,55.0,,,,,,,,,,Suboxene 4mg
12,12,03-06-2020 08:00:55,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0312,20695,8070,719,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
13,13,03-06-2020 08:00:55,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,10,нет,Тбилиси,5 гр,0.0146,9589,3739,333,139.0,,,,,,,,,,5 gr georgian weed. Package on magnet
