,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,28-05-2020 19:16:16,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,5,нет,Тбилиси,0.25 гр,0.0103,7110,2711,241,100,,,,,,,,,,,Iranian Sirec 0.25g.
1,28-05-2020 19:16:16,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,16,нет,Тбилиси,0.5 гр,0.0166,11305,4310,383,159,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,28-05-2020 19:16:16,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,3,нет,Тбилиси,0.5 гр,0.0057,3911,1491,133,55,True,,,,,,,,,,HQ Euro Hashish 0.5 g
3,28-05-2020 19:16:16,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,8,нет,Тбилиси,0.5 гр,0.003,2062,786,70,29,,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,28-05-2020 19:16:16,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,3,нет,Тбилиси,0.5 гр,0.003,2062,786,70,29,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
5,28-05-2020 19:16:16,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,19,нет,Тбилиси,1 гр,0.0312,21259,8106,720,299,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
6,28-05-2020 19:16:16,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 1 Gr,True,1,нет,Тбилиси,1 гр,0.0054,3697,1410,125,52,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
7,28-05-2020 19:16:16,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0845,63991,24399,2168,900,,,,,,,,,,,Metadon 1gr
8,28-05-2020 19:16:16,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0114,7750,2955,263,109,True,,,,,,,,,,✨ 1g. MDMA ✨
9,28-05-2020 19:16:16,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,4,нет,Тбилиси,2 гр,0.0091,6257,2386,212,88,,,,,,,,,,,2gr HYBRID buds
10,28-05-2020 19:16:16,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,2 гр,0.0073,4977,1898,169,70,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
11,28-05-2020 19:16:16,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0088,6044,2304,205,85,True,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
12,28-05-2020 19:16:16,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,9,нет,Тбилиси,3 гр,0.0124,8461,3226,287,119,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
13,28-05-2020 19:16:16,Tbilisi,3TGJ9,Elegant,3g. марихуана шишки Critical,True,2,нет,Тбилиси,3 гр,0.0141,10665,4067,361,150,,,,,,,,,,,3g. marihuana shishki Critical
14,28-05-2020 19:16:16,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,2,нет,Тбилиси,3 гр,0.0334,23463,8946,795,330,,,True,,,,,,,,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
15,28-05-2020 19:16:16,Tbilisi,9VLN,AlienShop,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,2,нет,Тбилиси,3 гр,0.012,8177,3118,277,115,True,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
16,28-05-2020 19:16:16,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,True,1,нет,Тбилиси,4 гр,0.0111,7608,2901,258,107,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
17,28-05-2020 19:16:16,Tbilisi,EIH4,San4oPan4o,!!Critical Kush 5g!! !!! BTC SALE 5% !!!,,2,нет,Тбилиси,5 гр,0.0242,16993,6479,576,239,,,,True,,,,,,,!!Critical Kush 5g!! !!! BTC SALE 5% !!!
18,28-05-2020 19:16:16,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0183,12443,4744,422,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
19,28-05-2020 19:16:16,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - INDICA - 5 G.,True,2,нет,Тбилиси,5 гр,0.0261,17775,6778,602,250,,,,,,,,,,,MARIXYANA - INDICA - 5 G.
20,28-05-2020 19:16:16,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0451,31996,12200,1084,450,,,,,,,,,,,Gashish Evro 10gr
21,28-05-2020 19:16:16,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,True,7,нет,Тбилиси,20 гр,0.0034,2560,976,87,36,,,,,,,,,,,GABAGAMA 20 SHTUK
22,28-05-2020 19:16:16,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.077,55246,21064,1872,777,,,,,,,,,,,Gashish Evro 20gr
23,28-05-2020 19:16:16,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0075,5688,2169,193,80,,,,,,,,,,,GABAGAMA 50 SHTUK
24,28-05-2020 19:16:16,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1878,142202,54220,4818,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
25,28-05-2020 19:16:16,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0174,13154,5015,446,185,,,,,,,,,,,GABAGAMA 150 shtuk
26,28-05-2020 19:16:16,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.0219,14931,5693,506,210,,,,,,,,,,,✨✨2gram. MDMA✨✨
