,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Old Tbilisi (Старый город),$,Saburtalo,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
21,15-05-2020 23:35:10,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0182,4699,429,12811,,175,,,,,,,,5x Extasy Duracell 223mg MDMA.
22,15-05-2020 23:35:10,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1147,30878,2819,84186,,1150,,,,,,,,VHQ BEST Cocaine 5g.
23,15-05-2020 23:35:10,Tbilisi,ETHA6,PABLITTO,GEORGIAN MARIJUANA - 7 GRAM,True,4,нет,Тбилиси,7 гр,0.0084,2417,221,6589,,90,,,,,,,,GEORGIAN MARIJUANA - 7 GRAM
24,15-05-2020 23:35:10,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,8,нет,Тбилиси,10 гр,0.0205,5343,488,14568,,199,True,True,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
25,15-05-2020 23:35:10,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0395,10740,980,29282,,400,,,,,,,,gashish evro 10g
26,15-05-2020 23:35:10,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0767,20862,1905,56881,,777,,,,,,,,Gashish Evro 20gr
27,15-05-2020 23:35:10,Tbilisi,ETHA6,PABLITTO,GEORGIAN MARIJUANA 44-GRAMM,True,1,нет,Тбилиси,44 гр,0.0468,13425,1226,36603,,500,,,,,,,,GEORGIAN MARIJUANA 44-GRAMM
28,15-05-2020 23:35:10,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.187,53700,4902,146411,,2000,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
29,15-05-2020 23:35:10,Tbilisi,A3I9,Joookerrr,Бупренорфин!!! Аналог суботекса!!! 0.1 грамма (предзаказ скидка 10%),True,нет,5,Тбилиси,0.1 гр,0.005,1305,119,3561,,,,,45,,,,,Buprenorfin!!! Analog suboteksa!!! 0.1 gramma (predzakaz skidka 10%)
30,15-05-2020 23:35:10,Tbilisi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.01,2610,238,7122,,,,,90,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
31,15-05-2020 23:35:10,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,8,Тбилиси,0.5 гр,0.0077,2014,184,5490,,75,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
32,15-05-2020 23:35:10,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0165,4296,392,11713,,160,,,,,,,,"""Kief"" Weed trichomes 1G"
33,15-05-2020 23:35:10,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,3,Тбилиси,2 гр,0.0383,9908,905,27013,,369,,,,,,,,❄❄2g HQ COCAINE❄❄
34,15-05-2020 23:36:04,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0145,3759,343,10249,,140,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
35,15-05-2020 23:36:04,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0569,14768,1348,40263,,550,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
36,15-05-2020 23:36:04,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0243,6310,576,17203,,235,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
37,15-05-2020 23:36:04,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0248,6444,588,17569,,240,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
