,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
40,09-05-2020 19:25:11,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0245,17729,6506,586,240,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
41,09-05-2020 19:25:11,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0245,17729,6506,586,240,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
42,09-05-2020 19:25:11,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,True,нет,10,Тбилиси,5 гр,0.0245,17729,6506,586,240,,,,,,,,,5gr Stardawg Auto WEED BUDS
43,09-05-2020 19:25:11,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0235,16991,6235,562,230,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
44,09-05-2020 19:25:11,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0203,16178,5937,535,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
45,09-05-2020 19:25:11,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.024,17360,6371,574,235,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
46,09-05-2020 19:25:11,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0163,11820,4338,391,160,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
47,09-05-2020 19:25:11,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2387,190000,87429,6279,,,,,,,,,,reagent 25i nbome. 5gr
48,09-05-2020 19:25:11,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2784,221618,81330,7325,3000,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
49,09-05-2020 19:25:11,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.0989,70844,25998,2341,959,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
50,09-05-2020 19:25:11,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,2,Тбилиси,5 гр,0.0195,13962,5124,461,189,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
51,09-05-2020 19:25:11,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0196,14036,5151,464,190,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
52,09-05-2020 19:25:11,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0504,36124,13257,1194,489,,,,,,,,,💘✨5g. MDMA ✨💘
53,09-05-2020 19:25:11,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0195,13962,5124,461,189,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
54,09-05-2020 19:25:11,Tbilisi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 8 шт",True,нет,4,Тбилиси,8 гр,0.0082,5910,2169,195,80,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
55,09-05-2020 19:25:11,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0919,66485,24399,2197,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
56,09-05-2020 19:25:11,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0408,29549,10844,977,400,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
57,09-05-2020 19:25:11,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0715,51711,18977,1709,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
58,09-05-2020 19:25:11,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0429,31026,11386,1025,420,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
59,09-05-2020 19:25:11,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0102,7387,2711,244,100,,,,,,,,,10G Hybrid Marijuana Leafs
60,09-05-2020 19:25:11,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0817,59098,21688,1953,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
61,09-05-2020 19:25:11,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0296,21423,7862,708,290,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
62,09-05-2020 19:25:11,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2271,164366,60320,5432,2225,,,,,,,,,Amfetamin [White] [Import] 10G
63,09-05-2020 19:25:11,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1607,115167,42264,3806,1559,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
64,09-05-2020 19:25:11,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.038,27259,10004,901,369,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
65,09-05-2020 19:25:11,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5155,369363,135550,12208,5000,,,,,,,,,METADON - 20 G.
66,09-05-2020 19:25:11,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0618,44250,16239,1462,599,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
67,09-05-2020 19:25:11,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1123,81260,29821,2686,1100,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
68,09-05-2020 19:25:11,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.245,177294,65064,5860,2400,,,,,,,,,100 gr marijuana buds
69,09-05-2020 19:25:54,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2041,147745,54220,4883,2000,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
70,09-05-2020 19:25:54,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2552,184681,67775,6104,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,09-05-2020 19:25:54,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6022,435848,159949,14405,5900,,,,,,,,,180 gr marihuana persoalno
72,09-05-2020 19:25:54,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4695,339814,124706,11231,4600,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
73,09-05-2020 19:25:54,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7655,554044,203325,18311,7500,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
74,09-05-2020 19:25:54,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8676,627916,230435,20753,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,09-05-2020 19:25:54,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0186,14775,5422,488,200,,,,,,,,,KURYER..500RUB.+BONUS
76,09-05-2020 19:25:54,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0204,14775,5422,488,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,09-05-2020 19:25:54,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0255,18468,6778,610,250,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,09-05-2020 19:25:54,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0204,14775,5422,488,200,,,,,,,,,Rabota na marki (kur'er)
79,09-05-2020 19:25:54,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.545,1108088,406650,36623,15000,,,,,,,,,Vakansija optovogo kur'era na mef
80,09-05-2020 19:28:02,Batumi,CLHMD,BatumiBiz,BatumiBiz - Марихуана Бошки [2 gram],,2,нет,Батуми,2 гр,0.006,4358,1599,144,59,,,,,,True,,,BatumiBiz - Marihuana Boshki [2 gram]
81,09-05-2020 19:28:02,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,1,нет,Батуми,2 гр,0.0037,2640,969,87,,,,33,,,True,,,Batumi n-booom 2 shtuki
82,09-05-2020 19:28:02,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.225,162520,59642,5371,2200,,,,,,,True,,[100g] SPAIN HASH
83,09-05-2020 19:28:02,Batumi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 8 шт",,нет,7,Батуми,8 гр,0.0082,5910,2169,195,80,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 8 sht"
84,09-05-2020 19:28:02,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1564,112990,51992,3734,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
85,09-05-2020 19:28:02,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2477,178900,82321,5912,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
86,09-05-2020 19:28:02,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,7387,2711,244,100,,,,,,,True,,kur'er v Batumi
87,09-05-2020 19:28:02,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0232,18468,6778,610,250,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
88,09-05-2020 19:28:02,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0232,18468,6778,610,250,,,,,,,True,,Ischu kur'era v Gruzii!
89,09-05-2020 19:28:02,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5482,1108088,406650,36623,15000,,,,,,,True,,Vakansija optovogo kur'era na mef
90,09-05-2020 19:28:02,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0511,36936,13555,1221,500,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
91,09-05-2020 19:29:37,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,2,нет,Кутаиси,1.5 гр,0.0189,13666,5015,452,185,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
92,09-05-2020 19:29:37,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,7,нет,Кутаиси,2 гр,0.0496,35828,13148,1184,485,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
93,09-05-2020 19:29:37,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,9,нет,Кутаиси,3 гр,0.0338,24378,8946,806,330,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
94,09-05-2020 19:29:37,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0205,14775,5422,488,200,,,,,,,,True,Rabota na marki (kur'er)
