,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,€,Дигоми,Varketili,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,13-02-2020 01:15:21,Tbilisi,21de5577be,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,6,нет,Тбилиси,0.5 гр,0.0027,1828,715,64,29.0,,,,True,True,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
11,11,13-02-2020 01:15:21,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,7,нет,Тбилиси,0.5 гр,0.0104,6935,2710,241,110.0,,,,,,,,,,,,"Cocaine, 0.5 g"
12,12,13-02-2020 01:15:21,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0057,3783,1478,132,60.0,,,,,,,,,,,,Ketamine 0.5g
13,13,13-02-2020 01:15:21,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0257,18914,7392,658,300.0,,,,,,,,,,,,Metadon VHQ 0.5 24/7
14,14,13-02-2020 01:15:21,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,3,нет,Тбилиси,0.5 гр,0.0094,6242,2439,217,99.0,,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
15,15,13-02-2020 01:15:21,Tbilisi,61df6a1c90,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0257,18914,7392,658,300.0,,,,,,,,,,,,Metadon 0.6gr
16,16,13-02-2020 01:15:21,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,3,нет,Тбилиси,0.8 гр,0.0113,7566,2957,263,120.0,,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
17,17,13-02-2020 01:15:21,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,20,нет,Тбилиси,1 гр,0.0039,2837,1109,99,45.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
18,18,13-02-2020 01:15:21,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,5,нет,Тбилиси,1 гр,0.0047,3152,1232,110,50.0,,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
19,19,13-02-2020 01:15:21,Tbilisi,21de5577be,1 gr. Blue Berry Kush 100% Natural/Indika/ Import,,6,нет,Тбилиси,1 гр,0.0042,2837,1109,99,45.0,True,,,,True,,,,,,,1 gr. Blue Berry Kush 100% Natural/Indika/ Import
20,20,13-02-2020 01:15:21,Tbilisi,366326d4d6,1g MDMA - !!!NEW!!! - Purity 93%,True,7,нет,Тбилиси,1 гр,0.0104,6872,2686,239,109.0,,,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
21,21,13-02-2020 01:15:21,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,8,нет,Тбилиси,1 гр,0.0209,13870,5421,482,220.0,,,,,,,,,,,,"Cocaine, 1g"
22,22,13-02-2020 01:15:21,Tbilisi,8219f5e7b8,Ketamine 1g,True,4,нет,Тбилиси,1 гр,0.0095,6305,2464,219,100.0,,,,,,,,,,,,Ketamine 1g
23,23,13-02-2020 01:15:21,Tbilisi,366326d4d6,Ketamine 1g.,True,1,нет,Тбилиси,1 гр,0.0085,5611,2193,195,89.0,,,,,,,,,,,,Ketamine 1g.
24,24,13-02-2020 01:15:21,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,1,нет,Тбилиси,1 гр,0.0038,2522,986,88,40.0,,,,,,,,,,,,"LSD - 250 ug, 1piece"
25,25,13-02-2020 01:15:21,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,4,нет,Тбилиси,1 гр,0.0428,31524,12320,1096,500.0,,,,,,,,,,,,Metadon VHQ 1 24/7
26,26,13-02-2020 01:15:21,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,4,нет,Тбилиси,1 гр,0.018000000000000002,11916,4657,414,189.0,,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
27,27,13-02-2020 01:15:21,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,13,нет,Тбилиси,1 гр,0.0111,8196,3203,285,130.0,,,,,,,,,,,,NZT-52 mind storm limited 1g muka
28,28,13-02-2020 01:15:21,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,5,нет,Тбилиси,1 гр,0.0135,9457,3696,329,150.0,,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
29,29,13-02-2020 01:15:21,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,6,нет,Тбилиси,1 гр,0.0187,12546,4903,436,199.0,,,,,,True,,,,,,Kokain KOLUMBIA 1g
30,30,13-02-2020 01:15:21,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0406,28371,11088,987,450.0,,,,,,,,,,,,Metadon 1gr
31,31,13-02-2020 01:15:21,Tbilisi,e8a987a33c,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0376,25219,9856,877,400.0,,,,,,,,,,,,"Metadon, 1gr"
32,32,13-02-2020 01:16:04,Tbilisi,7ee4f68218,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,2,нет,Тбилиси,2 гр,0.0069,4815,1882,167,,,,70.0,,,,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
33,33,13-02-2020 01:16:04,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0067,4413,1725,153,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
34,34,13-02-2020 01:16:04,Tbilisi,7ee4f68218,2гр ГАШИШ,True,2,нет,Тбилиси,2 гр,0.0099,6935,2710,241,110.0,,,,,,,,,,,,2gr GAShISh
35,35,13-02-2020 01:16:04,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0355,24273,9486,844,385.0,,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
36,36,13-02-2020 01:16:04,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,2,нет,Тбилиси,2 гр,0.0067,4413,1725,153,70.0,,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
37,37,13-02-2020 01:16:04,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0197,14501,5667,504,230.0,,,,,,,,,,,,NZT-52 mind storm limited 2g muka
38,38,13-02-2020 01:16:04,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,5,нет,Тбилиси,2 гр,0.0376,25156,9831,875,399.0,,,,,,True,,,,,,Kokain KOLUMBIA 2g
39,39,13-02-2020 01:16:04,Tbilisi,edfbad0151,VHQ Cx Columbia Import 2+0.2G High Quality,True,2,нет,Тбилиси,2.2 гр,0.0281,19229,7515,669,305.0,,,,,,,,,,,,VHQ Cx Columbia Import 2+0.2G High Quality
40,40,13-02-2020 01:16:04,Tbilisi,ad9cb826c6,"3 Grm Mdma , Purity A +++",True,3,нет,Тбилиси,3 гр,0.0188,13870,5421,482,220.0,,,,,,,,,,,,"3 Grm Mdma , Purity A +++"
41,41,13-02-2020 01:16:04,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.01,6620,2587,230,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
42,42,13-02-2020 01:16:04,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0282,20806,8131,724,330.0,,,,,,,,,,,,NZT-52 mind storm limited 3g muka
43,43,13-02-2020 01:16:04,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,3,нет,Тбилиси,3 гр,0.0113,7503,2932,261,119.0,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
44,44,13-02-2020 01:16:04,Tbilisi,edfbad0151,"VHQ Cx Columbia Import 3+0.3G High Quality ""Btc -10% Sale""",True,1,нет,Тбилиси,3.3 гр,0.0385,28371,11088,987,450.0,,,,,,,,,,,,"VHQ Cx Columbia Import 3+0.3G High Quality ""Btc -10% Sale"""
45,45,13-02-2020 01:16:04,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0151,10024,3918,349,159.0,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
46,46,13-02-2020 01:16:04,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0147,9772,3819,340,155.0,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
47,47,13-02-2020 01:16:04,Tbilisi,9795761a65,*new* Cocaine peru HQ 5 gr BTC -10 %,True,1,нет,Тбилиси,5 гр,0.0829,61080,23878,2124,,,,888.0,,,,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
48,48,13-02-2020 01:16:04,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0274,20175,7885,702,320.0,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
49,49,13-02-2020 01:16:04,Tbilisi,366326d4d6,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0808,53590,20944,1864,850.0,,,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
50,50,13-02-2020 01:16:04,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.0151,10024,3918,349,159.0,,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
51,51,13-02-2020 01:16:04,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,2,нет,Тбилиси,5 гр,0.0146,9709,3795,338,154.0,,,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
52,52,13-02-2020 01:16:04,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.0735,54157,21166,1883,859.0,,,,,,,,,,,,VHQ BEST Cocaine 5g.
53,53,13-02-2020 01:16:04,Tbilisi,c225d2f67d,гашиш евро 5г,True,2,нет,Тбилиси,5 гр,0.019,13240,5174,460,210.0,,,,,,,,,,,,gashish evro 5g
54,54,13-02-2020 01:16:04,Tbilisi,edfbad0151,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale""",True,1,нет,Тбилиси,6 гр,0.0738,50438,19712,1754,800.0,,,,,,,,,,,,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale"""
55,55,13-02-2020 01:16:04,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0361,25219,9856,877,400.0,,,,,,,,,,,,gashish evro 10g
56,56,13-02-2020 01:16:04,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,22,нет,Тбилиси,10 гр,0.0086,6305,2464,219,100.0,,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
57,57,13-02-2020 01:16:04,Tbilisi,9795761a65,* SALE * COCAINE Peru 11 gr BTC -50 %,True,2,нет,Тбилиси,11 гр,0.0864,114595,44799,3985,,,,1666.0,,,,,,,,,* SALE * COCAINE Peru 11 gr BTC -50 %
58,58,13-02-2020 01:16:04,Tbilisi,436325081c,weed leaves 13gr +,True,3,нет,Тбилиси,13 гр,0.0056,4161,1626,145,66.0,,,,,,,,,,,,weed leaves 13gr +
