,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,17-02-2020 21:31:07,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,3,нет,Тбилиси,0.15 гр,0.0119,8230,3186,286,130,,,,,,,,,,Metadon 0.15gr
1,17-02-2020 21:31:07,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g. PODEZD,True,2,нет,Тбилиси,0.25 гр,0.006,3799,1471,132,60,,,,,,,,,,Iranian Sirec 0.25g. PODEZD
2,17-02-2020 21:31:07,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0164,11396,4412,396,180,,,,,,,,,,Metadon VHQ 0.25 24/7
3,17-02-2020 21:31:07,Tbilisi,OSN8,KOLOVSKI,geroin 0.25,True,1,нет,Тбилиси,0.25 гр,0.0055,3799,1471,132,60,,,,,,,,,,geroin 0.25
4,17-02-2020 21:31:07,Tbilisi,RM0T,Funtomass,"methadone 0,29 gr",,2,нет,Тбилиси,0.29 гр,0.0211,13295,5147,462,210,True,,,,,,,,,"methadone 0,29 gr"
5,17-02-2020 21:31:07,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,5,нет,Тбилиси,0.3 гр,0.0164,12029,4657,418,190,,,,,,,,,,Metadon 0.30gr
6,17-02-2020 21:31:07,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,7,нет,Тбилиси,0.5 гр,0.0111,6901,2672,240,109,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
7,17-02-2020 21:31:07,Tbilisi,7R3WM,RastaShop,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,5,нет,Тбилиси,0.5 гр,0.0029,1836,711,64,29,True,True,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
8,17-02-2020 21:31:07,Tbilisi,5JG6,BenderMan,"Cocaine, 0.5 g",True,3,нет,Тбилиси,0.5 гр,0.0111,6964,2696,242,110,,,,,,,,,,"Cocaine, 0.5 g"
9,17-02-2020 21:31:07,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0265,18359,7108,638,290,,,,,,,,,,Metadon VHQ 0.5 24/7
10,17-02-2020 21:31:07,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,2,нет,Тбилиси,0.5 гр,0.01,6268,2426,218,99,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
11,17-02-2020 21:31:07,Tbilisi,UJP9,420Inc,Pineapple Express 0.5G pressed buds only (hydro),True,11,нет,Тбилиси,0.5 гр,0.003,1899,735,66,30,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
12,17-02-2020 21:31:07,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0105,6901,2672,240,109,,,,,,,,,,Pure COCAINE VHQ 0.5g
13,17-02-2020 21:31:07,Tbilisi,RM0T,Funtomass,"methadone 0,55 gr",True,1,нет,Тбилиси,0.55 гр,0.0482,30388,11765,1055,480,,,,,,,,,,"methadone 0,55 gr"
14,17-02-2020 21:31:07,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0274,18993,7353,660,300,,,,,,,,,,Metadon 0.6gr
15,17-02-2020 21:31:07,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,1,нет,Тбилиси,0.8 гр,0.0121,7597,2941,264,120,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
16,17-02-2020 21:31:07,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,True,5,нет,Тбилиси,1 гр,0.0121,7597,2941,264,120,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
17,17-02-2020 21:31:07,Tbilisi,JVZTQ,partyshop,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,2,нет,Тбилиси,1 гр,0.009,5698,2206,198,90,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
18,17-02-2020 21:31:07,Tbilisi,7R3WM,RastaShop,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,4,нет,Тбилиси,1 гр,0.0045,2849,1103,99,45,,True,,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
19,17-02-2020 21:31:07,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,2,нет,Тбилиси,1 гр,0.0085,5381,2083,187,85,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
20,17-02-2020 21:31:07,Tbilisi,ABOAB,ProGrow,1G -- AK-47 -> Sativa,,5,нет,Тбилиси,1 гр,0.004,2596,1005,90,41,True,,,,,,,,,1G -- AK-47 -> Sativa
21,17-02-2020 21:31:07,Tbilisi,OX85,amnesia420,1g BLUE CHEESE Indica THC 18% / BTC -10% sale,True,2,нет,Тбилиси,1 гр,0.0036,2469,956,86,39,,,,,,,,,,1g BLUE CHEESE Indica THC 18% / BTC -10% sale
22,17-02-2020 21:31:07,Tbilisi,SF03,CRAZYFROG,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0093,5833,2261,203,,,,85,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
23,17-02-2020 21:31:07,Tbilisi,5JG6,BenderMan,Ketamine 1g,True,3,нет,Тбилиси,1 гр,0.0101,6331,2451,220,100,,,,,,,,,,Ketamine 1g
24,17-02-2020 21:31:07,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 1piece",True,4,нет,Тбилиси,1 гр,0.0041,2532,980,88,40,,,,,,,,,,"LSD - 250 ug, 1piece"
25,17-02-2020 21:31:07,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.0g BTC SALE 5%(ПОДЪЕЗД!!!),,1,нет,Тбилиси,1 гр,0.0103,6647,2574,231,105,,True,,,,,,,,MDMA from Europe!!! 1.0g BTC SALE 5%(POD'EZD!!!)
26,17-02-2020 21:31:07,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0456,31654,12255,1099,500,,,,,,,,,,Metadon VHQ 1 24/7
27,17-02-2020 21:31:07,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0192,11965,4632,416,189,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
28,17-02-2020 21:31:07,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,7,нет,Тбилиси,1 гр,0.0192,12598,4877,438,199,,,,,,,,,,VHQ BEST Cocaine 1g.
29,17-02-2020 21:31:07,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0169,11079,4289,385,175,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
30,17-02-2020 21:31:07,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0188,11965,4632,416,189,,,,,,,,,,Kokain HQ 1g.
31,17-02-2020 21:32:18,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.018,11332,4387,394,179,,,,True,,,,,,Kokain KOLUMBIA 1g
32,17-02-2020 21:32:18,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,5,нет,Тбилиси,1 гр,0.0411,28489,11030,989,450,,,,,,,,,,Metadon 1gr
33,17-02-2020 21:32:18,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,5,нет,Тбилиси,1 гр,0.0402,25323,9804,879,400,,,,,,,,,,"Metadon, 1gr"
34,17-02-2020 21:32:18,Tbilisi,Y6FO,Opiate,Methadone HQ in city 1.3g,True,1,нет,Тбилиси,1.3 гр,0.0552,34820,13481,1209,550,,,,,,,,,,Methadone HQ in city 1.3g
35,17-02-2020 21:32:18,Tbilisi,LYHBG,Playboy,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,4,нет,Тбилиси,2 гр,0.008,5001,1936,174,79,,,,,,,,,,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
36,17-02-2020 21:32:18,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,1,нет,Тбилиси,2 гр,0.0078,5381,2083,187,85,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
37,17-02-2020 21:32:18,Tbilisi,7R3WM,RastaShop,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,2,нет,Тбилиси,2 гр,0.0082,5191,2010,180,82,True,True,,,,,,,,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
38,17-02-2020 21:32:18,Tbilisi,ABOAB,ProGrow,2G -- AK-47 -> Sativa,,9,нет,Тбилиси,2 гр,0.0079,5065,1961,176,80,True,,,,,,,,,2G -- AK-47 -> Sativa
39,17-02-2020 21:32:18,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,6,нет,Тбилиси,2 гр,0.008,5001,1936,174,79,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
40,17-02-2020 21:32:18,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,2 гр,0.0365,22791,8824,792,360,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
41,17-02-2020 21:32:18,Tbilisi,0WE,Khachapuri,2гр ГАШИШ,True,2,нет,Тбилиси,2 гр,0.0106,6964,2696,242,110,,,,,,,,,,2gr GAShISh
42,17-02-2020 21:32:18,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0349,22475,8701,781,355,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
43,17-02-2020 21:32:18,Tbilisi,V4QM9,PotHero420,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 2G (BTC sale 10%)",,5,нет,Тбилиси,2 гр,0.008,5571,2157,193,88,True,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 2G (BTC sale 10%)"
44,17-02-2020 21:32:18,Tbilisi,Z9UT,Rainbow,KALI MIST 2G,,8,нет,Тбилиси,2 гр,0.01,6331,2451,220,100,True,,,,,,,,,KALI MIST 2G
45,17-02-2020 21:32:18,Tbilisi,5JG6,BenderMan,Ketamine 2 g,True,1,нет,Тбилиси,2 гр,0.0182,11396,4412,396,180,,,,,,,,,,Ketamine 2 g
46,17-02-2020 21:32:18,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 2g BTC SALE 5%(ПОДЪЕЗД!!!),,3,нет,Тбилиси,2 гр,0.0192,12345,4779,429,195,,True,,,,,,,,MDMA from Europe!!! 2g BTC SALE 5%(POD'EZD!!!)
