,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Didube,$,Vazisubani,Saburtalo,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,13-05-2020 22:14:19,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,True,14,нет,Тбилиси,0.3 гр,0.01,3221,232,7000,,,,,,,,,,,,0.3 a-pvp white
1,13-05-2020 22:14:19,Tbilisi,HWUW,opiopi,suboxsone 0.4 g,True,2,нет,Тбилиси,0.4 гр,0.0038,1076,98,2943,True,40,,,,,,,,,,suboxsone 0.4 g
2,13-05-2020 22:14:19,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0169,4277,388,11700,,159,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,13-05-2020 22:14:19,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0248,6322,573,17292,,235,,,,,,,,,,Cocaine Pure VHQ 1g
4,13-05-2020 22:14:19,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.025,6456,585,17660,,240,,,,,,,,,,VHQ BEST Cocaine 1g.
5,13-05-2020 22:14:19,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0862,24210,2195,66224,,900,,,,,,,,,,Metadon 1gr
6,13-05-2020 22:14:19,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0254,6429,583,17586,True,239,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
7,13-05-2020 22:14:19,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,2 гр,0.0105,2690,244,7358,,100,,,,,,,,,,2 G Hybrid Marijuana Buds
8,13-05-2020 22:14:19,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,6,нет,Тбилиси,2 гр,0.0095,2394,217,6549,,89,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
9,13-05-2020 22:14:19,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0074,1883,171,5151,,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
10,13-05-2020 22:14:19,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0094,2394,217,6549,,89,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
11,13-05-2020 22:14:19,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0501,12912,1171,35319,,480,,,,,,,,,,VHQ BEST Cocaine 2g.
12,13-05-2020 22:14:19,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.009,2287,207,6254,,85,,True,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
13,13-05-2020 22:14:19,Tbilisi,LYHBG,Playboy,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,6,нет,Тбилиси,3 гр,0.0127,3201,290,8756,,119,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
14,13-05-2020 22:14:19,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0112,2825,256,7726,,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
