,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Vazisubani,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
24,25-05-2020 04:18:08,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.0234,15095,5681,504,210,,,,,,,,,,,,,✨✨2gram. MDMA✨✨
25,25-05-2020 04:18:08,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,8,Тбилиси,2 гр,0.0412,26524,9981,885,369,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
26,25-05-2020 04:18:08,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0646,41619,15662,1389,579,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
27,25-05-2020 04:18:08,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0442,28752,10820,959,400,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
28,25-05-2020 04:18:08,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0155,10063,3787,336,140,True,,,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
29,25-05-2020 04:18:08,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0608,39534,14878,1319,550,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
30,25-05-2020 04:18:08,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.026,16892,6357,564,235,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
31,25-05-2020 04:18:08,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0265,17251,6492,576,240,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
32,25-05-2020 04:18:08,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0254,16533,6222,552,230,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
33,25-05-2020 04:18:08,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,1,Тбилиси,5 гр,0.0176,11429,4301,381,159,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
34,25-05-2020 04:18:36,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0266,17251,6492,576,240,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
35,25-05-2020 04:18:36,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0266,17251,6492,576,240,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
36,25-05-2020 04:18:36,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0255,16533,6222,552,230,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
37,25-05-2020 04:18:36,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.022,15742,5924,525,219,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
38,25-05-2020 04:18:36,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.026,16892,6357,564,235,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
39,25-05-2020 04:18:36,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0277,17970,6763,600,250,,,,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
40,25-05-2020 04:18:36,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2661,190000,87429,6351,,,,,,,,,,,,,,reagent 25i nbome. 5gr
41,25-05-2020 04:18:36,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.302,215641,81150,7196,3000,,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
42,25-05-2020 04:18:36,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1072,68933,25941,2300,959,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
43,25-05-2020 04:18:36,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0212,13657,5140,456,190,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
44,25-05-2020 04:18:36,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,3,Тбилиси,5 гр,0.0547,35150,13227,1173,489,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
45,25-05-2020 04:18:36,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.0211,13585,5112,453,189,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
46,25-05-2020 04:18:36,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0996,64692,24345,2159,900,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
47,25-05-2020 04:18:36,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0443,28752,10820,959,400,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
48,25-05-2020 04:18:36,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0775,50316,18935,1679,700,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
49,25-05-2020 04:18:36,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0465,30190,11361,1007,420,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
50,25-05-2020 04:18:36,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.0149,9704,3652,324,135,,,,,,,,,,,,,10G Hybrid Marijuana Leafs
51,25-05-2020 04:18:36,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0886,57504,21640,1919,800,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
52,25-05-2020 04:18:36,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2464,159934,60186,5337,2225,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
53,25-05-2020 04:18:36,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1743,112062,42171,3739,1559,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
54,25-05-2020 04:18:36,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0413,26524,9981,885,369,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
55,25-05-2020 04:18:36,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0352,22642,8521,756,315,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
56,25-05-2020 04:18:36,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5591,359402,135250,11993,5000,,,,,,,,,,,,,METADON - 20 G.
57,25-05-2020 04:18:36,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.067,43056,16203,1437,599,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
58,25-05-2020 04:18:36,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1438,93373,35138,3116,1299,,,,,,,,,,,,,50 gr georgian weed. Package on magnet
59,25-05-2020 04:18:36,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1218,79068,29755,2638,1100,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
60,25-05-2020 04:18:36,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2767,179629,67598,5994,2499,,,,,,,,,,,,,100 gr georgian weed. Package on magnet
