,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
24,04-03-2020 23:06:51,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,нет,5,Тбилиси,1.1 гр,0.0719,42951,16211,1453,650,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
25,04-03-2020 23:06:51,Tbilisi,SF03,CRAZYFROG,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,4,Тбилиси,2 гр,0.0183,11035,4165,373,167,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
26,04-03-2020 23:06:51,Tbilisi,SF03,CRAZYFROG,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,2,Тбилиси,2 гр,0.0181,12167,4584,410,,,165,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
27,04-03-2020 23:06:51,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!! (ПОДЪЕЗД!!!),True,нет,1,Тбилиси,2 гр,0.0389,23458,8854,794,355,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!! (POD'EZD!!!)
28,04-03-2020 23:06:51,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,4,Тбилиси,3 гр,0.0653,38986,14715,1319,590,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
29,04-03-2020 23:06:51,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0438,26431,9976,894,400,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
30,04-03-2020 23:06:51,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0603,36343,13717,1229,550,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
31,04-03-2020 23:06:51,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0263,15859,5986,536,240,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
32,04-03-2020 23:06:51,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0274,16520,6235,559,250,,,,,,,,5 gr Shishki “OG KUSH VHQ”
33,04-03-2020 23:06:51,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0274,16520,6235,559,250,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
34,04-03-2020 23:06:51,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0274,16520,6235,559,250,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
35,04-03-2020 23:07:42,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0218,13150,4963,445,199,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
36,04-03-2020 23:07:42,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0274,16520,6235,559,250,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
37,04-03-2020 23:07:42,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0218,14471,5462,490,219,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
