,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Zahesi,Varketili,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,desc_en
0,0,29-06-2020 07:05:44,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.01,6824,2653,235,88.0,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,29-06-2020 07:05:44,Tbilisi,21e6be39fb,"Black Gerain, Sirec VHQ 0.4g",,1,нет,Тбилиси,0.4 гр,0.0124,8295,3228,286,,True,120.0,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
2,2,29-06-2020 07:05:44,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,2,нет,Тбилиси,0.5 гр,0.0034,2281,888,79,,True,33.0,,,,,,,,0.5 gr HYBRID buds
3,3,29-06-2020 07:05:44,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,5,нет,Тбилиси,0.5 гр,0.0144,9678,3766,334,,True,140.0,,,,,,,,"Black Geroin, Sirec 0.5g"
4,4,29-06-2020 07:05:44,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,1,нет,Тбилиси,0.5 гр,0.0031,2074,807,72,,True,30.0,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,5,29-06-2020 07:05:44,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,7,нет,Тбилиси,1 гр,0.0062,4148,1614,143,,,60.0,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,6,29-06-2020 07:05:44,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,14,нет,Тбилиси,1 гр,0.0055,3664,1426,126,,,53.0,True,,,,,,,1G ---> Big Devil (BTC - Sale)
7,7,29-06-2020 07:05:44,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),,11,нет,Тбилиси,1 гр,0.0052,3456,1345,119,,True,50.0,,,,,,,,1G ---> Pineapple (BTC - Sale)
8,8,29-06-2020 07:05:44,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,2,нет,Тбилиси,1 гр,0.0311,20669,8043,713,,True,299.0,,,,,,,,1G --... BoLiVian Coke ...-- 1G
9,9,29-06-2020 07:05:44,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,1,нет,Тбилиси,1 гр,0.0062,4148,1614,143,,True,60.0,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
10,10,29-06-2020 07:05:44,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,1 гр,0.005,3387,1318,117,,True,49.0,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
11,11,29-06-2020 07:05:44,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,2 гр,0.0102,6844,2663,236,,,99.0,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
12,12,29-06-2020 07:05:44,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,1,нет,Тбилиси,2 гр,0.0113,7604,2959,262,,,110.0,,True,,,,,,2 gr top buds white widow wishki THC 25% VHQ
13,13,29-06-2020 07:05:44,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,8,нет,Тбилиси,2 гр,0.0077,5185,2018,179,,True,75.0,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
14,14,29-06-2020 07:05:44,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 2.g. ПОДЪЕЗД,,1,нет,Тбилиси,2 гр,0.0391,26269,10222,906,,True,380.0,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 2.g. POD'EZD
15,15,29-06-2020 07:05:44,Tbilisi,16a8841259,листя+бошки в трихомах 2г,,2,нет,Тбилиси,2 гр,0.0037,2765,1076,95,,True,40.0,,,,,,,,listja+boshki v trihomah 2g
