,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Didube,Saburtalo,Vake,Авлобари,Gldani,Дигоми,Nadzaladevi,€,Батуми,Центр,Кутаиси,desc_en
0,0,06-05-2020 18:55:26,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,8,нет,Тбилиси,1 гр,0.0057,4068,1488,134,55.0,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
1,1,06-05-2020 18:55:26,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,1 гр,0.0059,4216,1542,139,57.0,True,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
2,2,06-05-2020 18:55:26,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,True,2,нет,Тбилиси,1 гр,0.0057,4068,1488,134,55.0,,,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
3,3,06-05-2020 18:55:26,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,14,нет,Тбилиси,1 гр,0.0315,22118,8088,730,299.0,,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
4,4,06-05-2020 18:55:26,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,,4,нет,Тбилиси,1 гр,0.0057,4068,1488,134,55.0,,True,,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
5,5,06-05-2020 18:55:26,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 1 Gr,True,5,нет,Тбилиси,1 гр,0.0043,3033,1109,100,41.0,,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
6,6,06-05-2020 18:55:26,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0853,66575,24345,2196,900.0,,,,,,,,,,,,,Metadon 1gr
7,7,06-05-2020 18:55:26,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0252,17679,6465,583,239.0,,,True,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
8,8,06-05-2020 18:55:26,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0115,8063,2948,266,109.0,,,,True,,,,,,,,,✨ 1g. MDMA ✨
9,9,06-05-2020 18:55:26,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%",,2,нет,Тбилиси,1.5 гр,0.0066,5178,1894,171,70.0,,,,,True,True,,,,,,,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%"
10,10,06-05-2020 18:55:26,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,3,нет,Тбилиси,2 гр,0.0094,6584,2407,217,89.0,,,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
11,11,06-05-2020 18:55:26,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,10,нет,Тбилиси,2 гр,0.0104,7397,2705,244,100.0,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
12,12,06-05-2020 18:55:26,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0094,7323,2678,242,99.0,,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
13,13,06-05-2020 18:55:26,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,2 гр,0.0094,6584,2407,217,89.0,,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
14,14,06-05-2020 18:55:26,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.0103,7323,2678,242,99.0,,,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
15,15,06-05-2020 18:55:26,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,2 гр,0.0074,5178,1894,171,70.0,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
16,16,06-05-2020 18:55:26,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,13,нет,Тбилиси,2 гр,0.0093,6584,2407,217,89.0,,True,,,,,True,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
17,17,06-05-2020 18:55:26,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,3,нет,Тбилиси,3 гр,0.0125,8803,3219,290,119.0,,,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
18,18,06-05-2020 18:55:26,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,5,нет,Тбилиси,3 гр,0.0136,9616,3517,317,130.0,,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
19,19,06-05-2020 18:55:26,Tbilisi,7c395c455d,3 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,3 гр,0.0132,10282,3760,339,139.0,,,,,,,,,,,,,3 marijuana BUDS northen lights 24% THC ShIShKI!!!
20,20,06-05-2020 18:55:26,Tbilisi,366326d4d6,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,1,нет,Тбилиси,3 гр,0.0125,8803,3219,290,119.0,,,,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
21,21,06-05-2020 18:55:26,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0111,7767,2840,256,105.0,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
22,22,06-05-2020 18:55:26,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,,1,нет,Тбилиси,3 гр,0.0125,8803,3219,290,119.0,,,,True,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
23,23,06-05-2020 18:55:26,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.032,23671,8656,781,320.0,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
24,24,06-05-2020 18:55:26,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.031,22192,8115,732,300.0,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
25,25,06-05-2020 18:55:26,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,1,нет,Тбилиси,5 гр,0.0062,4364,1596,144,59.0,,,,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
26,26,06-05-2020 18:55:26,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0184,12945,4734,427,175.0,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
27,27,06-05-2020 18:55:26,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 5g (TOP)(VHQ),True,4,нет,Тбилиси,5 гр,0.0177,12575,4599,415,170.0,,,,,,,,,,,,,THE BEST GAGARIN WEED 5g (TOP)(VHQ)
28,28,06-05-2020 18:55:26,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1163,85068,31108,2806,1150.0,,,,,,,,,,,,,VHQ BEST Cocaine 5g.
29,29,06-05-2020 18:55:26,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,10 гр,0.0208,14720,5383,486,199.0,,,True,,,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
30,30,06-05-2020 18:55:26,Tbilisi,21e6be39fb,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,True,1,нет,Тбилиси,10 гр,0.0344,24411,8927,805,330.0,,,,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
31,31,06-05-2020 18:55:26,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 10g (TOP)(VHQ),True,5,нет,Тбилиси,10 гр,0.0344,24411,8927,805,330.0,,,,,,,,,,,,,THE BEST GAGARIN WEED 10g (TOP)(VHQ)
32,32,06-05-2020 18:55:26,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.04,29589,10820,976,400.0,,,,,,,,,,,,,gashish evro 10g
33,33,06-05-2020 18:55:26,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,6,нет,Тбилиси,20 гр,0.0395,28035,10252,925,379.0,,,,,,,True,True,,,,,20 gr Indica marijuana buds (hight quality)
34,34,06-05-2020 18:55:26,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0778,57476,21018,1896,777.0,,,,,,,,,,,,,Gashish Evro 20gr
35,35,06-05-2020 18:56:34,Tbilisi,e56bb6ca93,50 гр Марихуана шишки. ИНДИКА,,2,нет,Тбилиси,50 гр,0.099,70199,25670,2316,949.0,,,True,,,,,,,,,,50 gr Marihuana shishki. INDIKA
36,36,06-05-2020 18:56:34,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1896,147944,54100,4881,2000.0,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
37,37,06-05-2020 18:56:34,Tbilisi,e56bb6ca93,100 гр Марихуана шишки. ИНДИКА. оптовая Цена,,1,нет,Тбилиси,100 гр,0.1772,125678,45958,4146,1699.0,,,True,,,,,,,,,,100 gr Marihuana shishki. INDIKA. optovaja Tsena
38,38,06-05-2020 18:56:34,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 гр!!!",True,нет,2,Тбилиси,0.7 гр,0.011000000000000001,7767,2840,256,105.0,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gr!!!"
39,39,06-05-2020 18:56:34,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,6,Тбилиси,1 гр,0.0167,11836,4328,390,160.0,,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
40,40,06-05-2020 18:56:34,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0339,26420,9669,877,,,,,,,,,,330.0,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
41,41,06-05-2020 18:56:34,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,3,Тбилиси,2 гр,0.0221,15534,5681,512,210.0,,,,,,,,,,,,,✨✨2gram. MDMA✨✨
42,42,06-05-2020 18:56:34,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,5,Тбилиси,2 гр,0.0389,27296,9981,901,369.0,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
43,43,06-05-2020 18:56:34,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.061,42830,15662,1413,579.0,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
44,44,06-05-2020 18:56:34,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0417,29589,10820,976,400.0,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
45,45,06-05-2020 18:56:34,Tbilisi,54915c4374,Предзаказ н-бооом 4 штуки!!!,True,нет,6,Тбилиси,4 гр,0.0063,4438,1623,146,60.0,,,,,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
46,46,06-05-2020 18:56:34,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0574,40685,14878,1342,550.0,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
47,47,06-05-2020 18:56:34,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0245,17383,6357,574,235.0,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
48,48,06-05-2020 18:56:34,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.025,17753,6492,586,240.0,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
49,49,06-05-2020 18:56:34,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.024,17014,6222,561,230.0,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
50,50,06-05-2020 18:56:34,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.025,17753,6492,586,240.0,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
51,51,06-05-2020 18:56:34,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.025,17753,6492,586,240.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
52,52,06-05-2020 18:56:34,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.025,17753,6492,586,240.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
53,53,06-05-2020 18:56:34,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,True,нет,10,Тбилиси,5 гр,0.025,17753,6492,586,240.0,,,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
54,54,06-05-2020 18:56:34,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.024,17014,6222,561,230.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
