,time_stamp,region,sell_code,sell_name,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Vazisubani,Gldani,Varketili,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,06-07-2020 12:59:14,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.25 гр,0.0114,7843,3039,270,99,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,06-07-2020 12:59:14,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,,4,нет,Тбилиси,0.25 гр,0.0105,7130,2763,246,90,True,,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,06-07-2020 12:59:14,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,,4,нет,Тбилиси,0.5 гр,0.0035,2397,927,82,,True,34,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
3,06-07-2020 12:59:14,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,4,нет,Тбилиси,0.5 гр,0.0028,1904,736,65,,,27,True,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,06-07-2020 12:59:14,Tbilisi,6P9R,RickNMorty,VHQ Hash From Morroco Iso 0.5G THC 23%+,,3,нет,Тбилиси,0.5 гр,0.0044,2961,1145,102,,True,42,,True,,,,,,,,VHQ Hash From Morroco Iso 0.5G THC 23%+
5,06-07-2020 12:59:14,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,3,нет,Тбилиси,1 гр,0.0063,4230,1635,145,,True,60,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
6,06-07-2020 12:59:14,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,2,нет,Тбилиси,1 гр,0.0057,3878,1499,133,,True,55,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
7,06-07-2020 12:59:14,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,1 гр,0.0063,4230,1635,145,,True,60,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
8,06-07-2020 12:59:14,Tbilisi,ABOAB,ProGrow,1G ---> Pineapple (BTC - Sale),,2,нет,Тбилиси,1 гр,0.0052,3525,1363,121,,True,50,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
9,06-07-2020 12:59:14,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,3,нет,Тбилиси,1 гр,0.0063,4230,1635,145,,True,60,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
10,06-07-2020 12:59:14,Tbilisi,GYO,Hakeem,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,,1,нет,Тбилиси,1 гр,0.0052,3878,1499,133,,True,55,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
11,06-07-2020 12:59:14,Tbilisi,I7IU,MrPickless,АКЦИЯ! 1g hindu kish best buds,,2,нет,Тбилиси,1 гр,0.0043,3173,1226,109,,True,45,,,True,,,,,,,AKTsIJa! 1g hindu kish best buds
12,06-07-2020 12:59:14,Tbilisi,BB6E,WEEDSH0P,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,1,нет,Тбилиси,2 гр,0.0115,7755,2998,266,,True,110,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
13,06-07-2020 12:59:14,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,2,нет,Тбилиси,2 гр,0.0125,8460,3270,291,,True,120,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
14,06-07-2020 12:59:14,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,1,нет,Тбилиси,2 гр,0.0125,8460,3270,291,,True,120,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
15,06-07-2020 12:59:14,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,2 гр,0.0125,8460,3270,291,,True,120,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
16,06-07-2020 12:59:14,Tbilisi,BB6E,WEEDSH0P,2gr Amnesia Haze Auto сжатая марихуана BUDS,,1,нет,Тбилиси,2 гр,0.0125,8460,3270,291,,True,120,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
17,06-07-2020 12:59:14,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,2,нет,Тбилиси,2 гр,0.0125,8460,3270,291,,True,120,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
18,06-07-2020 12:59:15,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,,4,нет,Тбилиси,2 гр,0.0625,42300,16350,1453,,True,600,,,,,,,,,,VHQ BEST Cocaine 2g.
