,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Vake,$,Varketili,Didube,Дигоми,Gldani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,19-04-2020 23:36:36,Tbilisi,A3I9,Joookerrr,Бупренорфин!!! 0.1 грамм,True,1,нет,Тбилиси,0.1 гр,0.0074,4006,1489,132,50,,,,,,,,,,,,,Buprenorfin!!! 0.1 gramm
1,19-04-2020 23:36:36,Tbilisi,U26MW,Skyhigh,NEW MDMA 0.25 G MELKIE KRISTALI,,1,нет,Тбилиси,0.25 гр,0.0048,2588,959,86,,True,35,,,,,,,,,,,NEW MDMA 0.25 G MELKIE KRISTALI
2,19-04-2020 23:36:36,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0186,9982,3699,330,,,135,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,19-04-2020 23:36:36,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,1,нет,Тбилиси,1 гр,0.0075,4067,1507,134,,,55,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
4,19-04-2020 23:36:36,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,9,нет,Тбилиси,1 гр,0.0078,4215,1562,139,,,57,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
5,19-04-2020 23:36:36,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,9,нет,Тбилиси,1 гр,0.0078,4215,1562,139,,,57,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
6,19-04-2020 23:36:36,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,8,нет,Тбилиси,1 гр,0.0075,4067,1507,134,,,55,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
7,19-04-2020 23:36:36,Tbilisi,U26MW,Skyhigh,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE,,1,нет,Тбилиси,1 гр,0.0053,2884,1069,95,,True,39,,,,,,,,,,,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE
8,19-04-2020 23:36:36,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0296,16268,6028,538,,,220,,,,,,,,,,,Kokain HQ 1g.
9,19-04-2020 23:36:36,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1114,66550,24660,2201,,,900,,,,,,,,,,,Metadon 1gr
10,19-04-2020 23:36:36,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,2 гр,0.0124,7394,2740,245,,,100,,,,,,,,,,,2 G Hybrid Marijuana Buds
11,19-04-2020 23:36:36,Tbilisi,BB6E,WEEDSH0P,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,4,нет,Тбилиси,2 гр,0.0116,6285,2329,208,,,85,True,,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
