,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,02-04-2020 13:59:44,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,9,нет,Тбилиси,0.25 гр,0.0265,14769,5301,493,190,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,02-04-2020 13:59:44,Tbilisi,V4T,COCAcoLA,METHADONE 0.25 THE BEST QUALITY VHQ,True,7,нет,Тбилиси,0.25 гр,0.0279,15547,5580,519,200,,,,,,,,,,METHADONE 0.25 THE BEST QUALITY VHQ
2,02-04-2020 13:59:44,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,,1,нет,Тбилиси,0.3 гр,0.009,5000,2301,164,,True,,,,,,,,,0.3 a-pvp white
3,02-04-2020 13:59:44,Tbilisi,9VLN,AlienShop,.✨0.50 gram. MDMA✨.,,1,нет,Тбилиси,0.5 гр,0.0097,5364,1925,179,69,True,,,,,,,,,.✨0.50 gram. MDMA✨.
4,02-04-2020 13:59:44,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0133,7696,2762,257,99,True,,,,,,,,,Cocaine Pure VHQ 0.5g
5,02-04-2020 13:59:44,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0161,9328,3348,312,120,True,,,,,,,,,Pure COCAINE VHQ 0.5g
6,02-04-2020 13:59:44,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,,3,нет,Тбилиси,0.5 гр,0.0154,8473,3041,283,109,True,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
7,02-04-2020 13:59:44,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,17,нет,Тбилиси,1 гр,0.0076,4664,1674,156,60,True,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
8,02-04-2020 13:59:44,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.007,3887,1395,130,50,True,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
9,02-04-2020 13:59:44,Tbilisi,8B31,GEOWEEDSHOP,1 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.,,4,нет,Тбилиси,1 гр,0.0057,3187,1144,106,41,,True,,,,,,,,1 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.
10,02-04-2020 13:59:44,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,10,нет,Тбилиси,1 гр,0.0053,2954,1060,99,38,True,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
11,02-04-2020 13:59:44,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,5,нет,Тбилиси,1 гр,0.0253,14691,5273,491,189,True,,,,,,,,,Cocaine Pure VHQ 1g
12,02-04-2020 13:59:44,Tbilisi,7IU5,ANASHA777,Hybrid Ana-sha 1G.,,5,нет,Тбилиси,1 гр,0.0052,3187,1144,106,41,True,,,,,,,,,Hybrid Ana-sha 1G.
13,02-04-2020 13:59:44,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,,2,нет,Тбилиси,1 гр,0.0274,15935,5720,532,205,True,,,,,,,,,VHQ BEST Cocaine 1g.
14,02-04-2020 13:59:44,Tbilisi,V4T,COCAcoLA,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),True,7,нет,Тбилиси,1 гр,0.0209,11660,4185,390,150,,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
15,02-04-2020 13:59:44,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.025,13914,4994,465,179,,True,,,,,,,,Kokain KOLUMBIA 1g
16,02-04-2020 13:59:44,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1142,69959,25110,2338,900,True,,,,,,,,,Metadon 1gr
17,02-04-2020 13:59:44,Tbilisi,LGRP8,Walker12,♥ VHQ ♥ 1G TANGERINE DREAM (THC 20 % Import) SALE 10 %,,3,нет,Тбилиси,1 гр,0.0051,3109,1116,104,40,True,,,,,,,,,♥ VHQ ♥ 1G TANGERINE DREAM (THC 20 % Import) SALE 10 %
18,02-04-2020 13:59:44,Tbilisi,8B31,GEOWEEDSHOP,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.,True,1,нет,Тбилиси,2 гр,0.011,6141,2204,205,79,,,,,,,,,,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.
19,02-04-2020 13:59:44,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,,4,нет,Тбилиси,2 гр,0.0099,5441,1953,182,70,True,,,,,,,,,2x Extasy Duracell 223mg MDMA.
20,02-04-2020 13:59:44,Tbilisi,BB6E,WEEDSH0P,CHEESE WEED BUDS+leaves 2gr saburtalo !!,,3,нет,Тбилиси,2 гр,0.0067,3731,1339,125,48,True,,,,,,,,,CHEESE WEED BUDS+leaves 2gr saburtalo !!
21,02-04-2020 13:59:44,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,,2,нет,Тбилиси,2 гр,0.0457,27984,10044,935,360,True,,,,,,,,,Cocaine Pure VHQ 2 g
22,02-04-2020 13:59:44,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,2 гр,0.0044,2721,977,91,35,True,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
23,02-04-2020 13:59:44,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,2,нет,Тбилиси,3 гр,0.0154,8473,3041,283,109,True,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
