,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Saburtalo,$,Didube,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
17,13-07-2020 07:36:13,Tbilisi,BB6E,WEEDSH0P,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,2,нет,Тбилиси,2 гр,0.0115,7835,2998,267,,True,,110,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
18,13-07-2020 07:36:13,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0125,8548,3270,292,,True,,120,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
19,13-07-2020 07:36:13,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,1,нет,Тбилиси,2 гр,0.0125,8548,3270,292,,True,,120,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
20,13-07-2020 07:36:13,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0125,8548,3270,292,,True,,120,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
21,13-07-2020 07:36:13,Tbilisi,3Y9,HIGHTHC,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,3,нет,Тбилиси,2 гр,0.0104,7123,2725,243,,True,,100,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
22,13-07-2020 07:36:13,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,,1,нет,Тбилиси,2 гр,0.0092,6268,2398,214,,True,,88,,,,,,,,,,2gr HYBRID buds
23,13-07-2020 07:36:13,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0125,8548,3270,292,,True,,120,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
24,13-07-2020 07:36:13,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",True,9,нет,Тбилиси,2 гр,0.0104,7835,2998,267,,,,110,True,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
25,13-07-2020 07:36:13,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",,3,нет,Тбилиси,2 гр,0.0104,7835,2998,267,,True,,110,,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
26,13-07-2020 07:36:13,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 2gram,,2,нет,Тбилиси,2 гр,0.009,6767,2589,231,,True,,95,,,,,,,,,,Northern Lights Regular [budsonly] 2gram
27,13-07-2020 07:36:13,Tbilisi,43MUT,Canartvelo,Бошки OG Kush 2g.,,1,нет,Тбилиси,2 гр,0.0084,5698,2180,194,,True,,80,,,,,,,,,,Boshki OG Kush 2g.
28,13-07-2020 07:36:13,Tbilisi,3TGJ9,Elegant,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0142,10684,4088,365,,True,,150,,,,,,,,,,3g. marihuana shishki Critical
29,13-07-2020 07:36:13,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,29,нет,Тбилиси,3 гр,0.0058,3918,1499,134,,True,,55,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
30,13-07-2020 07:36:13,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g plan,,5,нет,Тбилиси,3 гр,0.0036,2422,927,83,,,,34,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
31,13-07-2020 07:36:13,Tbilisi,03F3,geoshop,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,5 гр,0.0271,18520,7085,632,,True,,260,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
32,13-07-2020 07:36:13,Tbilisi,03F3,geoshop,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,5 гр,0.0282,19232,7358,656,,True,,270,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
33,13-07-2020 07:36:13,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0228,17095,6540,583,,True,,240,,,,,,,,,,5g. marihuana shishki Critical
34,13-07-2020 07:36:13,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.0228,17095,6540,583,,,,240,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
35,13-07-2020 07:36:53,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,2,нет,Тбилиси,5 гр,0.024,16383,6268,559,,,,230,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
36,13-07-2020 07:36:53,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0455,32053,12263,1094,,True,,450,,,,,,,,,,Gashish Evro 10gr
37,13-07-2020 07:36:53,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0474,35615,13625,1215,,True,,500,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
38,13-07-2020 07:36:53,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0068,4630,1771,158,,True,,65,,,,,,,,,,Silver haze leaves list'ja 15gr sale
39,13-07-2020 07:36:53,Tbilisi,HWUW,opiopi,GABAGAMA 40 SHTUK,,1,нет,Тбилиси,40 гр,0.0052,3561,1363,122,,True,,50,,,,,,,,,,GABAGAMA 40 SHTUK
40,13-07-2020 07:36:53,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2107,142460,54500,4860,,True,,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
41,13-07-2020 07:36:53,Tbilisi,A3I9,Joookerrr,То ли алфа пвп то ли апвп (но ооочень сильные кристаллы) 0.3,,нет,8,Тбилиси,0.3 гр,0.0109,8191,3134,279,,True,,115,,,,,,,,,,To li alfa pvp to li apvp (no ooochen' sil'nye kristally) 0.3
42,13-07-2020 07:36:53,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,5,Тбилиси,1 гр,0.0368,24883,9517,850,310,True,,,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
43,13-07-2020 07:36:53,Tbilisi,9CK,Hyperboy,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭,,нет,10,Тбилиси,2 гр,0.023,15671,5995,535,,True,,220,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭
44,13-07-2020 07:36:53,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gram,,нет,10,Тбилиси,3 гр,0.0142,10684,4088,365,,True,,150,,,,,,,,,,Northern Lights Regular [budsonly] 3gram
45,13-07-2020 07:36:53,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,2,Тбилиси,4 гр,0.0418,28492,10900,972,,True,,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
46,13-07-2020 07:36:53,Tbilisi,R4156,bestchoice,марихуана пудра высокое качество 4грам,,1,10,Тбилиси,4 гр,0.0062,4630,1771,158,,True,,65,,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
47,13-07-2020 07:36:53,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0261,17807,6813,608,,True,,250,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
