,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Saburtalo,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,20-05-2020 12:08:15,Tbilisi,HWUW,opiopi,suboxsone 0.4 g,True,1,нет,Тбилиси,0.4 гр,0.0037,2896,1067,97,40,,,,,,,,,,suboxsone 0.4 g
1,20-05-2020 12:08:15,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,12,нет,Тбилиси,0.5 гр,0.0162,11510,4241,384,159,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,20-05-2020 12:08:15,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0238,17012,6267,568,235,,,,,,,,,,Cocaine Pure VHQ 1g
3,20-05-2020 12:08:15,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.024,17374,6401,580,240,,,,,,,,,,VHQ BEST Cocaine 1g.
4,20-05-2020 12:08:15,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.025,18098,6668,604,250,,,,,,,,,,Kokain HQ 1g.
5,20-05-2020 12:08:15,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0828,65153,24003,2174,900,,,,,,,,,,Metadon 1gr
6,20-05-2020 12:08:15,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,4,нет,Тбилиси,1 гр,0.0244,17302,6374,577,239,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
7,20-05-2020 12:08:15,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,3,нет,Тбилиси,2 гр,0.0091,6443,2374,215,89,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
8,20-05-2020 12:08:15,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0072,5067,1867,169,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
9,20-05-2020 12:08:15,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,2,нет,Тбилиси,2 гр,0.0476,35472,13068,1184,490,,,,,,,,,,Kokain HQ 2g.
10,20-05-2020 12:08:15,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,4,нет,Тбилиси,2 гр,0.0089,6370,2347,213,88,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
11,20-05-2020 12:08:15,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0122,8615,3174,288,119,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
12,20-05-2020 12:08:15,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,True,3,нет,Тбилиси,3 гр,0.0132,9411,3467,314,130,,,,,,,,,,3 G Hybrid Marijuana Big Buds
13,20-05-2020 12:08:15,Tbilisi,LYHBG,Playboy,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,3 гр,0.0122,8615,3174,288,119,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
14,20-05-2020 12:08:15,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.0107,7601,2800,254,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
15,20-05-2020 12:08:15,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.0122,8615,3174,288,119,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
16,20-05-2020 12:08:15,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,8,нет,Тбилиси,5 гр,0.012,8615,3174,288,119,,,True,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
17,20-05-2020 12:08:15,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0179,12669,4667,423,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
18,20-05-2020 12:08:15,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1163,83251,30671,2778,1150,,,,,,,,,,Cocaine Pure VHQ 5g.
19,20-05-2020 12:08:15,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1128,83251,30671,2778,1150,,,,,,,,,,VHQ BEST Cocaine 5g.
