,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Varketili,$,Saburtalo,Gldani,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,06-07-2020 21:46:12,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.0107,7250,2772,246,90.0,,,,,,,,,,,NEW Iranian Sirec 0.25g.
1,1,06-07-2020 21:46:12,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 0.25 A+++,True,2,нет,Тбилиси,0.25 гр,0.0042,2854,1088,97,,True,40.0,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++
2,2,06-07-2020 21:46:12,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,6,нет,Тбилиси,0.5 гр,0.0035,2354,898,80,,,33.0,,,,,,,,,0.5 gr HYBRID buds
3,3,06-07-2020 21:46:12,Tbilisi,16a8841259,0.5г Ayahuasca Purple 100% Indica,True,7,нет,Тбилиси,0.5 гр,0.0033,2212,843,75,,,31.0,True,,,,,,,,0.5g Ayahuasca Purple 100% Indica
4,4,06-07-2020 21:46:12,Tbilisi,16a8841259,0.5г Jamaican,,3,нет,Тбилиси,0.5 гр,0.0033,2212,843,75,,,31.0,True,,,,,,,,0.5g Jamaican
5,5,06-07-2020 21:46:12,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0034,2283,870,77,,,32.0,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
6,6,06-07-2020 21:46:12,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,1,нет,Тбилиси,0.5 гр,0.0028,1926,734,65,,,27.0,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
7,7,06-07-2020 21:46:12,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 0.5G A+++,True,1,нет,Тбилиси,0.5 гр,0.0068,4637,1768,157,,,65.0,,,,,,,,,VHQ MDMA Champagne Imported 0.5G A+++
8,8,06-07-2020 21:46:12,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0063,4280,1632,145,,,60.0,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
9,9,06-07-2020 21:46:12,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,1 гр,0.0063,4280,1632,145,,,60.0,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
10,10,06-07-2020 21:46:12,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),True,1,нет,Тбилиси,1 гр,0.0053,3567,1360,121,,,50.0,,,,,,,,,1G ---> Pineapple (BTC - Sale)
11,11,06-07-2020 21:46:12,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,3,нет,Тбилиси,1 гр,0.0063,4280,1632,145,,,60.0,,True,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
12,12,06-07-2020 21:46:12,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,1,нет,Тбилиси,1 гр,0.0052,3496,1333,119,,,49.0,,,,,,,,,1gr HYBRID o.g
13,13,06-07-2020 21:46:12,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,3,нет,Тбилиси,1 гр,0.0063,4280,1632,145,,,60.0,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
14,14,06-07-2020 21:46:12,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,7,нет,Тбилиси,1 гр,0.0315,21331,8133,724,,,299.0,,,,,,,,,Cocaine Pure VHQ 1g
15,15,06-07-2020 21:46:12,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,2 гр,0.0126,8561,3264,291,,,120.0,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
16,16,06-07-2020 21:46:12,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0126,8561,3264,291,,,120.0,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
17,17,06-07-2020 21:46:12,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,2 гр,0.0105,7134,2720,242,,,100.0,,True,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
18,18,06-07-2020 21:46:12,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,2 гр,0.0105,7134,2720,242,,,100.0,,True,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
19,19,06-07-2020 21:46:12,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,True,1,нет,Тбилиси,2 гр,0.0126,8561,3264,291,,,120.0,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
20,20,06-07-2020 21:46:12,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.0126,8561,3264,291,,,120.0,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
21,21,06-07-2020 21:46:12,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",,1,нет,Тбилиси,2 гр,0.0105,7848,2992,266,,,110.0,,,True,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
22,22,06-07-2020 21:46:12,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,15,нет,Тбилиси,3 гр,0.0058,3924,1496,133,,,55.0,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
23,23,06-07-2020 21:46:12,Tbilisi,f374062dcd,Weed Сорт Purple 3гр,True,1,нет,Тбилиси,3 гр,0.008,5993,2285,203,,,84.0,,,,,,,,,Weed Sort Purple 3gr
24,24,06-07-2020 21:46:12,Tbilisi,f4d1c31614,5g Georgian buds,True,2,нет,Тбилиси,5 гр,0.013999999999999999,9916,3781,337,,,139.0,,,,,,,,,5g Georgian buds
25,25,06-07-2020 21:46:12,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,27,нет,Тбилиси,5 гр,0.0073,4923,1877,167,,,69.0,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
26,26,06-07-2020 21:46:12,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,True,3,нет,Тбилиси,5 гр,0.0143,10630,4053,361,,,149.0,,,,,,,,,5g. GEO Marihuana boshki
27,27,06-07-2020 21:46:12,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,2,нет,Тбилиси,5 гр,0.023,17122,6528,581,,,240.0,,,,True,,,,,"Hindu Kush (photoperiod, regular) 5gr"
28,28,06-07-2020 21:46:12,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.142,96239,36693,3266,,,1349.0,,,,,,,,,VHQ BEST Cocaine 5g.
29,29,06-07-2020 21:46:12,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,1,нет,Тбилиси,5 гр,0.0263,17835,6800,605,,,250.0,True,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
