,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Дигоми,Old Tbilisi (Старый город),€,Авлобари,Varketili,Vake,Центр,Батуми,desc_en
0,0,01-08-2020 00:59:31,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,4,нет,Тбилиси,0.5 гр,0.0029,2423,919,80,33.0,,,,,,,,,,,,0.5 gr HYBRID buds
1,1,01-08-2020 00:59:31,Tbilisi,16a8841259,0.5г Northen Light,True,5,нет,Тбилиси,0.5 гр,0.0027,2276,864,76,31.0,,,,,,,,,,,,0.5g Northen Light
2,2,01-08-2020 00:59:31,Tbilisi,16a8841259,0.5г Skunk,True,5,нет,Тбилиси,0.5 гр,0.0027,2276,864,76,31.0,,,,,,,,,,,,0.5g Skunk
3,3,01-08-2020 00:59:31,Tbilisi,e771f4c371,CLOWNBARON ШИШКИ ♤THC 28%♤( 0.5Г Ограниченное количество),,10,нет,Тбилиси,0.5 гр,0.003,2496,947,83,34.0,True,,,,,,,,,,,CLOWNBARON ShIShKI ♤THC 28%♤( 0.5G Ogranichennoe kolichestvo)
4,4,01-08-2020 00:59:31,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,6,нет,Тбилиси,0.5 гр,0.003,2496,947,83,34.0,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
5,5,01-08-2020 00:59:31,Tbilisi,16a8841259,Tangerine 0.5г,True,10,нет,Тбилиси,0.5 гр,0.0028,2350,892,78,32.0,,,,,,,,,,,,Tangerine 0.5g
6,6,01-08-2020 00:59:31,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,13,нет,Тбилиси,0.5 гр,0.0026,2203,836,73,30.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
7,7,01-08-2020 00:59:31,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,6,нет,Тбилиси,1 гр,0.0052,4406,1672,146,60.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,8,01-08-2020 00:59:31,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,5,нет,Тбилиси,1 гр,0.0052,4406,1672,146,60.0,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
9,9,01-08-2020 00:59:31,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,5,нет,Тбилиси,1 гр,0.0051,4332,1644,144,59.0,,,,,,,,,,,,1 gr super lemon haze probnik
