,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Gldani,Vazisubani,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Центр,Батуми,desc_en
0,0,28-07-2020 21:28:23,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,14,нет,Тбилиси,0.5 гр,0.003,2373,921,79,33.0,,,,,,,,,,,,0.5 gr HYBRID buds
1,1,28-07-2020 21:28:23,Tbilisi,64284550d9,0.5-G ---> Pineapple (BTC - Sale),,4,нет,Тбилиси,0.5 гр,0.0026,2014,781,67,28.0,True,,,,,,,,,,,0.5-G ---> Pineapple (BTC - Sale)
2,2,28-07-2020 21:28:23,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,26,нет,Тбилиси,0.5 гр,0.0027,2158,837,72,30.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
3,3,28-07-2020 21:28:23,Tbilisi,fccfd69694,Бошки OG Kush 05g.,True,1,нет,Тбилиси,0.5 гр,0.0023,1798,698,60,25.0,,,,,,,,,,,,Boshki OG Kush 05g.
4,4,28-07-2020 21:28:23,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,True,2,нет,Тбилиси,0.5 гр,0.0038,2949,1141,98,,,35.0,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
5,5,28-07-2020 21:28:23,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,1 гр,0.0055,4315,1674,143,60.0,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
6,6,28-07-2020 21:28:23,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.0054,4243,1646,141,59.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
7,7,28-07-2020 21:28:23,Tbilisi,4659482266,1 г.Super Skunk top class buds!,,3,нет,Тбилиси,1 гр,0.0051,3956,1535,131,55.0,,,True,,,,,,,,,1 g.Super Skunk top class buds!
8,8,28-07-2020 21:28:23,Tbilisi,21de5577be,1.0 gr. Afghan kush (Indika),,5,нет,Тбилиси,1 гр,0.0048,3812,1479,127,53.0,True,,,,,,,,,,,1.0 gr. Afghan kush (Indika)
9,9,28-07-2020 21:28:23,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,4,нет,Тбилиси,1 гр,0.0358,27977,10853,929,389.0,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
10,10,28-07-2020 21:28:23,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0055,4315,1674,143,60.0,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
11,11,28-07-2020 21:28:23,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,9,нет,Тбилиси,1 гр,0.0045,3524,1367,117,49.0,,,,,,,,,,,,1gr HYBRID o.g
12,12,28-07-2020 21:28:23,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,11,нет,Тбилиси,1 гр,0.0045,3524,1367,117,49.0,True,,,True,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
13,13,28-07-2020 21:28:23,Tbilisi,ebadfc162f,BlueBerry Is Back 1G шишки последние !! LAST ONES !!!,True,3,нет,Тбилиси,1 гр,0.0063,4962,1925,165,69.0,,,,,True,,,,,,,BlueBerry Is Back 1G shishki poslednie !! LAST ONES !!!
14,14,28-07-2020 21:28:23,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,True,1,нет,Тбилиси,1 гр,0.0046,3956,1535,131,55.0,,,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
15,15,28-07-2020 21:28:23,Tbilisi,f374062dcd,Сирец Иран 1гр,True,1,нет,Тбилиси,1 гр,0.0227,18699,7254,621,260.0,,,,,,,,,,,,Sirets Iran 1gr
16,16,28-07-2020 21:28:23,Tbilisi,ebadfc162f,уро Hammer 1G Super strong weed Last Ones !!!!,,1,нет,Тбилиси,1 гр,0.0059,4675,1814,155,65.0,,,,,True,,,,,,,uro Hammer 1G Super strong weed Last Ones !!!!
17,17,28-07-2020 21:28:23,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬,,3,нет,Тбилиси,1 гр,0.005,3956,1535,131,55.0,,,True,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬
18,18,28-07-2020 21:28:23,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,2 гр,0.009000000000000001,7120,2762,237,99.0,,,,,True,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
19,19,28-07-2020 21:28:23,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,1,нет,Тбилиси,2 гр,0.0099,7839,3041,260,109.0,,,,,True,,,,,,,2 G Hybrid Marijuana Buds
20,20,28-07-2020 21:28:23,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,2 гр,0.0109,8630,3348,287,120.0,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
21,21,28-07-2020 21:28:23,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0109,8630,3348,287,120.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
22,22,28-07-2020 21:28:23,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,2 гр,0.0091,7192,2790,239,100.0,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
23,23,28-07-2020 21:28:23,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,True,2,нет,Тбилиси,2 гр,0.0109,8630,3348,287,120.0,,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
24,24,28-07-2020 21:28:23,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,8,нет,Тбилиси,2 гр,0.008,6329,2455,210,88.0,,,,,,,,,,,,2gr HYBRID buds
25,25,28-07-2020 21:28:23,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.0109,8630,3348,287,120.0,,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
26,26,28-07-2020 21:28:23,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,3,нет,Тбилиси,2 гр,0.0091,7911,3069,263,110.0,,,,,True,True,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
27,27,28-07-2020 21:28:23,Tbilisi,e771f4c371,Skunk 2G (25 % THC)*VHQ* IMPORT,,1,нет,Тбилиси,2 гр,0.01,7911,3069,263,110.0,True,,,,,,,,,,,Skunk 2G (25 % THC)*VHQ* IMPORT
28,28,28-07-2020 21:28:23,Tbilisi,83f3d55917,!!! NEW !!! 3G Jack Herer(VHQ 24%THC),,2,нет,Тбилиси,3 гр,0.0137,10788,4185,358,150.0,True,,,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC)
29,29,28-07-2020 21:28:23,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,4,нет,Тбилиси,3 гр,0.0095,8271,3209,275,115.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
30,30,28-07-2020 21:28:23,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,5 гр,0.0246,19418,7533,645,270.0,,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
31,31,28-07-2020 21:28:23,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 5 гр. Спокойно, Надёжно, Качественно.",,2,нет,Тбилиси,5 гр,0.0199,17261,6696,573,240.0,True,,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 5 gr. Spokojno, Nadezhno, Kachestvenno."
32,32,28-07-2020 21:28:23,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,True,1,нет,Тбилиси,10 гр,0.028999999999999998,25172,9765,836,350.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
33,33,28-07-2020 21:28:23,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0365,28768,11160,956,400.0,,,,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
34,34,28-07-2020 21:28:23,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0228,17980,6975,597,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
35,35,28-07-2020 21:29:48,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0246,19418,7533,645,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
36,36,28-07-2020 21:29:48,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0251,19778,7673,657,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
37,37,28-07-2020 21:29:48,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0219,17261,6696,573,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
38,38,28-07-2020 21:29:48,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0255,20137,7812,669,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
