,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,11-03-2020 14:53:43,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0231,15009,5471,487,210.0,,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,11-03-2020 14:53:43,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G,True,2,нет,Тбилиси,0.35 гр,0.0391,22871,8336,743,320.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
2,2,11-03-2020 14:53:43,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,7,нет,Тбилиси,0.5 гр,0.0121,7076,2579,230,99.0,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
3,3,11-03-2020 14:53:43,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0126,7790,2839,253,109.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
4,4,11-03-2020 14:53:43,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,1,нет,Тбилиси,0.5 гр,0.0036,2144,782,70,30.0,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
5,5,11-03-2020 14:53:43,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS saburtalo!! btc sale 1%",True,2,нет,Тбилиси,1 гр,0.0047,2787,1016,91,39.0,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS saburtalo!! btc sale 1%"
6,6,11-03-2020 14:53:43,Tbilisi,64284550d9,1G ---> INDICA,,3,нет,Тбилиси,1 гр,0.0041,2502,912,81,35.0,True,,,,,,,,,1G ---> INDICA
7,7,11-03-2020 14:53:43,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,1 гр,0.0242,14151,5158,460,198.0,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
8,8,11-03-2020 14:53:43,Tbilisi,da96c34455,ALFA PVP 1g,True,1,нет,Тбилиси,1 гр,0.0154,10006,3647,325,140.0,,,,,,,,,,ALFA PVP 1g
9,9,11-03-2020 14:53:43,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,10,нет,Тбилиси,1 гр,0.0181,10721,3908,348,150.0,,,,,,,,,,Apvp VHQ 1g 24/7
