,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Дигоми,$,Varketili,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,10-07-2020 11:10:07,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 0.12g 💢🌡🚀",True,9,нет,Тбилиси,0.12 гр,0.0072,4744,1805,163,59.0,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 0.12g 💢🌡🚀"
1,1,10-07-2020 11:10:07,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,,1,нет,Тбилиси,0.25 гр,0.0117,7961,3029,273,99.0,True,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
2,2,10-07-2020 11:10:07,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25,True,3,нет,Тбилиси,0.25 гр,0.012,8041,3060,275,100.0,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25
3,3,10-07-2020 11:10:07,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.0108,7237,2754,248,90.0,,,,,,,,,,NEW Iranian Sirec 0.25g.
4,4,10-07-2020 11:10:07,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0034,2268,870,78,,,32.0,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
5,5,10-07-2020 11:10:07,Tbilisi,52fe6d0af9,New !!! VHQ Ketamine Imported!! New!!! 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0115,7655,2938,263,,,108.0,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 0.5G
6,6,10-07-2020 11:10:07,Tbilisi,ebadfc162f,уро / Hammer 0.5G 100%шишки! LIMITED,,6,нет,Тбилиси,0.5 гр,0.0037,2481,952,85,,,35.0,True,,,,,,,uro / Hammer 0.5G 100%shishki! LIMITED
7,7,10-07-2020 11:10:07,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,True,10,нет,Тбилиси,0.5 гр,0.0043,2814,1071,96,35.0,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
8,8,10-07-2020 11:10:07,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,1 гр,0.0064,4253,1632,146,,,60.0,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
9,9,10-07-2020 11:10:07,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,1,нет,Тбилиси,1 гр,0.0063,4182,1605,144,,,59.0,,,,,,,,1 gr super lemon haze probnik
