,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,19-05-2020 15:14:54,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,10,нет,Тбилиси,0.3 гр,0.0098,3221,234,7000,,,,,,,,,,0.3 a-pvp white
1,1,19-05-2020 15:14:54,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,16,нет,Тбилиси,0.5 гр,0.0162,4229,387,11510,159.0,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,19-05-2020 15:14:54,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,3,нет,Тбилиси,0.5 гр,0.0055,1463,134,3982,55.0,True,,,,,,,,HQ Euro Hashish 0.5 g
3,3,19-05-2020 15:14:54,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,4,нет,Тбилиси,0.5 гр,0.0027,718,66,1955,27.0,True,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,4,19-05-2020 15:14:54,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,1,нет,Тбилиси,1 гр,0.0305,7953,729,21645,299.0,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
5,5,19-05-2020 15:14:54,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0237,6251,573,17012,235.0,,,,,,,,,Cocaine Pure VHQ 1g
6,6,19-05-2020 15:14:54,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0825,23940,2193,65153,900.0,,,,,,,,,Metadon 1gr
7,7,19-05-2020 15:14:54,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,2 гр,0.0091,2367,217,6443,89.0,,,,,,,,,2 ECSTASY << PACO RABANNE >>
8,8,19-05-2020 15:14:54,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0071,1862,171,5067,70.0,,,,,,,,,2x Extasy Duracell 223mg MDMA.
9,9,19-05-2020 15:14:54,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0479,12768,1170,34748,480.0,,,,,,,,,VHQ BEST Cocaine 2g.
