,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Nadzaladevi,Varketili,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,13-04-2020 12:51:24,Tbilisi,28bf667d16,Cocaine Fishscale! Limited Quantity 0.5 g. акция -15% при оплате бтк!!!,True,4,нет,Тбилиси,0.5 гр,0.0221,13718,5087,460,186.0,,,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 0.5 g. aktsija -15% pri oplate btk!!!
1,1,13-04-2020 12:51:24,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0145,8039,2981,270,109.0,,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,2,13-04-2020 12:51:24,Tbilisi,54915c4374,MDMA 0.5 грам.,True,3,нет,Тбилиси,0.5 гр,0.0094,5531,2051,186,75.0,,,,,,,,,,,,,MDMA 0.5 gram.
3,3,13-04-2020 12:51:24,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0173,9588,3556,322,130.0,,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
4,4,13-04-2020 12:51:24,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,3,нет,Тбилиси,1 гр,0.0061,3245,1203,109,44.0,,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
5,5,13-04-2020 12:51:24,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,12,нет,Тбилиси,1 гр,0.0069,4056,1504,136,55.0,,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
6,6,13-04-2020 12:51:24,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,2,нет,Тбилиси,1 гр,0.0076,4056,1504,136,55.0,,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
7,7,13-04-2020 12:51:24,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,2,нет,Тбилиси,1 гр,0.0054,2876,1067,97,39.0,,,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
8,8,13-04-2020 12:51:24,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,13,нет,Тбилиси,1 гр,0.0306,16152,5990,542,219.0,,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
9,9,13-04-2020 12:51:24,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,4,нет,Тбилиси,1 гр,0.0076,4056,1504,136,55.0,,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
10,10,13-04-2020 12:51:24,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0258,14308,5306,480,194.0,,,,,,,,,,,,,Cocaine Pure VHQ 1g
11,11,13-04-2020 12:51:24,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0831,44251,16410,1485,600.0,True,,,,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
12,12,13-04-2020 12:51:24,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,23,нет,Тбилиси,1 гр,0.0025,1453,539,49,,,True,18.0,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
13,13,13-04-2020 12:51:24,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0259,13939,5169,468,189.0,,,,,,,,,,,,,Kokain HQ 1g.
14,14,13-04-2020 12:51:24,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1133,66376,24615,2228,900.0,,,,,,,,,,,,,Metadon 1gr
15,15,13-04-2020 12:51:24,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,3,нет,Тбилиси,1 гр,0.0025,1475,547,50,20.0,,,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
16,16,13-04-2020 12:51:24,Tbilisi,dd631c4acf,☃️❄1g. New COCAINE!!❄☃️,True,2,нет,Тбилиси,1 гр,0.0264,13939,5169,468,189.0,,,,,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
17,17,13-04-2020 12:51:24,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 1.1г Скидка 3% через БИТКОИН,,6,нет,Тбилиси,1.1 гр,0.0061,3319,1231,111,45.0,,,,True,True,,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 3% cherez BITKOIN
18,18,13-04-2020 12:51:24,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,6,нет,Тбилиси,2 гр,0.0104,5531,2051,186,75.0,,,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
19,19,13-04-2020 12:51:24,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,6,нет,Тбилиси,2 гр,0.0126,7375,2735,248,100.0,,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
20,20,13-04-2020 12:51:24,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,6,нет,Тбилиси,2 гр,0.0096,5089,1887,171,69.0,,,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
21,21,13-04-2020 12:51:24,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,5,нет,Тбилиси,2 гр,0.0119,6269,2325,210,85.0,,True,,,,,,,,,,,2g super Skunk top class buds. Indica
22,22,13-04-2020 12:51:24,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0098,5163,1915,173,70.0,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
23,23,13-04-2020 12:51:24,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,4,нет,Тбилиси,2 гр,0.0132,7006,2598,235,95.0,,,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
24,24,13-04-2020 12:51:24,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,2,нет,Тбилиси,2 гр,0.0504,27952,10366,938,379.0,,,,,,,,,,,,,Kokain HQ 2g.
25,25,13-04-2020 12:51:24,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,2 гр,0.0044,2581,957,87,35.0,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
26,26,13-04-2020 12:51:24,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,4,нет,Тбилиси,2 гр,0.0118,6269,2325,210,85.0,,,,,,True,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
27,27,13-04-2020 12:51:24,Tbilisi,4659482266,3g superskunk top class buds. Indica,,1,нет,Тбилиси,3 гр,0.0171,8998,3337,302,122.0,,True,,,,,,,,,,,3g superskunk top class buds. Indica
28,28,13-04-2020 12:51:24,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки!!!,True,1,нет,Тбилиси,4 гр,0.0083,4844,1797,162,,,,60.0,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki!!!
29,29,13-04-2020 12:51:24,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0277,14603,5415,490,198.0,,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
30,30,13-04-2020 12:51:24,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0278,14677,5443,493,199.0,,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
31,31,13-04-2020 12:51:24,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0425,23600,8752,792,320.0,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
32,32,13-04-2020 12:51:24,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0411,22125,8205,743,300.0,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
33,33,13-04-2020 12:51:24,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),True,3,нет,Тбилиси,5 гр,0.0186,9883,3665,332,134.0,,,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
34,34,13-04-2020 12:51:24,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0245,12907,4786,433,175.0,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
35,35,13-04-2020 12:52:18,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0245,12907,4786,433,175.0,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
36,36,13-04-2020 12:52:18,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1083,63426,23521,2129,860.0,,,,,,,,,,,,,Cocaine Pure VHQ 5g.
37,37,13-04-2020 12:52:18,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,1,нет,Тбилиси,5 гр,0.0277,14603,5415,490,198.0,,,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
38,38,13-04-2020 12:52:18,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,1,нет,Тбилиси,5 гр,0.0272,14308,5306,480,194.0,,,,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
39,39,13-04-2020 12:52:18,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 5 штук!!!,True,2,нет,Тбилиси,5 гр,0.0097,5652,2097,189,,,,70.0,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 5 shtuk!!!
40,40,13-04-2020 12:52:18,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,5 гр,0.0069,4056,1504,136,55.0,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
41,41,13-04-2020 12:52:18,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0553,29427,10913,988,399.0,,,,,,,True,,,,,,"10g. Shishki Amnesia Haze, Sativa"
42,42,13-04-2020 12:52:18,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0506,26919,9983,903,365.0,,,,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
43,43,13-04-2020 12:52:18,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,10 гр,0.0107,6269,2325,210,85.0,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
44,44,13-04-2020 12:52:18,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0532,29501,10940,990,400.0,,,,,,,,,,,,,gashish evro 10g
45,45,13-04-2020 12:52:18,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1033,57305,21251,1923,777.0,,,,,,,,,,,,,Gashish Evro 20gr
46,46,13-04-2020 12:52:18,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2519,147503,54700,4950,2000.0,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
47,47,13-04-2020 12:52:18,Tbilisi,f8a875c191,METADON - 0.27 G.,True,нет,8,Тбилиси,0.27 гр,0.0318,16742,6208,562,227.0,,,,,,,,,,,,,METADON - 0.27 G.
48,48,13-04-2020 12:52:18,Tbilisi,2f51af8159,"VHQ Cocaine Medelins Cartel 0,5 g SALE",,нет,3,Тбилиси,0.5 гр,0.0115,6121,2270,205,83.0,True,,,,,,,,,,,,"VHQ Cocaine Medelins Cartel 0,5 g SALE"
49,49,13-04-2020 12:52:18,Tbilisi,2f51af8159,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,4,Тбилиси,1 гр,0.0051,2729,1012,92,37.0,True,,,,,,,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
50,50,13-04-2020 12:52:18,Tbilisi,2f51af8159,Candy FliP 1 piece 25i-NBOME 3mg + 1 piece ecstasy grey duracell 240mg SALE,,нет,5,Тбилиси,1 гр,0.0072,3835,1422,129,52.0,True,,,,,,,,,,,,Candy FliP 1 piece 25i-NBOME 3mg + 1 piece ecstasy grey duracell 240mg SALE
51,51,13-04-2020 12:52:18,Tbilisi,28bf667d16,Cocaine Fishscale! Limited Quantity 1g. акция -20% при оплате бтк!!!,True,5,10,Тбилиси,1 гр,0.0409,26919,9983,903,365.0,,,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 1g. aktsija -20% pri oplate btk!!!
52,52,13-04-2020 12:52:18,Tbilisi,2f51af8159,Ketamine 0.5 + MDMA 0.5 Combo,,нет,1,Тбилиси,1 гр,0.0201,10694,3966,359,145.0,True,,,,,,,,,,,,Ketamine 0.5 + MDMA 0.5 Combo
53,53,13-04-2020 12:52:18,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 1.5 грамма (порошок),True,нет,1,Тбилиси,1.5 гр,0.0207,12110,4493,406,,,,150.0,,,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 1.5 gramma (poroshok)
54,54,13-04-2020 12:52:18,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,2,Тбилиси,2 гр,0.0516,27214,10092,913,369.0,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
55,55,13-04-2020 12:52:18,Tbilisi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,2,Тбилиси,3 гр,0.0416,24338,9026,817,330.0,True,,,,,,,,,,,,Sk sinij kris ochen' sil'nyj 3gr
