,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Gldani,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
25,13-03-2020 03:48:01,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,True,4,нет,Тбилиси,2 гр,0.0108,5182,1867,164,70,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
26,13-03-2020 03:48:01,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,2 гр,0.0134,5848,2107,185,79,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
27,13-03-2020 03:48:01,Tbilisi,ABOAB,ProGrow,2G ---> INDICA,,11,нет,Тбилиси,2 гр,0.0103,4590,1654,146,62,,,True,,,,,,,,2G ---> INDICA
28,13-03-2020 03:48:01,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,1,нет,Тбилиси,2 гр,0.0135,5848,2107,185,79,,,,True,,,,,,,2g super Skunk top class buds. Indica
29,13-03-2020 03:48:01,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 2г мука,True,1,нет,Тбилиси,2 гр,0.0339,16286,5867,516,220,,,,,,,,,,,NZT-52 mind storm limited 2g muka
30,13-03-2020 03:48:01,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0601,28871,10401,915,390,,,,,,,,,,,VHQ BEST Cocaine 2g.
31,13-03-2020 03:48:01,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,3,нет,Тбилиси,2 гр,0.0054,2591,933,82,35,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
32,13-03-2020 03:48:01,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,4,нет,Тбилиси,2 гр,0.0617,28056,10108,890,379,,,,,,,,,,,Kokain HQ 2g.
33,13-03-2020 03:48:01,Tbilisi,9VLN,AlienShop,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃,True,1,нет,Тбилиси,2 гр,0.0204,8809,3174,279,119,,,,,,,,,,,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃
34,13-03-2020 03:48:51,Tbilisi,8B31,bobbyz,3 gr Indica dominant Buds,True,1,нет,Тбилиси,3 гр,0.0142,6440,2320,204,87,,,,,,,,,,,3 gr Indica dominant Buds
35,13-03-2020 03:48:51,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.046,20915,7513,662,,250,,,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
36,13-03-2020 03:48:51,Tbilisi,ABOAB,ProGrow,3G ---> INDICA,,19,нет,Тбилиси,3 гр,0.0134,6440,2320,204,87,,,True,,,,,,,,3G ---> INDICA
