,time_stamp,region,sell_code,sell_name,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Дигоми,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,22-06-2020 15:41:51,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.0122,8483,3281,291,109,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,22-06-2020 15:41:51,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0092,6254,2413,214,,True,90,,,,,,,,,NEW Iranian Sirec 0.25g.
2,22-06-2020 15:41:51,Tbilisi,PTO3,MeDuZa777,"Black Geroin, Sirec 0.5g",,9,нет,Тбилиси,0.5 гр,0.0178,12160,4692,416,,True,175,,,,,,,,,"Black Geroin, Sirec 0.5g"
3,22-06-2020 15:41:51,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,,7,нет,Тбилиси,0.5 гр,0.0163,11117,4290,380,,True,160,True,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
4,22-06-2020 15:41:51,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,19,нет,Тбилиси,0.5 гр,0.0031,2085,804,71,,True,30,,True,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,22-06-2020 15:41:51,Tbilisi,9Y6T,WeedShop,Skunk 0.5г,,6,нет,Тбилиси,0.5 гр,0.0032,2154,831,74,,,31,,True,,,,,,,Skunk 0.5g
6,22-06-2020 15:41:51,Tbilisi,UZRVH,ZEBRAWEED,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",,7,нет,Тбилиси,0.5 гр,0.0029,2085,804,71,,True,30,,True,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
7,22-06-2020 15:41:51,Tbilisi,UZRVH,ZEBRAWEED,КЕТАМИН WHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0139,10423,4022,356,,True,150,,,,,,,,,KETAMIN WHQ 0.5g
8,22-06-2020 15:41:51,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,,1,нет,Тбилиси,1 гр,0.006,4100,1582,140,,True,59,,,,,,,,,1 G Hybrid Marijuana Buds
9,22-06-2020 15:41:51,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,2,нет,Тбилиси,1 гр,0.0056,3822,1475,131,,True,55,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
10,22-06-2020 15:41:51,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,1 гр,0.006,4100,1582,140,,True,59,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
11,22-06-2020 15:41:51,Tbilisi,JVZTQ,partyshop,1 шишки Girl Scout Cookies тгк thc 28%,,4,нет,Тбилиси,1 гр,0.0059,4030,1555,138,,,58,,,True,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
12,22-06-2020 15:41:51,Tbilisi,9Y6T,WeedShop,Ak - 47 1г,,1,нет,Тбилиси,1 гр,0.0056,3822,1475,131,,True,55,,,,,,,,,Ak - 47 1g
13,22-06-2020 15:41:51,Tbilisi,QVK5,Galiak,Bubba Kush 1G Super strong indica dominant weed 100%шишки!,,2,нет,Тбилиси,1 гр,0.005,3405,1314,116,,,49,,,True,,,,,,Bubba Kush 1G Super strong indica dominant weed 100%shishki!
14,22-06-2020 15:41:51,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 1G,,4,нет,Тбилиси,1 гр,0.0309,21123,8150,722,,True,304,,,,True,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 1G
15,22-06-2020 15:41:51,Tbilisi,9Y6T,WeedShop,Skunk 1Г,,4,нет,Тбилиси,1 гр,0.0056,3822,1475,131,,True,55,,,,,,,,,Skunk 1G
16,22-06-2020 15:41:51,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,14,нет,Тбилиси,2 гр,0.0111,7574,2922,259,,True,109,,,True,,,,,,2 G Hybrid Marijuana Buds
17,22-06-2020 15:41:51,Tbilisi,BB6E,WEEDSH0P,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,1,нет,Тбилиси,2 гр,0.0112,7643,2949,261,,,110,,,True,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
18,22-06-2020 15:41:51,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,,1,нет,Тбилиси,2 гр,0.0112,7643,2949,261,,,110,,True,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
19,22-06-2020 15:41:51,Tbilisi,QVK5,Galiak,Bubba Kush 2G Super strong indica dominant weed 100%шишки!,,3,нет,Тбилиси,2 гр,0.009,6115,2359,209,,,88,,,True,,,,,,Bubba Kush 2G Super strong indica dominant weed 100%shishki!
20,22-06-2020 15:41:51,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,,1,нет,Тбилиси,2 гр,0.0477,32588,12574,1114,,True,469,,,,,,,,,Cocaine Pure VHQ 2 g
21,22-06-2020 15:41:51,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0086,5906,2279,202,,,85,,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
22,22-06-2020 15:41:51,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,,33,нет,Тбилиси,3 гр,0.0088,6045,2332,207,,True,87,,,,,,,,,3 gr georgian weed. Package on magnet
23,22-06-2020 15:41:51,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,2,нет,Тбилиси,3 гр,0.007,4794,1850,164,,True,69,,,,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
