,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,28-02-2020 17:58:57,Tbilisi,adf2d19b92,Bio-555 вес 0.5,True,2,нет,Тбилиси,0.5 гр,0.0055,3685,1355,123,55.0,,,,,,,,,Bio-555 ves 0.5
1,1,28-02-2020 17:58:57,Tbilisi,64284550d9,1G -- ФОТО РАБОТАЕТ -> Sativa,,9,нет,Тбилиси,1 гр,0.0043,2680,986,89,40.0,True,,,,,,,,1G -- FOTO RABOTAET -> Sativa
2,2,28-02-2020 17:58:57,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0191,12728,4682,424,190.0,,,,,,,,,Cocaine Pure VHQ 1g
3,3,28-02-2020 17:58:57,Tbilisi,ae784bef73,NEW ! Super Skunk ! NEW ! BUDS ! 1G Фото на хостинге!,True,1,нет,Тбилиси,1 гр,0.005,3015,1109,101,45.0,,,,,,,,,NEW ! Super Skunk ! NEW ! BUDS ! 1G Foto na hostinge!
4,4,28-02-2020 17:58:57,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0211,12661,4657,422,189.0,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
5,5,28-02-2020 17:58:57,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,4,нет,Тбилиси,1 гр,0.0191,12058,4435,402,180.0,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
6,6,28-02-2020 17:58:57,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,2 гр,0.0403,24117,8870,804,360.0,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
7,7,28-02-2020 17:58:57,Tbilisi,8219f5e7b8,"Cocaine, 2 g",True,1,нет,Тбилиси,2 гр,0.0447,26796,9856,894,400.0,,,,,,,,,"Cocaine, 2 g"
8,8,28-02-2020 17:58:57,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!,True,3,нет,Тбилиси,2 гр,0.0351,21437,7885,715,320.0,True,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!
9,9,28-02-2020 17:58:57,Tbilisi,8219f5e7b8,Ketamine 2 g,True,1,нет,Тбилиси,2 гр,0.0201,12058,4435,402,180.0,,,,,,,,,Ketamine 2 g
10,10,28-02-2020 17:58:57,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0386,23380,8599,780,349.0,,True,,,,,,,Kokain KOLUMBIA 2g
11,11,28-02-2020 17:58:57,Tbilisi,c225d2f67d,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0223,14068,5174,469,210.0,,,,,,,,,gashish evro 5g
12,12,28-02-2020 17:58:57,Tbilisi,7ee4f68218,🍃 5гр ГАШИШ 🍃,True,1,нет,Тбилиси,5 гр,0.0287,18088,6653,603,270.0,,,,,,,,,🍃 5gr GAShISh 🍃
13,13,28-02-2020 17:58:57,Tbilisi,7ee4f68218,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,10 гр,0.0351,22117,8133,732,,,,300.0,,,,,,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
14,14,28-02-2020 17:58:57,Tbilisi,7ee4f68218,10 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,10 гр,0.0351,22117,8133,732,,,,300.0,,,,,,10 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
15,15,28-02-2020 17:58:57,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",True,1,нет,Тбилиси,10 гр,0.0335,20097,7392,670,300.0,,,,,,,,,"LSD - 250 ug, 10 pieces"
16,16,28-02-2020 17:58:57,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road",True,1,нет,Тбилиси,10 гр,0.0255,16078,5914,536,240.0,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road"
