,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Nadzaladevi,Didube,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,0,29-05-2020 04:36:46,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,3,нет,Тбилиси,0.25 гр,0.0103,7110,2711,241,100.0,,,,,,,,,,,,,Iranian Sirec 0.25g.
1,1,29-05-2020 04:36:46,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,14,нет,Тбилиси,0.5 гр,0.0166,11305,4310,384,159.0,,,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,29-05-2020 04:36:46,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0057,3911,1491,133,55.0,True,,,,,,,,,,,,HQ Euro Hashish 0.5 g
3,3,29-05-2020 04:36:46,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,1,нет,Тбилиси,0.5 гр,0.003,2062,786,70,29.0,,True,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,4,29-05-2020 04:36:46,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,2,нет,Тбилиси,0.5 гр,0.0136,9243,3524,314,130.0,True,,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
5,5,29-05-2020 04:36:46,Tbilisi,cb721d4bca,1 г марихуана шишки VHQ индика THC 20%,,4,нет,Тбилиси,1 гр,0.004,2773,1057,94,39.0,True,,True,,,,,,,,,,1 g marihuana shishki VHQ indika THC 20%
6,6,29-05-2020 04:36:46,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,13,нет,Тбилиси,1 гр,0.0312,21259,8106,722,299.0,,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
7,7,29-05-2020 04:36:46,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0845,63991,24399,2172,900.0,,,,,,,,,,,,,Metadon 1gr
8,8,29-05-2020 04:36:46,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️,,11,нет,Тбилиси,1 гр,0.0051,3484,1328,118,49.0,,,,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️
9,9,29-05-2020 04:36:46,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,2 гр,0.0073,4977,1898,169,70.0,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
10,10,29-05-2020 04:36:46,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,10,нет,Тбилиси,2 гр,0.0092,6328,2413,215,89.0,,,,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
11,11,29-05-2020 04:36:46,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0088,6044,2304,205,85.0,True,,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
12,12,29-05-2020 04:36:46,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 200ug from California 2pc🌈🌈🌈🧞‍♀️,,4,нет,Тбилиси,2 гр,0.0092,6328,2413,215,89.0,,,,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 200ug from California 2pc🌈🌈🌈🧞‍♀️
13,13,29-05-2020 04:36:46,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,9,нет,Тбилиси,3 гр,0.0124,8461,3226,287,119.0,,,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
14,14,29-05-2020 04:36:46,Tbilisi,8528108b62,3g. марихуана шишки Critical,True,2,нет,Тбилиси,3 гр,0.0141,10665,4067,362,150.0,,,,,,,,,,,,,3g. marihuana shishki Critical
15,15,29-05-2020 04:36:46,Tbilisi,be97026d1d,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,2,нет,Тбилиси,3 гр,0.0334,23463,8946,797,330.0,,,,,,True,,,,,,,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
16,16,29-05-2020 04:36:46,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,2,нет,Тбилиси,3 гр,0.012,8177,3118,278,115.0,True,,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
17,17,29-05-2020 04:36:46,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,3,нет,Тбилиси,4 гр,0.0111,7608,2901,258,107.0,,,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
18,18,29-05-2020 04:36:46,Tbilisi,be97026d1d,!!Critical Kush 5g!! !!! BTC SALE 5% !!!,,2,нет,Тбилиси,5 гр,0.0242,16993,6479,577,239.0,,,,True,,,,,,,,,!!Critical Kush 5g!! !!! BTC SALE 5% !!!
19,19,29-05-2020 04:36:46,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,1,нет,Тбилиси,5 гр,0.0144,9883,3768,336,139.0,,,,True,,,,,,,,,5 gr georgian weed. Package on magnet
20,20,29-05-2020 04:36:46,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,1,нет,Тбилиси,5 гр,0.0061,4195,1599,142,59.0,,,,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
