,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Батуми,Центр,desc_en
0,0,25-07-2020 06:16:10,Tbilisi,be97026d1d,!!Hash!! Гашиш 0.5г !!! BTC SALE 5%!!!!,True,3,нет,Тбилиси,0.5 гр,0.0069,4820,1885,161,58.0,,,,,,,,,,,!!Hash!! Gashish 0.5g !!! BTC SALE 5%!!!!
1,1,25-07-2020 06:16:10,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,7,нет,Тбилиси,0.5 гр,0.0035,2363,925,79,,True,33.0,,,,,,,,,0.5 gr HYBRID buds
2,2,25-07-2020 06:16:10,Tbilisi,ebadfc162f,Gorilla Glue 0.5G Super strong weed LIMITED,,6,нет,Тбилиси,0.5 гр,0.0036,2506,981,84,,True,35.0,True,,,,,,,,Gorilla Glue 0.5G Super strong weed LIMITED
3,3,25-07-2020 06:16:10,Tbilisi,ebadfc162f,The Best Weed In Your Life Is Back 0.5G,,2,нет,Тбилиси,0.5 гр,0.0039,2649,1037,88,,True,37.0,True,,,,,,,,The Best Weed In Your Life Is Back 0.5G
4,4,25-07-2020 06:16:10,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,,7,нет,Тбилиси,0.5 гр,0.0034,2363,925,79,,True,33.0,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
5,5,25-07-2020 06:16:10,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,2,нет,Тбилиси,1 гр,0.0061,4224,1653,141,,,59.0,,True,,,,,,,1 G Hybrid Marijuana Buds
6,6,25-07-2020 06:16:10,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,6,нет,Тбилиси,1 гр,0.0063,4296,1681,143,,True,60.0,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,7,25-07-2020 06:16:10,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,1 гр,0.0063,4296,1681,143,,True,60.0,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,8,25-07-2020 06:16:10,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,1 гр,0.0061,4224,1653,141,,True,59.0,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
9,9,25-07-2020 06:16:10,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,4,нет,Тбилиси,1 гр,0.0061,4224,1653,141,,True,59.0,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
10,10,25-07-2020 06:16:10,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),True,1,нет,Тбилиси,1 гр,0.0055,3795,1485,127,,,53.0,,,,,,,,,1G ---> Big Devil (BTC - Sale)
11,11,25-07-2020 06:16:10,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,1,нет,Тбилиси,1 гр,0.0063,4296,1681,143,,True,60.0,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
12,12,25-07-2020 06:16:10,Tbilisi,0dec0e1c48,1gr HYBRID o.g,,7,нет,Тбилиси,1 гр,0.0051,3508,1373,117,,True,49.0,,,,,,,,,1gr HYBRID o.g
13,13,25-07-2020 06:16:10,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,1 гр,0.0051,3508,1373,117,,True,49.0,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
14,14,25-07-2020 06:16:10,Tbilisi,7c395c455d,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,1,нет,Тбилиси,1 гр,0.0083,5728,2242,191,,True,80.0,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
15,15,25-07-2020 06:16:10,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 1гр",,1,нет,Тбилиси,1 гр,0.0052,3938,1541,131,,,55.0,,True,,,,,,,"Hindu Kush (photoperiod, regular) 1gr"
16,16,25-07-2020 06:16:10,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,,2,нет,Тбилиси,1 гр,0.0052,3938,1541,131,,True,55.0,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
17,17,25-07-2020 06:16:10,Tbilisi,f374062dcd,Сирец Иран 1гр,,5,нет,Тбилиси,1 гр,0.0246,18615,7285,621,,True,260.0,,,,,,,,,Sirets Iran 1gr
18,18,25-07-2020 06:16:10,Tbilisi,f25c0d6c5c,Шишка добрая 1 g,,23,нет,Тбилиси,1 гр,0.0051,3600,1657,120,,True,,,,,,,,,,Shishka dobraja 1 g
19,19,25-07-2020 06:16:10,Tbilisi,7c395c455d,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,4,нет,Тбилиси,1.2 гр,0.0125,8592,3362,287,,True,120.0,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
20,20,25-07-2020 06:16:10,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,3,нет,Тбилиси,2 гр,0.0103,7088,2774,237,,,99.0,,True,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
21,21,25-07-2020 06:16:10,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,3,нет,Тбилиси,2 гр,0.0114,7804,3054,260,,,109.0,,True,,,,,,,2 G Hybrid Marijuana Buds
22,22,25-07-2020 06:16:10,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,2,нет,Тбилиси,2 гр,0.0115,7876,3082,263,,True,110.0,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
23,23,25-07-2020 06:16:10,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0125,8592,3362,287,,True,120.0,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
24,24,25-07-2020 06:16:10,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,2,нет,Тбилиси,2 гр,0.0125,8592,3362,287,,True,120.0,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
25,25,25-07-2020 06:16:10,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,2 гр,0.0115,7876,3082,263,,True,110.0,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
