,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Varketili,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Vake,Батуми,Центр,desc_en
0,0,07-08-2020 15:28:07,Tbilisi,8ddca45a78,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",True,1,нет,Тбилиси,0.5 гр,0.0024,2136,808,71,29.0,,,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
1,1,07-08-2020 15:28:07,Tbilisi,8ddca45a78,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,3,нет,Тбилиси,0.5 гр,0.0024,2136,808,71,29.0,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
2,2,07-08-2020 15:28:07,Tbilisi,16a8841259,0.5 Gram Skunk HQ,True,3,нет,Тбилиси,0.5 гр,0.0026,2283,864,76,31.0,,,,,,,,,,,,0.5 Gram Skunk HQ
3,3,07-08-2020 15:28:07,Tbilisi,16a8841259,0.5 Gramm Ak-47 Best Seller,True,1,нет,Тбилиси,0.5 гр,0.0027,2356,892,78,32.0,,,,,,,,,,,,0.5 Gramm Ak-47 Best Seller
4,4,07-08-2020 15:28:07,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,6,нет,Тбилиси,0.5 гр,0.0028,2430,919,80,33.0,,,,,,,,,,,,0.5 gr HYBRID buds
5,5,07-08-2020 15:28:07,Tbilisi,21de5577be,0.5 gr. Afghan kush 100% Natural (Indika),,7,нет,Тбилиси,0.5 гр,0.0027,2356,892,78,32.0,True,,,,,,,,,,,0.5 gr. Afghan kush 100% Natural (Indika)
6,6,07-08-2020 15:28:07,Tbilisi,21de5577be,0.5 gr. Magic Kush IMPORT (INDICA),,8,нет,Тбилиси,0.5 гр,0.0027,2356,892,78,32.0,True,,,,,,,,,,,0.5 gr. Magic Kush IMPORT (INDICA)
7,7,07-08-2020 15:28:07,Tbilisi,4659482266,0.5 г.Super Skunk top class buds! (подезд),,1,нет,Тбилиси,0.5 гр,0.0026,2283,864,76,31.0,,True,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
8,8,07-08-2020 15:28:07,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),,14,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25.0,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
9,9,07-08-2020 15:28:07,Tbilisi,e771f4c371,CLOWNBARON ШИШКИ* VHQ*♤THC 28%♤0.5G SPECIAL PRICE,,2,нет,Тбилиси,0.5 гр,0.0024,2136,808,71,29.0,True,,,,,,,,,,,CLOWNBARON ShIShKI* VHQ*♤THC 28%♤0.5G SPECIAL PRICE
10,10,07-08-2020 15:28:07,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0025,2209,836,73,30.0,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
11,11,07-08-2020 15:28:07,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0025,2209,836,73,30.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
12,12,07-08-2020 15:28:07,Tbilisi,fccfd69694,Бошки OG Kush 05g.,True,3,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25.0,,,,,,,,,,,,Boshki OG Kush 05g.
13,13,07-08-2020 15:28:07,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,1 гр,0.0051,4418,1672,146,60.0,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
14,14,07-08-2020 15:28:07,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,7,нет,Тбилиси,1 гр,0.005,4345,1644,144,59.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds
15,15,07-08-2020 15:28:07,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,9,нет,Тбилиси,1 гр,0.0051,4418,1672,146,60.0,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
16,16,07-08-2020 15:28:07,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,1,нет,Тбилиси,1 гр,0.005,4345,1644,144,59.0,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
17,17,07-08-2020 15:28:07,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,5,нет,Тбилиси,1 гр,0.0051,4418,1672,146,60.0,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
18,18,07-08-2020 15:28:07,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.005,4345,1644,144,59.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
19,19,07-08-2020 15:28:07,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),,2,нет,Тбилиси,1 гр,0.0047,4050,1532,134,55.0,,True,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
20,20,07-08-2020 15:28:07,Tbilisi,21de5577be,1.0 gr. Magic Kush IMPORT (INDICA),,4,нет,Тбилиси,1 гр,0.0045,3903,1477,129,53.0,True,,,,,,,,,,,1.0 gr. Magic Kush IMPORT (INDICA)
21,21,07-08-2020 15:28:07,Tbilisi,8ddca45a78,1G 🍇 GRAPE APE,True,4,нет,Тбилиси,1 гр,0.0044,3829,1449,127,52.0,,,,,,,,,,,,1G 🍇 GRAPE APE
