,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,05-02-2020 22:22:42,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0166,11371,4482,387,180,,,,,,,,,,Metadon VHQ 0.25 24/7
1,05-02-2020 22:22:42,Tbilisi,72B,CHINATOWN,"NZT-52 mind storm limited 0,3г мука",True,4,нет,Тбилиси,0.3 гр,0.0065,4422,1743,150,70,,,,,,,,,,"NZT-52 mind storm limited 0,3g muka"
2,05-02-2020 22:22:42,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,4,нет,Тбилиси,0.3 гр,0.0165,12003,4731,408,190,,,,,,,,,,Metadon 0.30gr
3,05-02-2020 22:22:42,Tbilisi,TI21,Campaari,"A PVP 0,33 VHQ",True,6,нет,Тбилиси,0.33 гр,0.0058,3790,1494,129,60,,,,,,,,,,"A PVP 0,33 VHQ"
4,05-02-2020 22:22:42,Tbilisi,LYHBG,Playboy,0.5 g. Ketamine,True,7,нет,Тбилиси,0.5 гр,0.006,3727,1469,127,59,,,,,,,,,,0.5 g. Ketamine
5,05-02-2020 22:22:42,Tbilisi,5JG6,BenderMan,"Cocaine, 0.5 g",True,9,нет,Тбилиси,0.5 гр,0.0113,6949,2739,236,110,,,,,,,,,,"Cocaine, 0.5 g"
6,05-02-2020 22:22:42,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 0.5 BTC SALE 5%,True,4,нет,Тбилиси,0.5 гр,0.0104,6633,2615,226,105,,,,,,,,,,Columbia Cocaine VHQ 0.5 BTC SALE 5%
7,05-02-2020 22:22:42,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0061,3790,1494,129,60,,,,,,,,,,Ketamine 0.5g
8,05-02-2020 22:22:42,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0276,18952,7470,644,300,,,,,,,,,,Metadon VHQ 0.5 24/7
9,05-02-2020 22:22:42,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,1,нет,Тбилиси,0.5 гр,0.0101,6254,2465,213,99,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
10,05-02-2020 22:22:42,Tbilisi,9VLN,AlienShop,❄❄❄0.5g HQ COCAINE❄❄❄,True,1,нет,Тбилиси,0.5 гр,0.0101,6254,2465,213,99,,,,,,,,,,❄❄❄0.5g HQ COCAINE❄❄❄
11,05-02-2020 22:22:42,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,17,нет,Тбилиси,0.8 гр,0.0122,7581,2988,258,120,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
12,05-02-2020 22:22:42,Tbilisi,0WE,Khachapuri,1 g Ketamine / 1 гр Кетамин (скидка в биткоин),True,1,нет,Тбилиси,1 гр,0.0069,4738,1868,161,75,,,,,,,,,,1 g Ketamine / 1 gr Ketamin (skidka v bitkoin)
13,05-02-2020 22:22:42,Tbilisi,ABOAB,ProGrow,1G -- AK-47 -> Sativa,,12,нет,Тбилиси,1 гр,0.0039,2464,971,84,39,True,,,,,,,,,1G -- AK-47 -> Sativa
14,05-02-2020 22:22:42,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,9,нет,Тбилиси,1 гр,0.0122,7581,2988,258,120,,,,,,,,,,Apvp VHQ 1g 24/7
15,05-02-2020 22:22:42,Tbilisi,5JG6,BenderMan,"Cocaine, 1g",True,8,нет,Тбилиси,1 гр,0.0225,13898,5478,473,220,,,,,,,,,,"Cocaine, 1g"
16,05-02-2020 22:22:42,Tbilisi,Z5UFK,Vein,Crystal Mephedrone 1g,True,2,нет,Тбилиси,1 гр,0.011,6886,2714,234,109,,,,,,,,,,Crystal Mephedrone 1g
17,05-02-2020 22:22:42,Tbilisi,YOI,Hashland,HASH Mexicana 1 g SALE -10% for bitcoin.,True,6,нет,Тбилиси,1 гр,0.0066,4533,1783,154,,,65,,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
18,05-02-2020 22:22:42,Tbilisi,5JG6,BenderMan,Ketamine 1g,True,17,нет,Тбилиси,1 гр,0.0102,6317,2490,215,100,,,,,,,,,,Ketamine 1g
19,05-02-2020 22:22:42,Tbilisi,LYHBG,Playboy,Ketamine 1g.,True,5,нет,Тбилиси,1 гр,0.0091,5623,2216,191,89,,,,,,,,,,Ketamine 1g.
20,05-02-2020 22:22:42,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.0g BTC SALE 5%,True,7,нет,Тбилиси,1 гр,0.0094,6002,2366,204,95,,,,,,,,,,MDMA from Europe!!! 1.0g BTC SALE 5%
