,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
23,24-02-2020 15:45:43,Tbilisi,5JG6,BenderMan,"Cocaine, 1g",True,4,нет,Тбилиси,1 гр,0.0218,14146,5392,487,220,,,,,,,,,,"Cocaine, 1g"
24,24-02-2020 15:45:43,Tbilisi,5JG6,BenderMan,Ketamine 1g,True,2,нет,Тбилиси,1 гр,0.0099,6430,2451,221,100,,,,,,,,,,Ketamine 1g
25,24-02-2020 15:45:43,Tbilisi,LYHBG,Playboy,Ketamine 1g.,True,5,нет,Тбилиси,1 гр,0.0088,5723,2181,197,89,,,,,,,,,,Ketamine 1g.
26,24-02-2020 15:45:43,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 1piece",True,1,нет,Тбилиси,1 гр,0.004,2572,980,88,40,,,,,,,,,,"LSD - 250 ug, 1piece"
27,24-02-2020 15:45:43,Tbilisi,X4ZM,ZYX,Гашиш Double-Twesla ! 1g ! VHQ ! TOP ! NEW !,True,2,нет,Тбилиси,1 гр,0.0074,4823,1838,166,75,,,,,,,,,,Gashish Double-Twesla ! 1g ! VHQ ! TOP ! NEW !
28,24-02-2020 15:45:43,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,3,нет,Тбилиси,1 гр,0.0392,25720,9804,885,400,,,,,,,,,,"Metadon, 1gr"
29,24-02-2020 15:45:43,Tbilisi,X4ZM,ZYX,MDMA 0.8g + ketamine 0.3g ! VHQ,True,1,нет,Тбилиси,1.1 гр,0.0123,8038,3064,277,125,,,,,,,,,,MDMA 0.8g + ketamine 0.3g ! VHQ
30,24-02-2020 15:45:43,Tbilisi,JVZTQ,partyshop,2 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,1,нет,Тбилиси,2 гр,0.0231,15111,5760,520,235,,,,,,,,,,2 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
31,24-02-2020 15:45:43,Tbilisi,0WE,Khachapuri,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,2,нет,Тбилиси,2 гр,0.0071,4859,1857,167,,,,70,,,,,,,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
32,24-02-2020 15:46:24,Tbilisi,ABOAB,ProGrow,2G -- AK-47 -> Sativa,True,12,нет,Тбилиси,2 гр,0.0062,4180,1593,144,65,,True,,,,,,,,2G -- AK-47 -> Sativa
33,24-02-2020 15:46:24,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,2 гр,0.0078,5080,1936,175,79,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
34,24-02-2020 15:46:24,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,3,нет,Тбилиси,2 гр,0.0335,22184,8456,763,345,,True,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
35,24-02-2020 15:46:24,Tbilisi,5JG6,BenderMan,Ketamine 2 g,True,5,нет,Тбилиси,2 гр,0.0178,11574,4412,398,180,,,,,,,,,,Ketamine 2 g
36,24-02-2020 15:46:24,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 2 pieces",True,8,нет,Тбилиси,2 гр,0.0069,4501,1716,155,70,,,,,,,,,,"LSD - 250 ug, 2 pieces"
37,24-02-2020 15:46:24,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0342,22441,8554,772,349,,,,True,,,,,,Kokain KOLUMBIA 2g
38,24-02-2020 15:46:24,Tbilisi,0WE,Khachapuri,🍃 2гр ГАШИШ 🍃,True,4,нет,Тбилиси,2 гр,0.0104,7073,2696,243,110,,,,,,,,,,🍃 2gr GAShISh 🍃
39,24-02-2020 15:46:24,Tbilisi,0WE,Khachapuri,"3 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,3 гр,0.0102,6942,2653,239,,,,100,,,,,,,"3 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
40,24-02-2020 15:46:24,Tbilisi,0WE,Khachapuri,3 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,3 гр,0.0102,6942,2653,239,,,,100,,,,,,,3 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
41,24-02-2020 15:46:24,Tbilisi,03F3,geoshop,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.024,15754,6005,542,245,,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
42,24-02-2020 15:46:24,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0104,6752,2574,232,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
43,24-02-2020 15:46:24,Tbilisi,X4ZM,ZYX,NEW ! Easy Bud ! SALE !,True,3,нет,Тбилиси,3 гр,0.0078,5144,1961,177,80,,,,,,,,,,NEW ! Easy Bud ! SALE !
