,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
21,22-05-2020 06:56:16,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.0113,7447,2831,250,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
22,22-05-2020 06:56:16,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,5,нет,Тбилиси,5 гр,0.0126,8440,3208,284,119,,,True,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
23,22-05-2020 06:56:16,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,10 гр,0.0211,14114,5365,475,199,,,True,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
24,22-05-2020 06:56:16,Tbilisi,HWUW,opiopi,GABAGAMA 10 SHTUK,True,2,нет,Тбилиси,10 гр,0.0014,1064,404,36,15,,,,,,,,,,,GABAGAMA 10 SHTUK
25,22-05-2020 06:56:16,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0463,31916,12132,1074,450,,,,,,,,,,,Gashish Evro 10gr
26,22-05-2020 06:56:16,Tbilisi,PTO3,MeDuZa777,"Отсев шышек от AKA-47, GAGARINA и BANANA KUSHA с листьями 15г",True,7,нет,Тбилиси,15 гр,0.0159,10639,4044,358,150,,,,,,,,,,,"Otsev shyshek ot AKA-47, GAGARINA i BANANA KUSHA s list'jami 15g"
27,22-05-2020 06:56:16,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0792,55108,20948,1854,777,,,,,,,,,,,Gashish Evro 20gr
28,22-05-2020 06:56:16,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.193,141848,53920,4771,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
29,22-05-2020 06:56:16,Tbilisi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,4,Тбилиси,0.2 гр,0.0105,7002,2664,235,,,,,,90,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
30,22-05-2020 06:56:16,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.017,11348,4314,382,160,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
31,22-05-2020 06:56:16,Tbilisi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0349,25673,9768,863,,,,,,330,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
32,22-05-2020 06:56:16,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,1,Тбилиси,2 гр,0.0396,26171,9948,880,369,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
33,22-05-2020 06:56:16,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0621,41065,15610,1381,579,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
34,22-05-2020 06:56:53,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0425,28370,10784,954,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
