,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
25,20-05-2020 21:18:44,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0455,32552,12105,1087,450,,,,,,,,,,Gashish Evro 10gr
26,20-05-2020 21:18:44,Tbilisi,PTO3,MeDuZa777,"Отсев шышек от AKA-47, GAGARINA и BANANA KUSHA с листьями 15г",True,12,нет,Тбилиси,15 гр,0.0157,10851,4035,362,150,,,,,,,,,,"Otsev shyshek ot AKA-47, GAGARINA i BANANA KUSHA s list'jami 15g"
27,20-05-2020 21:18:44,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0778,56207,20901,1877,777,,,,,,,,,,Gashish Evro 20gr
28,20-05-2020 21:18:44,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1898,144676,53800,4832,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
29,20-05-2020 21:18:44,Tbilisi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.0103,7126,2648,238,,,,,90,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
30,20-05-2020 21:18:44,Tbilisi,A3I9,Joookerrr,"MDMA ""цунами удовольствия) 0.5 грамм",True,нет,10,Тбилиси,0.5 гр,0.0084,5787,2152,193,80,,,,,,,,,,"MDMA ""tsunami udovol'stvija) 0.5 gramm"
31,20-05-2020 21:18:44,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0167,11574,4304,387,160,,,,,,,,,,"""Kief"" Weed trichomes 1G"
32,20-05-2020 21:18:44,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,1,Тбилиси,2 гр,0.0389,26693,9926,891,369,,,,,,,,,,❄❄2g HQ COCAINE❄❄
33,20-05-2020 21:18:44,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.061,41884,15575,1399,579,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
34,20-05-2020 21:19:27,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0418,28935,10760,966,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
