,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,25-03-2020 15:53:38,Tbilisi,8a650ecf5f,"Метадон VHQ 0,10",True,4,нет,Тбилиси,0.1 гр,0.013999999999999999,7779,2825,260,100.0,,,,,,,,,,"Metadon VHQ 0,10"
1,1,25-03-2020 15:53:38,Tbilisi,99accec7c7,METHADONE 0.25 THE BEST QUALITY VHQ,,10,нет,Тбилиси,0.25 гр,0.0279,15559,5650,520,200.0,True,,,,,,,,,METHADONE 0.25 THE BEST QUALITY VHQ
2,2,25-03-2020 15:53:38,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,1,нет,Тбилиси,0.25 гр,0.0265,14781,5368,494,190.0,,,,,,,,,,"Metadon VHQ 0,25"
3,3,25-03-2020 15:53:38,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.33 грамм",True,1,нет,Тбилиси,0.33 гр,0.006,3703,1342,124,,,44.0,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.33 gramm"
4,4,25-03-2020 15:53:38,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0559,31117,11300,1040,400.0,,,,,,,,,,Metadon VHQ 0.5 24/7
5,5,25-03-2020 15:53:38,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.006999999999999999,3890,1413,130,50.0,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
6,6,25-03-2020 15:53:38,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,14,нет,Тбилиси,1 гр,0.006,3345,1215,112,43.0,,,,,,,,,,Amsterdam weed sativa 1gr
7,7,25-03-2020 15:53:38,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1143,70014,25425,2340,900.0,,,,,,,,,,Metadon 1gr
8,8,25-03-2020 15:53:38,Tbilisi,edfbad0151,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%),True,6,нет,Тбилиси,2 гр,0.0112,6223,2260,208,80.0,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%)
9,9,25-03-2020 15:53:38,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,3,нет,Тбилиси,2 гр,0.011000000000000001,6146,2232,205,79.0,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
