,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Gldani,Тбилиси,$,Saburtalo,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,07-06-2020 07:59:49,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0169,11695,4560,405,150.0,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,07-06-2020 07:59:49,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,,1,7,Тбилиси,0.25 гр,0.0041,2745,1074,95,,True,True,40.0,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
2,2,07-06-2020 07:59:49,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,11,нет,Тбилиси,1 гр,0.0306,20521,8028,712,,,True,299.0,,,,,,,,1G --... BoLiVian Coke ...-- 1G
3,3,07-06-2020 07:59:49,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,,6,нет,Тбилиси,2 гр,0.0091,6108,2390,212,,,True,89.0,,,,,,,,2 ECSTASY << PACO RABANNE >>
4,4,07-06-2020 07:59:49,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,,2,нет,Тбилиси,3 гр,0.0122,8167,3195,283,,,True,119.0,,,,,,,,3 ECSTASY << PACO RABANNE >>
5,5,07-06-2020 07:59:49,Tbilisi,8528108b62,4g.марихуана шишки white widow,,2,нет,Тбилиси,4 гр,0.018000000000000002,13383,5236,464,,,True,195.0,,,,,,,,4g.marihuana shishki white widow
6,6,07-06-2020 07:59:49,Tbilisi,97d5fcd29b,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0053,3775,1477,131,,,True,55.0,,,,,,,,Suboxene 4mg
7,7,07-06-2020 07:59:49,Tbilisi,8528108b62,5g. марихуана шишки Critical,,3,нет,Тбилиси,5 гр,0.0221,16472,6444,571,,,True,240.0,,,,,,,,5g. marihuana shishki Critical
8,8,07-06-2020 07:59:49,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,4,нет,Тбилиси,5 гр,0.0179,12011,4699,417,,,True,175.0,,,,,,,,5x Extasy Duracell 223mg MDMA.
9,9,07-06-2020 07:59:49,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,2,нет,Тбилиси,5 гр,0.1149,80299,31415,2786,,,True,1170.0,,,,,,,,VHQ BEST Cocaine 5g.
10,10,07-06-2020 07:59:49,Tbilisi,3ea41fd329,"SUBOQSIN ""DNK"" 8ML",,1,нет,Тбилиси,8 гр,0.0151,10226,4001,355,,,,149.0,True,,,,,,,"SUBOQSIN ""DNK"" 8ML"
11,11,07-06-2020 07:59:49,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,1,нет,Тбилиси,10 гр,0.0262,17776,6954,617,,,True,259.0,,,,,,,,10 gr georgian weed. Package on magnet
12,12,07-06-2020 07:59:49,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,,3,нет,Тбилиси,10 гр,0.0101,6863,2685,238,,,,100.0,,True,,,,,,10 gr marihuana list'ja top gibrid
13,13,07-06-2020 07:59:49,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,,6,нет,Тбилиси,10 гр,0.0014,961,376,33,,,True,14.0,,,,,,,,GABAGAMA 10 shtuk
14,14,07-06-2020 07:59:49,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0461,34316,13425,1191,,,True,500.0,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
15,15,07-06-2020 07:59:49,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2045,137264,53700,4762,,,True,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
