,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
0,0,11-08-2020 23:12:56,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,1,нет,Тбилиси,0.12 гр,0.0085,8047,3058,269,110.0,,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,11-08-2020 23:12:56,Tbilisi,f374062dcd,Очень мощный Сирец из Ирана 0.3гр,True,18,нет,Тбилиси,0.3 гр,0.0074,6584,2502,220,90.0,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
2,2,11-08-2020 23:12:56,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,4,нет,Тбилиси,0.5 гр,0.0028,2414,917,81,33.0,,,,,,,,,,,,0.5 gr HYBRID buds
3,3,11-08-2020 23:12:56,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),True,13,нет,Тбилиси,0.5 гр,0.002,1683,639,56,23.0,,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
4,4,11-08-2020 23:12:56,Tbilisi,16a8841259,0.5Gramm 😬 AK-49 NEW!!!,True,7,нет,Тбилиси,0.5 гр,0.0024,2048,778,69,28.0,,,,,,,,,,,,0.5Gramm 😬 AK-49 NEW!!!
5,5,11-08-2020 23:12:56,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0026,2195,834,73,30.0,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
6,6,11-08-2020 23:12:56,Tbilisi,ae784bef73,NEW ! Super Skunk ! HQ BUDS ! 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0026,2268,862,76,31.0,,,,,,,,,,,,NEW ! Super Skunk ! HQ BUDS ! 0.5G
7,7,11-08-2020 23:12:56,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,9,нет,Тбилиси,0.5 гр,0.0021,1829,695,61,25.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
8,8,11-08-2020 23:12:56,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,14,нет,Тбилиси,1 гр,0.0047,4023,1529,135,55.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds
9,9,11-08-2020 23:12:56,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,10,нет,Тбилиси,1 гр,0.0051,4389,1668,147,60.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
