,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
0,0,30-07-2020 20:26:17,Tbilisi,e771f4c371,!!!NEW!!! AmneziaXSkittels 0.5G IMPORT,True,4,нет,Тбилиси,0.5 гр,0.0032,2568,977,85,35.0,,,,,,,,,,,!!!NEW!!! AmneziaXSkittels 0.5G IMPORT
1,1,30-07-2020 20:26:17,Tbilisi,8ddca45a78,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",,2,нет,Тбилиси,0.5 гр,0.0024,1981,753,65,27.0,True,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
2,2,30-07-2020 20:26:17,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,8,нет,Тбилиси,0.5 гр,0.003,2421,921,80,33.0,True,,,,,,,,,,0.5 gr HYBRID buds
3,3,30-07-2020 20:26:17,Tbilisi,21de5577be,0.5 gr. Amnesia Haze 100% Natural / Sativa,True,3,нет,Тбилиси,0.5 гр,0.0028,2274,865,75,31.0,,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural / Sativa
4,4,30-07-2020 20:26:17,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,,17,нет,Тбилиси,0.5 гр,0.0027,2201,837,73,30.0,True,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
5,5,30-07-2020 20:26:17,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,1 гр,0.0053,4328,1646,143,59.0,True,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
6,6,30-07-2020 20:26:17,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),,5,нет,Тбилиси,1 гр,0.005,4035,1535,133,55.0,,True,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
7,7,30-07-2020 20:26:17,Tbilisi,0dec0e1c48,1gr HYBRID o.g,,31,нет,Тбилиси,1 гр,0.0044,3595,1367,118,49.0,True,,,,,,,,,,1gr HYBRID o.g
8,8,30-07-2020 20:26:17,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,13,нет,Тбилиси,1 гр,0.0044,3595,1367,118,49.0,True,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
9,9,30-07-2020 20:26:17,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,,18,нет,Тбилиси,1 гр,0.0041,3375,1283,111,46.0,True,,,,,,,,,,Amsterdam weed sativa 1gr
10,10,30-07-2020 20:26:17,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,,1,нет,Тбилиси,1 гр,0.0045,4035,1535,133,55.0,True,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
11,11,30-07-2020 20:26:17,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,,2,нет,Тбилиси,1 гр,0.0045,3668,1395,121,50.0,True,,,,,,,,,,VHQ Hybrid MJ Buds 1G
12,12,30-07-2020 20:26:17,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,,1,нет,Тбилиси,1 гр,0.0045,4035,1535,133,55.0,True,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
13,13,30-07-2020 20:26:17,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,2 гр,0.0089,7263,2762,239,99.0,,,True,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
14,14,30-07-2020 20:26:17,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0108,8804,3348,290,120.0,True,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
15,15,30-07-2020 20:26:17,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0108,8804,3348,290,120.0,True,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
16,16,30-07-2020 20:26:17,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,,2,нет,Тбилиси,2 гр,0.0108,8804,3348,290,120.0,True,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
17,17,30-07-2020 20:26:17,Tbilisi,0dec0e1c48,2gr HYBRID buds,,3,нет,Тбилиси,2 гр,0.0079,6456,2455,213,88.0,True,,,,,,,,,,2gr HYBRID buds
18,18,30-07-2020 20:26:17,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0108,8804,3348,290,120.0,True,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
19,19,30-07-2020 20:26:17,Tbilisi,e771f4c371,Skunk 2G (25 % THC)*VHQ* IMPORT SPECIAL PRICE,True,1,нет,Тбилиси,2 гр,0.0086,6970,2651,230,95.0,,,,,,,,,,,Skunk 2G (25 % THC)*VHQ* IMPORT SPECIAL PRICE
20,20,30-07-2020 20:26:17,Tbilisi,83f3d55917,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers,True,2,нет,Тбилиси,3 гр,0.0108,8804,3348,290,120.0,,,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers
21,21,30-07-2020 20:26:17,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,,2,нет,Тбилиси,3 гр,0.0081,7263,2762,239,99.0,True,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
22,22,30-07-2020 20:26:17,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,,1,нет,Тбилиси,10 гр,0.0245,21936,8342,723,299.0,True,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
23,23,30-07-2020 20:26:17,Tbilisi,52fe6d0af9,VHQ Methadon 1G max 12 Hours for adrss,,нет,1,Тбилиси,1 гр,0.09,73363,27900,2418,1000.0,True,,,,,,,,,,VHQ Methadon 1G max 12 Hours for adrss
24,24,30-07-2020 20:26:17,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,3,Тбилиси,1 гр,0.0331,26739,10168,881,,True,,,310.0,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
25,25,30-07-2020 20:26:17,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,6,Тбилиси,4 гр,0.036000000000000004,29345,11160,967,400.0,True,,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
26,26,30-07-2020 20:26:17,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0225,18341,6975,605,250.0,True,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
27,27,30-07-2020 20:26:17,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0243,19808,7533,653,270.0,True,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
28,28,30-07-2020 20:26:17,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0248,20175,7673,665,275.0,True,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
29,29,30-07-2020 20:26:17,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0216,17607,6696,580,240.0,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
30,30,30-07-2020 20:26:17,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0252,20542,7812,677,280.0,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
31,31,30-07-2020 20:26:17,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0243,19808,7533,653,270.0,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
32,32,30-07-2020 20:26:17,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0179,16067,6110,530,219.0,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
33,33,30-07-2020 20:26:17,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,2,Тбилиси,5 гр,0.0212,17240,6557,568,235.0,True,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
34,34,30-07-2020 20:26:17,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",,нет,2,Тбилиси,5 гр,0.0196,17607,6696,580,240.0,True,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
35,35,30-07-2020 20:27:45,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,нет,1,Тбилиси,5 гр,0.0196,17607,6696,580,240.0,True,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
36,36,30-07-2020 20:27:45,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 5G,,нет,3,Тбилиси,5 гр,0.0211,17240,6557,568,235.0,True,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
37,37,30-07-2020 20:27:45,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0243,19808,7533,653,270.0,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
38,38,30-07-2020 20:27:45,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2119,190000,87429,6358,,True,,,,,,,,,,reagent 25i nbome. 5gr
39,39,30-07-2020 20:27:45,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2454,220090,83700,7254,3000.0,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
40,40,30-07-2020 20:27:45,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,5 гр,0.0214,17251,6560,568,,True,,,200.0,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
41,41,30-07-2020 20:27:45,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0495,40350,15345,1330,550.0,True,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
42,42,30-07-2020 20:27:45,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.063,51354,19530,1693,700.0,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
43,43,30-07-2020 20:27:45,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0378,30813,11718,1016,420.0,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
44,44,30-07-2020 20:27:45,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.07200000000000001,58691,22320,1934,800.0,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
45,45,30-07-2020 20:27:45,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,8,Тбилиси,10 гр,0.0378,30813,11718,1016,420.0,True,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
46,46,30-07-2020 20:27:45,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2002,163233,62078,5380,2225.0,True,,,,,,,,,,Amfetamin [White] [Import] 10G
47,47,30-07-2020 20:27:45,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.047,37951,14432,1250,,True,,,440.0,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
48,48,30-07-2020 20:27:45,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0416,33639,12792,1108,,True,,,390.0,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
49,49,30-07-2020 20:27:45,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0532,47686,18135,1572,650.0,True,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
50,50,30-07-2020 20:27:45,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.21600000000000003,176072,66960,5803,2400.0,True,,,,,,,,,,100 gr marijuana buds
51,51,30-07-2020 20:27:45,Tbilisi,8ddca45a78,"Weed cooking butter 100gr, Hight THC",,нет,2,Тбилиси,100 гр,0.0179,14599,5552,481,199.0,True,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
52,52,30-07-2020 20:27:45,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.225,183408,69750,6045,2500.0,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
53,53,30-07-2020 20:27:45,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.5309,432843,164610,14266,5900.0,True,,,,,,,,,,180 gr marihuana persoalno
54,54,30-07-2020 20:27:45,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,True,нет,3,Тбилиси,500 гр,0.09,73363,27900,2418,1000.0,,,,,,True,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
55,55,30-07-2020 20:27:45,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.7649,623588,237150,20553,8500.0,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
56,56,30-07-2020 20:27:45,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0164,14673,5580,484,200.0,True,,,,,,,,,,KURYER..500RUB.+BONUS
57,57,30-07-2020 20:27:45,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,True,1,нет,Тбилиси,1 гр,0.0225,18341,6975,605,250.0,,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
58,58,30-07-2020 20:27:45,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0225,18341,6975,605,250.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
59,59,30-07-2020 20:27:45,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,,1,нет,Тбилиси,5 гр,0.0491,44018,16740,1451,600.0,True,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
60,60,30-07-2020 20:27:45,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.018000000000000002,14673,5580,484,200.0,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
61,61,30-07-2020 20:27:45,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0225,18341,6975,605,250.0,True,,,,,,,,,,Rabota na marki (kur'er)
62,62,30-07-2020 20:27:45,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.045,36682,13950,1209,500.0,True,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
63,63,30-07-2020 20:27:45,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,,нет,1,Тбилиси,10 гр,0.045,36682,13950,1209,500.0,True,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
64,64,30-07-2020 20:27:45,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.3619999999999999,1100450,418500,36270,15000.0,True,,,,,,,,,,Vakansija optovogo kur'era na mef
65,65,30-07-2020 20:27:45,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.045,36682,13950,1209,500.0,,,,,True,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
66,66,30-07-2020 20:30:06,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️",,9,нет,Батуми,0.2 гр,0.0127,10264,3903,338,,,,,119.0,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️"
