,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vazisubani,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
36,01-07-2020 23:20:31,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0472,35221,13480,1206,500,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
37,01-07-2020 23:20:31,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0068,4579,1752,157,65,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
38,01-07-2020 23:20:31,Tbilisi,2LY77,SveetWeed,25 GGAMM NEW BEASTWEED,True,1,нет,Тбилиси,25 гр,0.0345,25711,9840,880,365,,,,,,,,,,,25 GGAMM NEW BEASTWEED
39,01-07-2020 23:20:31,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2098,140883,53920,4825,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
40,01-07-2020 23:20:31,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" VHQ (1 штука)",True,нет,2,Тбилиси,1 гр,0.0046,3099,1186,106,44,,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
41,01-07-2020 23:20:31,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (2гр)",True,нет,9,Тбилиси,2 гр,0.0094,6340,2426,217,90,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
42,01-07-2020 23:20:31,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0524,35150,13453,1204,499,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
43,01-07-2020 23:20:31,Tbilisi,A3I9,Joookerrr,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),True,нет,9,Тбилиси,2.2 гр,0.0088,5939,2269,203,,,,,,,75,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
44,01-07-2020 23:20:31,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (3 грамма)",True,нет,6,Тбилиси,3 гр,0.0125,8453,3235,289,120,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
45,01-07-2020 23:20:31,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,20,Тбилиси,3 гр,0.0787,52831,20220,1809,750,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
46,01-07-2020 23:20:31,Tbilisi,9VLN,AlienShop,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,нет,2,Тбилиси,3 гр,0.0126,8453,3235,289,120,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
47,01-07-2020 23:20:31,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,6,Тбилиси,4 гр,0.0416,28177,10784,965,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
48,01-07-2020 23:20:31,Tbilisi,A3I9,Joookerrr,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),True,нет,9,Тбилиси,4 гр,0.0125,8453,3235,289,120,,,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
49,01-07-2020 23:20:31,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.026,17610,6740,603,250,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
