,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
0,0,12-08-2020 08:00:51,Tbilisi,52fe6d0af9,VHQ Methadon 0.12G Crystals imported,True,3,нет,Тбилиси,0.12 гр,0.0101,8632,3280,290,118.0,,,,,,,,,,,,VHQ Methadon 0.12G Crystals imported
1,1,12-08-2020 08:00:51,Tbilisi,f374062dcd,Очень мощный Сирец из Ирана 0.3гр,True,18,нет,Тбилиси,0.3 гр,0.0074,6584,2502,221,90.0,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
2,2,12-08-2020 08:00:51,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,3,нет,Тбилиси,0.5 гр,0.0028,2414,917,81,33.0,,,,,,,,,,,,0.5 gr HYBRID buds
3,3,12-08-2020 08:00:51,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),True,10,нет,Тбилиси,0.5 гр,0.002,1683,639,57,23.0,,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
4,4,12-08-2020 08:00:51,Tbilisi,16a8841259,0.5Gramm 😬 AK-49 NEW!!!,True,2,нет,Тбилиси,0.5 гр,0.0024,2048,778,69,28.0,,,,,,,,,,,,0.5Gramm 😬 AK-49 NEW!!!
5,5,12-08-2020 08:00:51,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0026,2195,834,74,30.0,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
6,6,12-08-2020 08:00:51,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,9,нет,Тбилиси,0.5 гр,0.0021,1829,695,61,25.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
7,7,12-08-2020 08:00:51,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,12,нет,Тбилиси,1 гр,0.0047,4023,1529,135,55.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds
8,8,12-08-2020 08:00:51,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,10,нет,Тбилиси,1 гр,0.0051,4389,1668,147,60.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
9,9,12-08-2020 08:00:51,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0051,4389,1668,147,60.0,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
