,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
26,06-02-2020 12:09:07,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.0184,12572,4945,429,199,,,,,,,,,,VHQ BEST Cocaine 1g.
27,06-02-2020 12:09:07,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0184,12572,4945,429,199,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
28,06-02-2020 12:09:07,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.019,11940,4697,407,189,,,,,,,,,,Kokain HQ 1g.
29,06-02-2020 12:09:07,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,4,нет,Тбилиси,1 гр,0.0203,12572,4945,429,199,,,True,,,,,,,Kokain KOLUMBIA 1g
30,06-02-2020 12:09:08,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0439,28428,11183,969,450,,,,,,,,,,Metadon 1gr
31,06-02-2020 12:09:08,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0458,28428,11183,969,450,,,,,,,,,,"Metadon, 1gr"
32,06-02-2020 12:09:08,Tbilisi,JPY,OaksShopp,мощный гибрид /hybrid weed 1g strong,,4,нет,Тбилиси,1 гр,0.0032,2211,870,75,35,True,,,,,,,,,moschnyj gibrid /hybrid weed 1g strong
33,06-02-2020 12:09:57,Tbilisi,ABOAB,ProGrow,2G -- AK-47 -> Sativa,,5,нет,Тбилиси,2 гр,0.0073,4612,1814,157,73,True,,,,,,,,,2G -- AK-47 -> Sativa
34,06-02-2020 12:09:57,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,1,нет,Тбилиси,2 гр,0.0372,22743,8946,775,360,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
35,06-02-2020 12:09:57,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,2,нет,Тбилиси,2 гр,0.0386,24322,9567,829,385,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
