,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,30-06-2020 05:51:25,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.25 гр,0.0101,6924,2653,238,88.0,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,30-06-2020 05:51:25,Tbilisi,21e6be39fb,"Black Gerain, Sirec VHQ 0.4g",,1,нет,Тбилиси,0.4 гр,0.0125,8394,3228,288,,True,120.0,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
2,2,30-06-2020 05:51:25,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,6,нет,Тбилиси,0.5 гр,0.0035,2308,888,79,,True,33.0,,,,,,,,0.5 gr HYBRID buds
3,3,30-06-2020 05:51:25,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,5,нет,Тбилиси,0.5 гр,0.0146,9793,3766,336,,True,140.0,,,,,,,,"Black Geroin, Sirec 0.5g"
4,4,30-06-2020 05:51:25,Tbilisi,ebadfc162f,The Best Weed In Your Life 0.5G 100%шишки! LIMITED,,5,нет,Тбилиси,0.5 гр,0.0036,2448,942,84,,True,35.0,True,,,,,,,The Best Weed In Your Life 0.5G 100%shishki! LIMITED
5,5,30-06-2020 05:51:25,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,5,нет,Тбилиси,1 гр,0.0061,4127,1587,142,,True,59.0,,,,,,,,1 G Hybrid Marijuana Buds
6,6,30-06-2020 05:51:25,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,4,нет,Тбилиси,1 гр,0.0062,4197,1614,144,,True,60.0,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,7,30-06-2020 05:51:25,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,3,нет,Тбилиси,1 гр,0.0061,4127,1587,142,,,59.0,True,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
8,8,30-06-2020 05:51:25,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,5,нет,Тбилиси,1 гр,0.0061,4127,1587,142,,True,59.0,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
9,9,30-06-2020 05:51:25,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,9,нет,Тбилиси,1 гр,0.0055,3707,1426,127,,,53.0,,True,,,,,,1G ---> Big Devil (BTC - Sale)
10,10,30-06-2020 05:51:25,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),,8,нет,Тбилиси,1 гр,0.0052,3498,1345,120,,True,50.0,,,,,,,,1G ---> Pineapple (BTC - Sale)
11,11,30-06-2020 05:51:25,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,1 гр,0.0051,3428,1318,118,,True,49.0,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
12,12,30-06-2020 05:51:25,Tbilisi,16a8841259,листя+бошки в трихомах 2г,,1,нет,Тбилиси,2 гр,0.0038,2798,1076,96,,True,40.0,,,,,,,,listja+boshki v trihomah 2g
13,13,30-06-2020 05:51:25,Tbilisi,54915c4374,марки н-боом 2 шт.,,8,нет,Тбилиси,2 гр,0.0036,2448,942,84,,,35.0,,True,,,,,,marki n-boom 2 sht.
14,14,30-06-2020 05:51:25,Tbilisi,aeb8abccb9,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0088,5946,2287,204,,,85.0,,True,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
15,15,30-06-2020 05:51:25,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,20,нет,Тбилиси,3 гр,0.009000000000000001,6086,2340,209,,True,87.0,,,True,,,,,3 gr georgian weed. Package on magnet
16,16,30-06-2020 05:51:25,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,17,нет,Тбилиси,5 гр,0.0072,4827,1856,166,,True,69.0,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
17,17,30-06-2020 05:51:25,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,,7,нет,Тбилиси,5 гр,0.0141,10423,4008,358,,True,149.0,,,,,,,,5g. GEO Marihuana boshki
18,18,30-06-2020 05:51:25,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,,1,нет,Тбилиси,5 гр,0.132,88838,34163,3049,,True,1270.0,,,,,,,,Cocaine Pure VHQ 5g.
19,19,30-06-2020 05:51:25,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,2,нет,Тбилиси,5 гр,0.1558,104857,40323,3599,,True,1499.0,,,,,,,,VHQ BEST Cocaine 5g.
