,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,16-02-2020 21:10:54,Tbilisi,61df6a1c90,Метадон 0.15гр,True,3,нет,Тбилиси,0.15 гр,0.0118,8249,3203,286,130.0,,,,,,,,,,Metadon 0.15gr
1,1,16-02-2020 21:10:54,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g. PODEZD,True,2,нет,Тбилиси,0.25 гр,0.006,3807,1478,132,60.0,,,,,,,,,,Iranian Sirec 0.25g. PODEZD
2,2,16-02-2020 21:10:54,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,7,нет,Тбилиси,0.25 гр,0.0163,11422,4435,396,180.0,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,16-02-2020 21:10:54,Tbilisi,32e645c201,"methadone 0,29 gr",,2,нет,Тбилиси,0.29 гр,0.021,13325,5174,462,210.0,True,,,,,,,,,"methadone 0,29 gr"
4,4,16-02-2020 21:10:54,Tbilisi,61df6a1c90,Метадон 0.30гр,True,6,нет,Тбилиси,0.3 гр,0.0163,12056,4682,418,190.0,,,,,,,,,,Metadon 0.30gr
5,5,16-02-2020 21:10:54,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,10,нет,Тбилиси,0.5 гр,0.011000000000000001,6916,2686,240,109.0,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
6,6,16-02-2020 21:10:54,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,4,нет,Тбилиси,0.5 гр,0.0111,6980,2710,242,110.0,,,,,,,,,,"Cocaine, 0.5 g"
7,7,16-02-2020 21:10:54,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0263,18402,7146,638,290.0,,,,,,,,,,Metadon VHQ 0.5 24/7
8,8,16-02-2020 21:10:54,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,2,нет,Тбилиси,0.5 гр,0.01,6282,2439,218,99.0,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
9,9,16-02-2020 21:10:54,Tbilisi,edfbad0151,Pineapple Express 0.5G pressed buds only (hydro),True,14,нет,Тбилиси,0.5 гр,0.003,1904,739,66,30.0,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
10,10,16-02-2020 21:10:54,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0104,6916,2686,240,109.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
