,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Varketili,Vazisubani,Zahesi,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,05-07-2020 04:24:49,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.25 гр,0.0115,7843,3029,270,99,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,05-07-2020 04:24:49,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0105,7050,2735,242,,True,100,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,05-07-2020 04:24:49,Tbilisi,9Y6T,WeedShop,0.5г Ak - 47,,1,нет,Тбилиси,0.5 гр,0.0034,2256,875,77,,True,32,,,,,,,,,,0.5g Ak - 47
3,05-07-2020 04:24:49,Tbilisi,9Y6T,WeedShop,0.5г Jamaican,,1,нет,Тбилиси,0.5 гр,0.0033,2186,848,75,,True,31,,,,,,,,,,0.5g Jamaican
4,05-07-2020 04:24:49,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,,1,нет,Тбилиси,0.5 гр,0.0036,2397,930,82,,True,34,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
5,05-07-2020 04:24:49,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,14,нет,Тбилиси,0.5 гр,0.0028,1904,738,65,,True,27,True,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
6,05-07-2020 04:24:49,Tbilisi,U26MW,Skyhigh,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G,,8,нет,Тбилиси,0.5 гр,0.0034,2256,875,77,,,32,True,,,,,,,,,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G
7,05-07-2020 04:24:49,Tbilisi,6P9R,RickNMorty,VHQ Hash From Morroco Iso 0.5G THC 23%+,,6,нет,Тбилиси,0.5 гр,0.0044,2961,1149,102,,True,42,,,True,,,,,,,VHQ Hash From Morroco Iso 0.5G THC 23%+
8,05-07-2020 04:24:49,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,2,нет,Тбилиси,1 гр,0.0063,4230,1641,145,,True,60,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
9,05-07-2020 04:24:49,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,1,нет,Тбилиси,1 гр,0.0058,3878,1504,133,,True,55,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
10,05-07-2020 04:24:49,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,1 гр,0.0062,4160,1614,143,,,59,,,,True,,,,,,1 gr top buds white widow wishki THC 25% VHQ
