,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Saburtalo,Vake,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
24,24,21-03-2020 16:34:04,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0529,28486,10257,934,365.0,,,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
25,25,21-03-2020 16:34:04,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,10 гр,0.013000000000000001,7726,2782,253,99.0,,,,,,True,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
26,26,21-03-2020 16:34:04,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0556,31218,11240,1024,400.0,,,,,,,,,,,,gashish evro 10g
27,27,21-03-2020 16:34:04,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,1,нет,Тбилиси,11 гр,0.092,49558,17844,1625,635.0,,,,True,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
28,28,21-03-2020 16:34:04,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2633,156089,56200,5118,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
29,29,21-03-2020 16:34:04,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,2,5,Тбилиси,0.27 гр,0.0366,19511,7025,640,250.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
30,30,21-03-2020 16:34:04,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),True,13,5,Тбилиси,0.27 гр,0.0366,19511,7025,640,250.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
31,31,21-03-2020 16:34:04,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,2,3,Тбилиси,1.1 гр,0.1097,58533,21075,1919,750.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
32,32,21-03-2020 16:34:04,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,True,нет,1,Тбилиси,1.4 гр,0.1014,54631,19670,1791,700.0,,,,,,,,,,,,Methadone HQ in city 1.4g
33,33,21-03-2020 16:35:02,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,3,Тбилиси,2 гр,0.0293,15609,5620,512,200.0,,,,,,,,,,,,✨✨2gram. MDMA✨✨
34,34,21-03-2020 16:35:02,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0863,46046,16579,1510,590.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
35,35,21-03-2020 16:35:02,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0579,31218,11240,1024,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
36,36,21-03-2020 16:35:02,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0797,42924,15455,1408,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
37,37,21-03-2020 16:35:02,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,2,Тбилиси,5 гр,0.0226,12175,4384,399,156.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
38,38,21-03-2020 16:35:02,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0288,15531,5592,509,199.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
39,39,21-03-2020 16:35:03,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0232,12487,4496,409,160.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
40,40,21-03-2020 16:35:03,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0288,15531,5592,509,199.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
