,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,28-03-2020 00:09:37,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,7,нет,Тбилиси,0.25 гр,0.0259,14769,5415,492,190,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,28-03-2020 00:09:37,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,,3,нет,Тбилиси,0.5 гр,0.0131,7696,2822,256,99,True,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,28-03-2020 00:09:37,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,,2,нет,Тбилиси,0.5 гр,0.0509,28761,10545,958,370,True,,,,,,,,,,Metadon VHQ 0.5 24/7
3,28-03-2020 00:09:37,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.0061,3420,1254,114,44,True,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
4,28-03-2020 00:09:37,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,17,нет,Тбилиси,1 гр,0.0075,4664,1710,155,60,True,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
5,28-03-2020 00:09:37,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,5,нет,Тбилиси,1 гр,0.0069,3887,1425,130,50,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,28-03-2020 00:09:37,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,16,нет,Тбилиси,1 гр,0.0069,3887,1425,130,50,True,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
7,28-03-2020 00:09:37,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,4,нет,Тбилиси,1 гр,0.025,14691,5387,490,189,True,,,,,,,,,,Cocaine Pure VHQ 1g
8,28-03-2020 00:09:37,Tbilisi,QUZIV,Hollyweed,Marijuana Blackberry 1g. Indica,,1,нет,Тбилиси,1 гр,0.006,3343,1226,111,43,,True,,,,,,,,,Marijuana Blackberry 1g. Indica
9,28-03-2020 00:09:37,Tbilisi,X4ZM,ZYX,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,,3,нет,Тбилиси,1 гр,0.0074,4198,1539,140,54,True,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
