,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Nadzaladevi,Vake,Gldani,Didube,Old Tbilisi (Старый город),€,Авлобари,Центр,Батуми,Кутаиси,desc_en
92,92,03-04-2020 18:50:52,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,1,нет,Батуми,2 гр,0.0049,2954,1051,98,38.0,,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
93,93,03-04-2020 18:50:52,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3106,171012,60830,5696,2200.0,,,,,,,,,,True,,[100g] SPAIN HASH
94,94,03-04-2020 18:50:52,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,2,13,Батуми,5 гр,0.0257,15547,5530,518,200.0,,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
95,95,03-04-2020 18:50:52,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2852,155465,55300,5179,2000.0,,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
96,96,03-04-2020 18:50:52,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2139,116599,41475,3884,1500.0,,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
97,97,03-04-2020 18:50:52,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0128,7773,2765,259,100.0,,,,,,,,,,True,,kur'er v Batumi
98,98,03-04-2020 18:50:52,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0321,19433,6913,647,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
99,99,03-04-2020 18:50:52,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0321,19433,6913,647,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
100,100,03-04-2020 18:50:52,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0385,23320,8295,777,300.0,,,,,,,,,,True,,Rabota na marki (kur'er)
101,101,03-04-2020 18:50:52,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.1367,1165988,414750,38840,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
102,102,03-04-2020 18:50:52,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0706,38866,13825,1295,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
103,103,03-04-2020 18:52:25,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,1 гр,0.0267,14847,5281,495,191.0,,,,,,,,,,,True,Columbia Cocaine VHQ 1g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
104,104,03-04-2020 18:52:25,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,1.5 гр,0.0203,11271,4009,375,145.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
105,105,03-04-2020 18:52:25,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,2 гр,0.051,28372,10092,945,365.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
106,106,03-04-2020 18:52:25,Kutaisi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 2.0 g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,2 гр,0.0189,10494,3733,350,135.0,,,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
107,107,03-04-2020 18:52:25,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.0384,21376,7604,712,275.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
