,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,0,27-05-2020 04:48:03,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,4,нет,Тбилиси,0.25 гр,0.0109,7114,2711,240,100.0,,,,,,,,,,,Iranian Sirec 0.25g.
1,1,27-05-2020 04:48:03,Tbilisi,8ddca45a78,">>new<< 0,5G HINDU KUSH (Indica)",True,5,нет,Тбилиси,0.5 гр,0.0033,2134,813,72,30.0,,,,,,,,,,,">>new<< 0,5G HINDU KUSH (Indica)"
2,2,27-05-2020 04:48:03,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,2,нет,Тбилиси,0.5 гр,0.006,3913,1491,132,55.0,True,,,,,,,,,,HQ Euro Hashish 0.5 g
3,3,27-05-2020 04:48:03,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,25,нет,Тбилиси,0.5 гр,0.0032,2063,786,70,29.0,True,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,4,27-05-2020 04:48:03,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,True,9,нет,Тбилиси,0.5 гр,0.0033,2134,813,72,30.0,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
5,5,27-05-2020 04:48:03,Tbilisi,8ddca45a78,"1g GORILLA GLUE #4 (Hybrid, more indica)",True,3,нет,Тбилиси,1 гр,0.0055,3557,1356,120,50.0,,,,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
6,6,27-05-2020 04:48:03,Tbilisi,8ddca45a78,"1g LEMON SKUNK (Hybrid, more Sativa)",True,2,нет,Тбилиси,1 гр,0.0055,3557,1356,120,50.0,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
7,7,27-05-2020 04:48:03,Tbilisi,8ddca45a78,1g NORTHERN LIGHTS (Indica),True,2,нет,Тбилиси,1 гр,0.0055,3557,1356,120,50.0,,,,,,,,,,,1g NORTHERN LIGHTS (Indica)
8,8,27-05-2020 04:48:03,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,1,нет,Тбилиси,1 гр,0.0055,3557,1356,120,50.0,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
9,9,27-05-2020 04:48:03,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0895,64027,24399,2162,900.0,,,,,,,,,,,Metadon 1gr
