,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,09-02-2020 08:21:38,Tbilisi,61df6a1c90,Метадон 0.15гр,True,1,нет,Тбилиси,0.15 гр,0.0114,8251,3211,283,130.0,,,,,,,,,,Metadon 0.15gr
1,1,09-02-2020 08:21:38,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,8,нет,Тбилиси,0.25 гр,0.0158,11425,4446,392,180.0,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,09-02-2020 08:21:38,Tbilisi,32e645c201,"methadone 0,29 gr",,8,нет,Тбилиси,0.29 гр,0.0203,13329,5187,457,210.0,True,,,,,,,,,"methadone 0,29 gr"
3,3,09-02-2020 08:21:38,Tbilisi,61df6a1c90,Метадон 0.30гр,True,3,нет,Тбилиси,0.3 гр,0.0158,12060,4693,413,190.0,,,,,,,,,,Metadon 0.30gr
4,4,09-02-2020 08:21:38,Tbilisi,8a650ecf5f,"A PVP 0,33 VHQ",True,8,нет,Тбилиси,0.33 гр,0.0056,3808,1482,131,60.0,,,,,,,,,,"A PVP 0,33 VHQ"
5,5,09-02-2020 08:21:38,Tbilisi,21de5577be,0.5 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,11,нет,Тбилиси,0.5 гр,0.0028,1841,716,63,29.0,,True,,,,,,,,0.5 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
6,6,09-02-2020 08:21:38,Tbilisi,da96c34455,ALFA PVP in City 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0077,5078,1976,174,80.0,,,,,,,,,,ALFA PVP in City 0.5g
7,7,09-02-2020 08:21:38,Tbilisi,013e75d78f,"H i B R i D 0.5г. Три вадном ----> amnezia , tutanhamon, jackherer )",True,1,нет,Тбилиси,0.5 гр,0.0047,3110,1210,107,49.0,,,,,,,,,,"H i B R i D 0.5g. Tri vadnom ----> amnezia , tutanhamon, jackherer )"
8,8,09-02-2020 08:21:38,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,6,нет,Тбилиси,0.5 гр,0.0059,3808,1482,131,60.0,,,,,,,,,,Ketamine 0.5g
9,9,09-02-2020 08:21:38,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0264,19042,7410,653,300.0,,,,,,,,,,Metadon VHQ 0.5 24/7
10,10,09-02-2020 08:21:38,Tbilisi,61df6a1c90,Метадон 0.6гр,True,1,нет,Тбилиси,0.6 гр,0.0272,19676,7657,675,310.0,,,,,,,,,,Metadon 0.6gr
11,11,09-02-2020 08:21:38,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,7,нет,Тбилиси,0.8 гр,0.0116,7617,2964,261,120.0,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
12,12,09-02-2020 08:21:38,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,11,нет,Тбилиси,1 гр,0.004,2856,1112,98,45.0,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
13,13,09-02-2020 08:21:38,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,11,нет,Тбилиси,1 гр,0.0116,7617,2964,261,120.0,,,,,,,,,,Apvp VHQ 1g 24/7
14,14,09-02-2020 08:21:38,Tbilisi,8219f5e7b8,Ketamine 1g,True,10,нет,Тбилиси,1 гр,0.0098,6347,2470,218,100.0,,,,,,,,,,Ketamine 1g
15,15,09-02-2020 08:21:38,Tbilisi,366326d4d6,Ketamine 1g.,True,8,нет,Тбилиси,1 гр,0.0087,5649,2198,194,89.0,,,,,,,,,,Ketamine 1g.
16,16,09-02-2020 08:21:38,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0439,31736,12350,1088,500.0,,,,,,,,,,Metadon VHQ 1 24/7
17,17,09-02-2020 08:21:38,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,4,нет,Тбилиси,1 гр,0.0175,11361,4421,390,179.0,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
18,18,09-02-2020 08:21:38,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,6,нет,Тбилиси,1 гр,0.0114,8251,3211,283,130.0,,,,,,,,,,NZT-52 mind storm limited 1g muka
19,19,09-02-2020 08:21:38,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,1,нет,Тбилиси,1 гр,0.0139,9521,3705,326,150.0,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
20,20,09-02-2020 08:21:38,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0181,11996,4668,411,189.0,,,,,,,,,,Kokain HQ 1g.
21,21,09-02-2020 08:21:38,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0192,12631,4915,433,199.0,,,True,,,,,,,Kokain KOLUMBIA 1g
22,22,09-02-2020 08:21:38,Tbilisi,e8a987a33c,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0435,28562,11115,979,450.0,,,,,,,,,,"Metadon, 1gr"
23,23,09-02-2020 08:21:38,Tbilisi,21de5577be,2 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,1,нет,Тбилиси,2 гр,0.0077,5078,1976,174,80.0,,True,,,,,,,,2 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
24,24,09-02-2020 08:21:38,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,2 гр,0.0351,22850,8892,783,360.0,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
25,25,09-02-2020 08:21:38,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,2,нет,Тбилиси,2 гр,0.0365,24437,9510,838,385.0,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
26,26,09-02-2020 08:21:38,Tbilisi,8219f5e7b8,Ketamine 2 g,True,1,нет,Тбилиси,2 гр,0.0176,11425,4446,392,180.0,,,,,,,,,,Ketamine 2 g
27,27,09-02-2020 08:21:38,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0202,14599,5681,501,230.0,,,,,,,,,,NZT-52 mind storm limited 2g muka
28,28,09-02-2020 08:21:38,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,6,нет,Тбилиси,2 гр,0.0351,24056,9361,825,379.0,,,,,,,,,,Kokain HQ 2g.
29,29,09-02-2020 08:21:38,Tbilisi,013e75d78f,C O C A i N E 2 g +0.2 g падарка. SALE SALE SALE !!! BiG SALE BTC -10 %%%%,True,1,нет,Тбилиси,2.2 гр,0.0351,25389,9880,870,400.0,,,,,,,,,,C O C A i N E 2 g +0.2 g padarka. SALE SALE SALE !!! BiG SALE BTC -10 %%%%
30,30,09-02-2020 08:21:38,Tbilisi,ad9cb826c6,"3 Grm Mdma , Purity A +++",True,3,нет,Тбилиси,3 гр,0.0193,13964,5434,479,220.0,,,,,,,,,,"3 Grm Mdma , Purity A +++"
31,31,09-02-2020 08:22:20,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.028999999999999998,20946,8151,718,330.0,,,,,,,,,,NZT-52 mind storm limited 3g muka
32,32,09-02-2020 08:22:20,Tbilisi,9795761a65,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0856,61830,24065,2119,,,,,888.0,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
33,33,09-02-2020 08:22:20,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,2,нет,Тбилиси,5 гр,0.0146,9521,3705,326,150.0,,,,,,,,,,"LSD - 250 ug, 5 pieces"
34,34,09-02-2020 08:22:20,Tbilisi,c225d2f67d,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.0195,13329,5187,457,210.0,,,,,,,,,,gashish evro 5g
35,35,09-02-2020 08:22:20,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0386,25325,9855,868,399.0,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
36,36,09-02-2020 08:22:20,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0371,25389,9880,870,400.0,,,,,,,,,,gashish evro 10g
37,37,09-02-2020 08:22:20,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,14,нет,Тбилиси,10 гр,0.0088,6347,2470,218,100.0,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
38,38,09-02-2020 08:22:20,Tbilisi,9795761a65,* SALE * COCAINE Peru 11 gr BTC -50 %,True,2,нет,Тбилиси,11 гр,0.0892,116002,45149,3975,,,,,1666.0,,,,,,* SALE * COCAINE Peru 11 gr BTC -50 %
