,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,25-03-2020 20:51:29,Tbilisi,V4T,COCAcoLA,METHADONE 0.25 THE BEST QUALITY VHQ,True,8,нет,Тбилиси,0.25 гр,0.0273,15559,5650,520,200,,,,,,,,,,METHADONE 0.25 THE BEST QUALITY VHQ
1,25-03-2020 20:51:29,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.33 грамм",,1,нет,Тбилиси,0.33 гр,0.0059,3703,1346,124,,True,44,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.33 gramm"
2,25-03-2020 20:51:29,Tbilisi,9VLN,AlienShop,.✨0.50 gram. MDMA✨.,,1,нет,Тбилиси,0.5 гр,0.0095,5368,1949,179,69,True,,,,,,,,,.✨0.50 gram. MDMA✨.
3,25-03-2020 20:51:29,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,,6,нет,Тбилиси,0.5 гр,0.013,7701,2797,257,99,True,,,,,,,,,Cocaine Pure VHQ 0.5g
4,25-03-2020 20:51:29,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,,3,нет,Тбилиси,0.5 гр,0.0547,31117,11300,1040,400,True,,,,,,,,,Metadon VHQ 0.5 24/7
5,25-03-2020 20:51:29,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,4,нет,Тбилиси,1 гр,0.0068,3890,1413,130,50,True,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
6,25-03-2020 20:51:29,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,,7,нет,Тбилиси,1 гр,0.0059,3345,1215,112,43,True,,,,,,,,,Amsterdam weed sativa 1gr
7,25-03-2020 20:51:29,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1118,70014,25425,2340,900,True,,,,,,,,,Metadon 1gr
8,25-03-2020 20:51:29,Tbilisi,UJP9,420Inc,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%),,6,нет,Тбилиси,2 гр,0.0109,6223,2260,208,80,True,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%)
9,25-03-2020 20:51:29,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,5,нет,Тбилиси,2 гр,0.0108,6146,2232,205,79,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
