,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,18-05-2020 19:20:25,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,17,нет,Тбилиси,0.3 гр,0.0098,3221,234,7000,,,,,,,,,,,0.3 a-pvp white
1,1,18-05-2020 19:20:25,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,19,нет,Тбилиси,0.5 гр,0.0164,4253,389,11604,159.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,18-05-2020 19:20:25,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,2,нет,Тбилиси,0.5 гр,0.0056,1471,135,4014,55.0,True,,,,,,,,,HQ Euro Hashish 0.5 g
3,3,18-05-2020 19:20:25,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,3,нет,Тбилиси,1 гр,0.0308,7998,731,21821,299.0,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
4,4,18-05-2020 19:20:25,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.024,6286,575,17150,235.0,,,,,,,,,,Cocaine Pure VHQ 1g
5,5,18-05-2020 19:20:25,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0243,6420,587,17515,240.0,,,,,,,,,,VHQ BEST Cocaine 1g.
6,6,18-05-2020 19:20:25,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0253,6688,612,18245,250.0,,,,,,,,,,Kokain HQ 1g.
7,7,18-05-2020 19:20:25,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0836,24075,2202,65682,900.0,,,,,,,,,,Metadon 1gr
8,8,18-05-2020 19:20:25,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,2,нет,Тбилиси,1 гр,0.0112,2916,267,7955,109.0,True,,,,,,,,,✨ 1g. MDMA ✨
9,9,18-05-2020 19:20:25,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,2 гр,0.0092,2381,218,6495,89.0,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
10,10,18-05-2020 19:20:25,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,2 гр,0.0072,1873,171,5109,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
11,11,18-05-2020 19:20:25,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,2 гр,0.0091,2381,218,6495,89.0,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
12,12,18-05-2020 19:20:25,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0485,12840,1174,35030,480.0,,,,,,,,,,VHQ BEST Cocaine 2g.
13,13,18-05-2020 19:20:25,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,5,нет,Тбилиси,2 гр,0.009000000000000001,2354,215,6422,88.0,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
14,14,18-05-2020 19:20:25,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0123,3183,291,8685,119.0,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
