,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Tbilisis Zgva,Saburtalo,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,12-06-2020 02:55:08,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0148,10129,3922,348,129.0,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,12-06-2020 02:55:08,Tbilisi,16a8841259,Ak - 47 0.5г,,1,нет,Тбилиси,0.5 гр,0.0032,2143,829,74,,True,31.0,,,,,,,,,,Ak - 47 0.5g
2,2,12-06-2020 02:55:08,Tbilisi,2f51af8159,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G,,11,нет,Тбилиси,0.5 гр,0.0033,2212,856,76,,,32.0,True,,,,,,,,,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G
3,3,12-06-2020 02:55:08,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,5,нет,Тбилиси,0.5 гр,0.0033,2212,856,76,,True,32.0,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,4,12-06-2020 02:55:08,Tbilisi,4a91350669,1 г шишки марихуана индика тгк 21% VHQ,True,1,нет,Тбилиси,1 гр,0.0041,2765,1070,95,,,40.0,,,,,,,,,,1 g shishki marihuana indika tgk 21% VHQ
5,5,12-06-2020 02:55:08,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0114,7534,2916,259,,,109.0,,True,,,,,,,,✨ 1g. MDMA ✨
6,6,12-06-2020 02:55:08,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,True,3,нет,Тбилиси,2 гр,0.0088,5875,2274,202,,,85.0,,,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
7,7,12-06-2020 02:55:08,Tbilisi,e56bb6ca93,3 gr Indica dominant Buds,,4,нет,Тбилиси,3 гр,0.0092,6152,2381,211,,True,89.0,,,,True,,,,,,3 gr Indica dominant Buds
8,8,12-06-2020 02:55:08,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,10,нет,Тбилиси,3 гр,0.009000000000000001,6014,2327,207,,True,87.0,,,,,,,,,,3 gr georgian weed. Package on magnet
9,9,12-06-2020 02:55:08,Tbilisi,8528108b62,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0141,10368,4013,356,,True,150.0,,,,,,,,,,3g. marihuana shishki Critical
10,10,12-06-2020 02:55:08,Tbilisi,8528108b62,4g.марихуана шишки white widow,,1,нет,Тбилиси,4 гр,0.0183,13479,5216,463,,True,195.0,,,,,,,,,,4g.marihuana shishki white widow
11,11,12-06-2020 02:55:08,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,,2,нет,Тбилиси,4 гр,0.0111,7396,2862,254,,True,107.0,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
12,12,12-06-2020 02:55:08,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,4,нет,Тбилиси,5 гр,0.0144,9608,3718,330,,True,139.0,,,,,,,,,,5 gr georgian weed. Package on magnet
13,13,12-06-2020 02:55:08,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0226,16589,6420,570,,True,240.0,,,,,,,,,,5g. marihuana shishki Critical
14,14,12-06-2020 02:55:08,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,5 гр,0.0133,8917,3451,306,,True,129.0,,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
15,15,12-06-2020 02:55:08,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,5 гр,0.0183,12096,4681,416,,True,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
16,16,12-06-2020 02:55:08,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,1,нет,Тбилиси,5 гр,0.1173,80873,31298,2779,,True,1170.0,,,,,,,,,,VHQ BEST Cocaine 5g.
17,17,12-06-2020 02:55:08,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,4,нет,Тбилиси,10 гр,0.0268,17903,6928,615,,True,259.0,,,,,,,,,,10 gr georgian weed. Package on magnet
