,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Old Tbilisi (Старый город),Gldani,Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,0,22-04-2020 15:33:51,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0188,10295,3679,335,135.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,22-04-2020 15:33:51,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0186,10295,3679,335,135.0,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,2,22-04-2020 15:33:51,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,1 гр,0.0069,4194,1499,137,55.0,,,,,,,,,,1 G Hybrid Marijuana Buds
3,3,22-04-2020 15:33:51,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1128,68631,24525,2234,900.0,,,,,,,,,,Metadon 1gr
4,4,22-04-2020 15:33:51,Tbilisi,bb1791277e,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,1,нет,Тбилиси,2 гр,0.0117,6482,2316,211,85.0,True,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
5,5,22-04-2020 15:33:51,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.011000000000000001,6024,2153,196,79.0,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
6,6,22-04-2020 15:33:51,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA. Варкетили,True,1,нет,Тбилиси,2 гр,0.0097,5338,1908,174,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA. Varketili
7,7,22-04-2020 15:33:51,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.Авламбари,True,2,нет,Тбилиси,2 гр,0.0097,5338,1908,174,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
8,8,22-04-2020 15:33:51,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0117,6482,2316,211,85.0,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
9,9,22-04-2020 15:33:51,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA. Авламбари,True,1,нет,Тбилиси,3 гр,0.0146,8007,2861,261,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
10,10,22-04-2020 15:33:51,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,1,нет,Тбилиси,3 гр,0.0138,7626,2725,248,100.0,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
11,11,22-04-2020 15:33:51,Tbilisi,54915c4374,Марки Н-ВоооооМ!!!! 3 штуки,,3,нет,Тбилиси,3 гр,0.0068,3737,1335,122,49.0,,,True,,,,,,,Marki N-VoooooM!!!! 3 shtuki
12,12,22-04-2020 15:33:51,Tbilisi,54915c4374,Н бооом 4 штуки (300 арагвели),True,3,нет,Тбилиси,4 гр,0.0076,4194,1499,137,55.0,,,,,,,,,,N booom 4 shtuki (300 aragveli)
13,13,22-04-2020 15:33:51,Tbilisi,54915c4374,Н бооом 4 штуки (вазисубани),True,1,нет,Тбилиси,4 гр,0.0076,4194,1499,137,55.0,,,,,,,,,,N booom 4 shtuki (vazisubani)
14,14,22-04-2020 15:33:51,Tbilisi,54915c4374,Н бооом 4 штуки (глдани),,3,нет,Тбилиси,4 гр,0.0076,4194,1499,137,55.0,,,,True,,,,,,N booom 4 shtuki (gldani)
15,15,22-04-2020 15:33:51,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0277,15175,5423,494,199.0,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
16,16,22-04-2020 15:33:51,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0423,24402,8720,794,320.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
17,17,22-04-2020 15:33:51,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0409,22877,8175,745,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
18,18,22-04-2020 15:33:51,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,3,нет,Тбилиси,5 гр,0.0214,11820,4224,385,155.0,True,,,,,,,,,5gr Stardawg Auto WEED BUDS
19,19,22-04-2020 15:33:51,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1537,87695,31338,2855,1150.0,,,,,,,,,,VHQ BEST Cocaine 5g.
20,20,22-04-2020 15:33:51,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,1,нет,Тбилиси,10 гр,0.0138,7626,2725,248,100.0,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
21,21,22-04-2020 15:33:51,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0529,30502,10900,993,400.0,,,,,,,,,,gashish evro 10g
22,22,22-04-2020 15:33:51,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1028,59251,21173,1929,777.0,,,,,,,,,,Gashish Evro 20gr
23,23,22-04-2020 15:33:51,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2506,152512,54500,4965,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
24,24,22-04-2020 15:33:51,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0514,28139,10055,916,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
25,25,22-04-2020 15:33:51,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0821,44991,16078,1465,590.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
26,26,22-04-2020 15:33:51,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0551,30502,10900,993,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
27,27,22-04-2020 15:33:51,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.0221,12201,4360,397,160.0,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
28,28,22-04-2020 15:33:51,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0758,41941,14988,1365,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
29,29,22-04-2020 15:33:51,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0234,12964,4633,422,170.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
30,30,22-04-2020 15:33:51,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0274,15175,5423,494,199.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
31,31,22-04-2020 15:33:51,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0274,15175,5423,494,199.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
32,32,22-04-2020 15:33:51,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0274,16700,5968,544,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
33,33,22-04-2020 15:34:40,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3124,190000,87429,6167,,,,,,,,,,,reagent 25i nbome. 5gr
34,34,22-04-2020 15:34:40,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3761,228769,81750,7447,3000.0,,,True,,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
35,35,22-04-2020 15:34:40,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.121,66267,23680,2157,869.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
36,36,22-04-2020 15:34:40,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0263,14412,5150,469,189.0,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
37,37,22-04-2020 15:34:40,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0265,14489,5178,472,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
38,38,22-04-2020 15:34:40,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0681,37289,13325,1214,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
39,39,22-04-2020 15:34:40,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0263,14412,5150,469,189.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
40,40,22-04-2020 15:34:40,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1241,68631,24525,2234,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
41,41,22-04-2020 15:34:40,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0965,53379,19075,1738,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
42,42,22-04-2020 15:34:40,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0441,24402,8720,794,320.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
43,43,22-04-2020 15:34:40,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1103,61005,21800,1986,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
44,44,22-04-2020 15:34:40,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3068,169670,60631,5523,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
45,45,22-04-2020 15:34:40,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.2018,110495,39485,3597,1449.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
46,46,22-04-2020 15:34:40,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0514,28139,10055,916,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
47,47,22-04-2020 15:34:40,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0416,22801,8148,742,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
48,48,22-04-2020 15:34:40,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,нет,1,Тбилиси,20 гр,0.0559,30884,11036,1005,405.0,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
49,49,22-04-2020 15:34:40,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0834,45677,16323,1487,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
50,50,22-04-2020 15:34:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1517,83882,29975,2731,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
51,51,22-04-2020 15:34:40,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.331,183015,65400,5958,2400.0,,,,,,,,,,100 gr marijuana buds
52,52,22-04-2020 15:34:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2758,152512,54500,4965,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
53,53,22-04-2020 15:34:40,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2786,152512,54500,4965,2000.0,,,,,,,,,,SUBOXIN - HQ - 100 G.
54,54,22-04-2020 15:34:40,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3448,190641,68125,6206,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
55,55,22-04-2020 15:34:40,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.8136,449912,160775,14646,5900.0,,,,,,,,,,180 gr marihuana persoalno
56,56,22-04-2020 15:34:40,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4344,240207,85838,7820,3150.0,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
57,57,22-04-2020 15:34:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6344,350779,125350,11419,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
58,58,22-04-2020 15:34:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0343,571922,204375,18618,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
59,59,22-04-2020 15:34:40,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1722,648178,231625,21100,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
60,60,22-04-2020 15:34:40,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0251,15251,5450,496,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
61,61,22-04-2020 15:34:40,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0276,15251,5450,496,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
62,62,22-04-2020 15:34:40,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0345,19064,6813,621,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
63,63,22-04-2020 15:34:40,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0276,15251,5450,496,200.0,,,,,,,,,,Rabota na marki (kur'er)
64,64,22-04-2020 15:34:40,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0874,1143843,408750,37236,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
65,65,22-04-2020 15:36:12,Batumi,54915c4374,Батуми н-бооом 1 штука,,2,нет,Батуми,1 гр,0.0024,1487,533,48,,,,,,,True,18.0,,,Batumi n-booom 1 shtuka
66,66,22-04-2020 15:36:12,Batumi,54915c4374,Батуми н-бооом 2 штуки,,5,нет,Батуми,2 гр,0.0048,2644,947,86,,,,,,,True,32.0,,,Batumi n-booom 2 shtuki
67,67,22-04-2020 15:36:12,Batumi,54915c4374,Батуми н-бооом 4 штуки,,4,нет,Батуми,4 гр,0.0075,4544,1628,148,,,,,,,True,55.0,True,,Batumi n-booom 4 shtuki
68,68,22-04-2020 15:36:12,Batumi,54915c4374,Батуми н-бооом 5 штук,,4,нет,Батуми,5 гр,0.0081,4957,1776,162,,,,,,,True,60.0,,,Batumi n-booom 5 shtuk
69,69,22-04-2020 15:36:12,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3033,167764,59950,5461,2200.0,,,,,,True,,,,[100g] SPAIN HASH
70,70,22-04-2020 15:36:12,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2785,152512,54500,4965,2000.0,,,,,,True,,,,SUBOXIN - HQ - 100 G.
71,71,22-04-2020 15:36:12,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0125,7626,2725,248,100.0,,,,,,True,,,,kur'er v Batumi
72,72,22-04-2020 15:36:12,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0313,19064,6813,621,250.0,,,,,,True,,,,Rabota kladmenom. Tol'ko shishki.
73,73,22-04-2020 15:36:12,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0313,19064,6813,621,250.0,,,,,,True,,,,Ischu kur'era v Gruzii!
74,74,22-04-2020 15:36:12,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0869,1143843,408750,37236,15000.0,,,,,,True,,,,Vakansija optovogo kur'era na mef
75,75,22-04-2020 15:36:12,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0689,38128,13625,1241,500.0,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
76,76,22-04-2020 15:37:30,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0258,14561,5150,469,189.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
77,77,22-04-2020 15:37:30,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0612,34206,12099,1102,444.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
78,78,22-04-2020 15:37:30,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0427,23883,8448,770,310.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
79,79,22-04-2020 15:37:30,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0276,15408,5450,496,200.0,,,,,,,,,True,Rabota na marki (kur'er)
