,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Gldani,€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
28,10-03-2020 14:58:45,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0433,27007,10392,941,400,,,,,,,,,gashish evro 10g
29,10-03-2020 14:58:45,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0842,52461,20186,1827,777,,,,,,,,,Gashish Evro 20gr
30,10-03-2020 14:58:45,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,4,5,Тбилиси,0.27 гр,0.0308,18230,7015,635,270,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
31,10-03-2020 14:58:45,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0673,39835,15328,1388,590,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
32,10-03-2020 14:58:45,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0452,27007,10392,941,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
33,10-03-2020 14:58:45,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0621,37135,14289,1293,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
34,10-03-2020 14:58:45,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0176,10533,4053,367,156,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
35,10-03-2020 14:59:29,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0225,13436,5170,468,199,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
36,10-03-2020 14:59:29,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0181,10803,4157,376,160,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
37,10-03-2020 14:59:29,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0225,13436,5170,468,199,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
38,10-03-2020 14:59:29,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0225,13436,5170,468,199,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
39,10-03-2020 14:59:29,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0164,9790,3767,341,145,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
40,10-03-2020 14:59:29,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0225,14786,5690,515,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
41,10-03-2020 14:59:29,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0228,13504,5196,470,200,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
42,10-03-2020 14:59:29,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0169,10128,3897,353,150,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
43,10-03-2020 14:59:29,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0205,13504,5196,470,200,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
44,10-03-2020 14:59:29,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2888,190000,87429,6009,,,,,,,,,,reagent 25i nbome. 5gr
45,10-03-2020 14:59:29,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3079,202553,77940,7055,3000,True,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,10-03-2020 14:59:29,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.0979,57998,22317,2020,859,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
47,10-03-2020 14:59:29,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0211,12491,4806,435,185,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
48,10-03-2020 14:59:29,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0558,33016,12704,1150,489,,,,,,,,,💘✨5g. MDMA ✨💘
49,10-03-2020 14:59:29,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0375,22213,8547,774,329,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
50,10-03-2020 14:59:29,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0205,12153,4676,423,180,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
51,10-03-2020 14:59:29,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1016,60766,23382,2117,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
52,10-03-2020 14:59:29,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.079,47262,18186,1646,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
53,10-03-2020 14:59:29,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.045,26939,10366,938,399,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
54,10-03-2020 14:59:29,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0399,23631,9093,823,350,,,,,,,,,10x Extasy Duracell 223mg MDMA.
55,10-03-2020 14:59:29,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0903,54014,20784,1881,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,10-03-2020 14:59:29,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2512,150226,57806,5233,2225,,,,,,,,,Amfetamin [White] [Import] 10G
57,10-03-2020 14:59:29,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1652,97833,37645,3408,1449,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
58,10-03-2020 14:59:29,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0421,24914,9587,868,369,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
