,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Tbilisis Zgva,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
24,24,15-03-2020 03:26:17,Tbilisi,dd631c4acf,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,True,1,нет,Тбилиси,1 гр,0.0122,5050,1855,161,69.0,,,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
25,25,15-03-2020 03:26:17,Tbilisi,7c395c455d,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1.2 гр,0.021,8783,3227,281,120.0,,,,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
26,26,15-03-2020 03:26:17,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,19,нет,Тбилиси,2 гр,0.0143,6587,2420,211,90.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
27,27,15-03-2020 03:26:17,Tbilisi,64284550d9,2G ---> Plan,,1,нет,Тбилиси,2 гр,0.0046,1903,699,61,26.0,True,,,,,,,,,,,2G ---> Plan
28,28,15-03-2020 03:26:17,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,6,нет,Тбилиси,2 гр,0.0638,27738,10191,887,379.0,,,,,,,,,,,,Kokain HQ 2g.
29,29,15-03-2020 03:26:17,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.047,20465,7488,654,,,,250.0,,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
30,30,15-03-2020 03:26:17,Tbilisi,64284550d9,3G ---> Plan,,11,нет,Тбилиси,3 гр,0.0068,2854,1049,91,39.0,True,,,,,,,,,,,3G ---> Plan
31,31,15-03-2020 03:26:17,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0186,7685,2823,246,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
32,32,15-03-2020 03:26:17,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,True,4,нет,Тбилиси,4 гр,0.0096,4391,1613,140,60.0,,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
33,33,15-03-2020 03:26:17,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0282,11637,4276,372,159.0,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
34,34,15-03-2020 03:26:56,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0663,29470,10782,941,,,,360.0,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
35,35,15-03-2020 03:26:56,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0303,12808,4706,410,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
