,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,Vake,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,09-05-2020 14:37:08,Tbilisi,69672fee0d,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,1,нет,Тбилиси,0.5 гр,0.0035,2512,922,83,34.0,,,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
1,1,09-05-2020 14:37:08,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,True,4,нет,Тбилиси,0.5 гр,0.0134,9603,3524,317,130.0,True,True,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
2,2,09-05-2020 14:37:08,Tbilisi,4659482266,1 г.Super Skunk top class buds!,,4,нет,Тбилиси,1 гр,0.0047,3398,1247,112,46.0,,,True,,,,,,,,,1 g.Super Skunk top class buds!
3,3,09-05-2020 14:37:08,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,8,нет,Тбилиси,1 гр,0.0308,22088,8106,730,299.0,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
4,4,09-05-2020 14:37:08,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,4,нет,Тбилиси,1 гр,0.0049,3546,1301,117,48.0,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
5,5,09-05-2020 14:37:08,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0836,66485,24399,2197,900.0,,,,,,,,,,,,Metadon 1gr
6,6,09-05-2020 14:37:08,Tbilisi,54915c4374,MDMA целковый кристальчик!! 1.71,,1,нет,Тбилиси,1.71 гр,0.0175,12632,4636,418,171.0,,,,True,,,,,,,,MDMA tselkovyj kristal'chik!! 1.71
7,7,09-05-2020 14:37:08,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,2 гр,0.0092,6575,2413,217,89.0,,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
8,8,09-05-2020 14:37:08,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,1,нет,Тбилиси,2 гр,0.0092,6575,2413,217,89.0,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
9,9,09-05-2020 14:37:08,Tbilisi,4659482266,2g super Skunk top class buds.,,2,нет,Тбилиси,2 гр,0.0088,6279,2304,208,85.0,,,True,,,,,,,,,2g super Skunk top class buds.
10,10,09-05-2020 14:37:08,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.Авламбари,True,2,нет,Тбилиси,2 гр,0.0072,5171,1898,171,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
11,11,09-05-2020 14:37:08,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,6,нет,Тбилиси,2 гр,0.0091,6575,2413,217,89.0,,True,,,True,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
12,12,09-05-2020 14:37:08,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0087,6279,2304,208,85.0,True,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
13,13,09-05-2020 14:37:08,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,3 гр,0.0123,8791,3226,291,119.0,,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
14,14,09-05-2020 14:37:08,Tbilisi,4659482266,3g superskunk top class buds.,,3,нет,Тбилиси,3 гр,0.0123,8791,3226,291,119.0,,,True,,,,,,,,,3g superskunk top class buds.
15,15,09-05-2020 14:37:08,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0108,7757,2847,256,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
16,16,09-05-2020 14:37:08,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 3g (TOP)(VHQ),True,8,нет,Тбилиси,3 гр,0.0117,8495,3118,281,115.0,,,,,,,,,,,,THE BEST GAGARIN WEED 3g (TOP)(VHQ)
17,17,09-05-2020 14:37:08,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0314,23639,8675,781,320.0,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
18,18,09-05-2020 14:37:08,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0181,12928,4744,427,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
19,19,09-05-2020 14:37:08,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 5g (TOP)(VHQ),True,6,нет,Тбилиси,5 гр,0.0174,12558,4609,415,170.0,,,,,,,,,,,,THE BEST GAGARIN WEED 5g (TOP)(VHQ)
20,20,09-05-2020 14:37:08,Tbilisi,21e6be39fb,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,True,1,нет,Тбилиси,10 гр,0.0337,24378,8946,806,330.0,,,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
21,21,09-05-2020 14:37:08,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0392,29549,10844,977,400.0,,,,,,,,,,,,gashish evro 10g
22,22,09-05-2020 14:37:08,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0762,57399,21064,1897,777.0,,,,,,,,,,,,Gashish Evro 20gr
23,23,09-05-2020 14:37:08,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1857,147745,54220,4883,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
24,24,09-05-2020 14:37:08,Tbilisi,e56bb6ca93,100 гр Марихуана шишки. ИНДИКА. оптовая Цена,,1,нет,Тбилиси,100 гр,0.1684,121816,44704,4026,1649.0,True,,,,,,,,,,,100 gr Marihuana shishki. INDIKA. optovaja Tsena
25,25,09-05-2020 14:37:08,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 гр!!! (Предзаказ скидка 10%)",True,нет,1,Тбилиси,0.7 гр,0.0107,7757,2847,256,105.0,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gr!!! (Predzakaz skidka 10%)"
26,26,09-05-2020 14:37:08,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,6,Тбилиси,1 гр,0.0163,11820,4338,391,160.0,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
27,27,09-05-2020 14:37:08,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм (предзаказ скидка 10%)",True,нет,1,Тбилиси,1 гр,0.0138,9973,3660,330,135.0,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm (predzakaz skidka 10%)"
28,28,09-05-2020 14:37:08,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,9,Тбилиси,1 гр,0.0332,26401,9686,872,,,,,,,330.0,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
