,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,0,01-06-2020 10:46:45,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,6,нет,Тбилиси,0.5 гр,0.0031,2052,784,70,29.0,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
1,1,01-06-2020 10:46:45,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,1,нет,Тбилиси,1 гр,0.0319,21155,8088,721,299.0,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
2,2,01-06-2020 10:46:45,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0864,63677,24345,2169,900.0,,,,,,,,,,Metadon 1gr
3,3,01-06-2020 10:46:45,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0255,16910,6465,576,239.0,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
4,4,01-06-2020 10:46:45,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,2,нет,Тбилиси,2 гр,0.0093,6226,2380,212,88.0,,,,,,,,,,2gr HYBRID buds
5,5,01-06-2020 10:46:45,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,3 гр,0.0127,8419,3219,287,119.0,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
6,6,01-06-2020 10:46:45,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,True,3,нет,Тбилиси,3 гр,0.0092,6155,2353,210,87.0,,,,,,,,,,3 gr georgian weed. Package on magnet
7,7,01-06-2020 10:46:45,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0112,7429,2840,253,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
8,8,01-06-2020 10:46:45,Tbilisi,8528108b62,4g.марихуана шишки white widow,True,3,нет,Тбилиси,4 гр,0.0187,13797,5275,470,195.0,,,,,,,,,,4g.marihuana shishki white widow
9,9,01-06-2020 10:46:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,6,нет,Тбилиси,4 гр,0.0113,7570,2894,258,107.0,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
10,10,01-06-2020 10:46:45,Tbilisi,97d5fcd29b,Suboxene 4mg,True,4,нет,Тбилиси,4 гр,0.0056,3891,1488,133,55.0,,,,,,,,,,Suboxene 4mg
11,11,01-06-2020 10:46:45,Tbilisi,be97026d1d,!! Lemon Haze 5g!! !!! BTC SALE 5% !!!,,2,нет,Тбилиси,5 гр,0.0206,14080,5383,480,199.0,,True,,,,,,,,!! Lemon Haze 5g!! !!! BTC SALE 5% !!!
12,12,01-06-2020 10:46:45,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0314,21226,8115,723,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
13,13,01-06-2020 10:46:45,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,10,нет,Тбилиси,5 гр,0.0147,9835,3760,335,139.0,,,,,,,,,,5 gr georgian weed. Package on magnet
14,14,01-06-2020 10:46:45,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.023,16980,6492,578,240.0,,,,,,,,,,5g. marihuana shishki Critical
15,15,01-06-2020 10:46:45,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0187,12382,4734,422,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
16,16,01-06-2020 10:46:45,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1214,81365,31108,2772,1150.0,,,,,,,,,,Cocaine Pure VHQ 5g.
17,17,01-06-2020 10:46:45,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1198,82780,31649,2820,1170.0,,,,,,,,,,VHQ BEST Cocaine 5g.
18,18,01-06-2020 10:46:45,Tbilisi,be97026d1d,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!,,1,нет,Тбилиси,7.5 гр,0.0292,19740,7547,672,279.0,,True,,,,,,,,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!
19,19,01-06-2020 10:46:45,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,True,14,нет,Тбилиси,10 гр,0.0106,7075,2705,241,100.0,,,True,,,,,,,10 gr marihuana list'ja top gibrid
20,20,01-06-2020 10:46:45,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,True,3,нет,Тбилиси,20 гр,0.0035,2547,974,87,36.0,,,,,,,,,,GABAGAMA 20 SHTUK
21,21,01-06-2020 10:46:45,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0077,5660,2164,193,80.0,,,,,,,,,,GABAGAMA 50 SHTUK
22,22,01-06-2020 10:46:45,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1919,141504,54100,4820,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
23,23,01-06-2020 10:46:45,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0178,13089,5004,446,185.0,,,,,,,,,,GABAGAMA 150 shtuk
24,24,01-06-2020 10:46:45,Tbilisi,d30ed85c42,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3шт (0.27мг) BTC sale!💉⭕⚜,True,нет,5,Тбилиси,0.3 гр,0.0076,5306,2029,181,75.0,,,,,,,,,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3sht (0.27mg) BTC sale!💉⭕⚜
25,25,01-06-2020 10:46:45,Tbilisi,54915c4374,Сирец (геройн) очень сильный 0.33 гр,True,нет,50,Тбилиси,0.33 гр,0.0158,10613,4058,362,150.0,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 0.33 gr
26,26,01-06-2020 10:46:45,Tbilisi,54915c4374,Геройн (сирец) 1 гр,True,нет,20,Тбилиси,1 гр,0.038,25471,9738,868,360.0,,,,,,,,,,Gerojn (sirets) 1 gr
27,27,01-06-2020 10:46:45,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0224,14858,5681,506,210.0,,,,,,,,,,✨✨2gram. MDMA✨✨
28,28,01-06-2020 10:46:45,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0393,26107,9981,889,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
29,29,01-06-2020 10:46:45,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0617,40965,15662,1395,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
30,30,01-06-2020 10:46:45,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0422,28301,10820,964,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
31,31,01-06-2020 10:46:45,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,1,2,Тбилиси,4 гр,0.0148,9905,3787,337,140.0,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
32,32,01-06-2020 10:46:45,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0739,49526,18935,1687,700.0,,,,,,,,,,"""Kief"" Weed trichomes 5G"
33,33,01-06-2020 10:46:45,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0581,38914,14878,1326,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
34,34,01-06-2020 10:47:24,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0248,16627,6357,566,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
35,35,01-06-2020 10:47:24,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0253,16980,6492,578,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
36,36,01-06-2020 10:47:24,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0243,16273,6222,554,230.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
37,37,01-06-2020 10:47:24,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0253,16980,6492,578,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
38,38,01-06-2020 10:47:24,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,8,Тбилиси,5 гр,0.0253,16980,6492,578,240.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
39,39,01-06-2020 10:47:24,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0243,16273,6222,554,230.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
