,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Nadzaladevi,Saburtalo,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
22,22,28-06-2020 17:49:12,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,3,нет,Тбилиси,10 гр,0.0452,31108,12105,1073,,True,450.0,,,,,,,,,Gashish Evro 10gr
23,23,28-06-2020 17:49:12,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,3,нет,Тбилиси,10 гр,0.008,5876,2287,203,,True,85.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
24,24,28-06-2020 17:49:12,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",,3,нет,Тбилиси,10 гр,0.009000000000000001,6567,2556,226,,True,95.0,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
25,25,28-06-2020 17:49:12,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0471,34564,13450,1192,,True,500.0,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
26,26,28-06-2020 17:49:12,Tbilisi,ae784bef73,Silver haze leaves листья 15гр,,8,нет,Тбилиси,15 гр,0.0093,6222,2421,215,,True,90.0,,,,,,,,,Silver haze leaves list'ja 15gr
27,27,28-06-2020 17:49:12,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2093,138257,53800,4768,,True,2000.0,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
28,28,28-06-2020 17:49:12,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",,нет,5,Тбилиси,1 гр,0.0047,3111,1211,107,,True,45.0,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
29,29,28-06-2020 17:49:12,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,9,Тбилиси,2 гр,0.0093,6222,2421,215,,True,90.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
30,30,28-06-2020 17:49:12,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0518,34219,13316,1180,,True,495.0,,,,,,,,,❄❄2g HQ COCAINE❄❄
31,31,28-06-2020 17:49:12,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,9,Тбилиси,2.2 гр,0.0087,5816,2261,201,75.0,True,,,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
32,32,28-06-2020 17:49:12,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,6,Тбилиси,3 гр,0.0124,8295,3228,286,,True,120.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
33,33,28-06-2020 17:49:12,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0775,51155,19906,1764,,True,740.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
34,34,28-06-2020 17:49:12,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,6,Тбилиси,4 гр,0.0415,27651,10760,954,,True,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
35,35,28-06-2020 17:50:04,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),,нет,9,Тбилиси,4 гр,0.0125,8295,3228,286,,True,120.0,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
36,36,28-06-2020 17:50:04,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0259,17282,6725,596,,True,250.0,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
37,37,28-06-2020 17:50:04,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,4,Тбилиси,5 гр,0.0571,38021,14795,1311,,True,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
38,38,28-06-2020 17:50:04,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.027999999999999997,18665,7263,644,,True,270.0,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
39,39,28-06-2020 17:50:04,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.028999999999999998,19356,7532,668,,True,280.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
