,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
0,0,16-06-2020 08:51:03,Tbilisi,014c8a1720,Heroin “sirec” 0.25g 4 person,True,True,9,нет,Тбилиси,0.25 гр,0.0118,8447,3235,286,120.0,,,,,,,,Heroin “sirec” 0.25g 4 person
1,1,16-06-2020 08:51:03,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,True,,3,нет,Тбилиси,0.25 гр,0.0123,8447,3235,286,120.0,,,,,,,,NEW Iranian Sirec 0.25g.
2,2,16-06-2020 08:51:03,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,True,4,нет,Тбилиси,0.5 гр,0.003,2041,782,69,29.0,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
3,3,16-06-2020 08:51:03,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,,3,нет,Тбилиси,1 гр,0.0241,16543,6336,561,235.0,,,,,,,,Cocaine Pure VHQ 1g
4,4,16-06-2020 08:51:04,Tbilisi,54915c4374,Геройн (сирец) 1 гр,,,1,нет,Тбилиси,1 гр,0.0323,22174,8492,752,315.0,True,,,,,,,Gerojn (sirets) 1 gr
5,5,16-06-2020 08:51:04,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,True,1,нет,Тбилиси,1 гр,0.0113,7673,2939,260,109.0,,,,,,,,✨ 1g. MDMA ✨
6,6,16-06-2020 08:51:04,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,,3,нет,Тбилиси,2 гр,0.0481,33086,12671,1122,470.0,,,,,,,,Cocaine Pure VHQ 2 g
7,7,16-06-2020 08:51:04,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,,2,нет,Тбилиси,2 гр,0.0087,5984,2292,203,85.0,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
8,8,16-06-2020 08:51:04,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,True,,1,нет,Тбилиси,3 гр,0.0071,4857,1860,165,69.0,,,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
9,9,16-06-2020 08:51:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,,4,нет,Тбилиси,4 гр,0.011000000000000001,7532,2885,255,107.0,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
10,10,16-06-2020 08:51:04,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,,2,нет,Тбилиси,5 гр,0.0181,12319,4718,418,175.0,,,,,,,,5x Extasy Duracell 223mg MDMA.
11,11,16-06-2020 08:51:04,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,,3,нет,Тбилиси,5 гр,0.1162,82362,31543,2792,1170.0,,,,,,,,VHQ BEST Cocaine 5g.
12,12,16-06-2020 08:51:04,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),True,,13,нет,Тбилиси,5 гр,0.0101,6969,2669,236,99.0,,,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
13,13,16-06-2020 08:51:04,Tbilisi,7bd1a5deba,10 - GRAMM BEASTWEED,True,,1,нет,Тбилиси,10 гр,0.0186,14079,5392,477,200.0,,,,,,,,10 - GRAMM BEASTWEED
14,14,16-06-2020 08:51:04,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,True,,6,нет,Тбилиси,10 гр,0.0014,986,377,33,14.0,,,,,,,,GABAGAMA 10 shtuk
15,15,16-06-2020 08:51:04,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),True,,3,нет,Тбилиси,10 гр,0.0204,14009,5365,475,199.0,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
16,16,16-06-2020 08:51:04,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,,1,нет,Тбилиси,10 гр,0.0079,5984,2292,203,85.0,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
17,17,16-06-2020 08:51:04,Tbilisi,e56bb6ca93,"Отходы, листья и шишки. 🍃 Leafs and Buds (Good for making bubble hash)",True,,3,нет,Тбилиси,10 гр,0.0097,6617,2534,224,94.0,,,,,,,,"Othody, list'ja i shishki. 🍃 Leafs and Buds (Good for making bubble hash)"
18,18,16-06-2020 08:51:04,Tbilisi,83f3d55917,Химка !! 10 г %%5%% скидка новинка !!!!,,,2,нет,Тбилиси,10 гр,0.0064,4576,1752,155,65.0,,True,,,,,,Himka !! 10 g %%5%% skidka novinka !!!!
19,19,16-06-2020 08:51:04,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,,8,нет,Тбилиси,10 гр,0.0088,6688,2561,227,95.0,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
20,20,16-06-2020 08:51:04,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,,1,нет,Тбилиси,12 гр,0.0466,35198,13480,1193,500.0,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
21,21,16-06-2020 08:51:04,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,,1,нет,Тбилиси,60 гр,0.2067,140790,53920,4773,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
22,22,16-06-2020 08:51:04,Tbilisi,54915c4374,Сирец (геройн) очень сильный 1 гр (предзаказ на 10% дешевле!!!),True,,нет,20,Тбилиси,1 гр,0.0359,24638,9436,835,350.0,,,,,,,,Sirets (gerojn) ochen' sil'nyj 1 gr (predzakaz na 10% deshevle!!!)
23,23,16-06-2020 08:51:04,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,,нет,7,Тбилиси,2 гр,0.0382,25976,9948,881,369.0,,,,,,,,❄❄2g HQ COCAINE❄❄
