,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Old Tbilisi (Старый город),Дигоми,Авлобари,Vake,Varketili,Батуми,Центр,desc_en
0,0,25-07-2020 16:06:55,Tbilisi,be97026d1d,!!Hash!! Гашиш 0.5г !!! BTC SALE 5%!!!!,True,3,нет,Тбилиси,0.5 гр,0.0069,4820,1891,161,58.0,,,,,,,,,,!!Hash!! Gashish 0.5g !!! BTC SALE 5%!!!!
1,1,25-07-2020 16:06:55,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,20,нет,Тбилиси,0.5 гр,0.0035,2363,925,79,,True,33.0,,,,,,,,0.5 gr HYBRID buds
2,2,25-07-2020 16:06:55,Tbilisi,21de5577be,0.5 gr. Lemon Haze (Sativa),True,14,нет,Тбилиси,0.5 гр,0.0033,2291,897,76,,,32.0,,,,,,,,0.5 gr. Lemon Haze (Sativa)
3,3,25-07-2020 16:06:55,Tbilisi,64284550d9,0.5-G ---> Pineapple (BTC - Sale),True,9,нет,Тбилиси,0.5 гр,0.0029,2005,785,67,,,28.0,,,,,,,,0.5-G ---> Pineapple (BTC - Sale)
4,4,25-07-2020 16:06:55,Tbilisi,ebadfc162f,Gorilla Glue 0.5G Super strong weed LIMITED,,1,нет,Тбилиси,0.5 гр,0.0036,2506,981,84,,True,35.0,,,,,,,,Gorilla Glue 0.5G Super strong weed LIMITED
5,5,25-07-2020 16:06:55,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,,19,нет,Тбилиси,0.5 гр,0.0034,2363,925,79,,True,33.0,,,,,,,,VHQ Hybrid MJ Buds 0.5G
6,6,25-07-2020 16:06:55,Tbilisi,83f3d55917,(!!!NEW!!! 27 THC #VHQ# 1 G Phantom OG ),,2,нет,Тбилиси,1 гр,0.0057,3938,1541,131,,,55.0,True,,,,,,,(!!!NEW!!! 27 THC #VHQ# 1 G Phantom OG )
7,7,25-07-2020 16:06:55,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,5,нет,Тбилиси,1 гр,0.0062,4296,1681,143,,True,60.0,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,8,25-07-2020 16:06:55,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,3,нет,Тбилиси,1 гр,0.0062,4296,1681,143,,True,60.0,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
9,9,25-07-2020 16:06:55,Tbilisi,21de5577be,1 gr. Lemon Haze (Sativa),True,2,нет,Тбилиси,1 гр,0.0055,3795,1485,127,,,53.0,,,,,,,,1 gr. Lemon Haze (Sativa)
10,10,25-07-2020 16:06:55,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,1 гр,0.0061,4224,1653,141,,True,59.0,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
11,11,25-07-2020 16:06:55,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,4,нет,Тбилиси,1 гр,0.0061,4224,1653,141,,True,59.0,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
12,12,25-07-2020 16:06:55,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),True,1,нет,Тбилиси,1 гр,0.0052,3580,1401,119,,,50.0,,,,,,,,1G ---> Big Devil (BTC - Sale)
13,13,25-07-2020 16:06:55,Tbilisi,0dec0e1c48,1gr HYBRID o.g,,11,нет,Тбилиси,1 гр,0.0051,3508,1373,117,,True,49.0,,,,,,,,1gr HYBRID o.g
14,14,25-07-2020 16:06:55,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,9,нет,Тбилиси,1 гр,0.0051,3508,1373,117,,True,49.0,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
15,15,25-07-2020 16:06:55,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 1 гр. Спокойно, Надёжно, Качественно.",,3,нет,Тбилиси,1 гр,0.0052,3938,1541,131,,,55.0,,True,,,,,,"Amnesia Haze (photoperiod, regular) 1 gr. Spokojno, Nadezhno, Kachestvenno."
16,16,25-07-2020 16:06:55,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,,2,нет,Тбилиси,1 гр,0.0052,3938,1541,131,,True,55.0,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
17,17,25-07-2020 16:06:55,Tbilisi,f374062dcd,Сирец Иран 1гр,,4,нет,Тбилиси,1 гр,0.0245,18615,7285,621,,True,260.0,,,,,,,,Sirets Iran 1gr
18,18,25-07-2020 16:06:55,Tbilisi,f25c0d6c5c,Шишка добрая 1 g,,23,нет,Тбилиси,1 гр,0.0051,3600,1657,120,,True,,,,,,,,,Shishka dobraja 1 g
19,19,25-07-2020 16:06:55,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,3,нет,Тбилиси,2 гр,0.0103,7088,2774,237,,,99.0,,True,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
20,20,25-07-2020 16:06:55,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,1,нет,Тбилиси,2 гр,0.0113,7804,3054,260,,,109.0,,True,,,,,,2 G Hybrid Marijuana Buds
21,21,25-07-2020 16:06:55,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,1,нет,Тбилиси,2 гр,0.0114,7876,3082,263,,True,110.0,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
22,22,25-07-2020 16:06:55,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0125,8592,3362,287,,True,120.0,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
23,23,25-07-2020 16:06:55,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,2,нет,Тбилиси,2 гр,0.0125,8592,3362,287,,True,120.0,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
24,24,25-07-2020 16:06:55,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,2 гр,0.0114,7876,3082,263,,True,110.0,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
