,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,€,desc_en
0,0,17-08-2020 07:00:12,Tbilisi,f374062dcd,Очень мощный Сирец из Ирана 0.3гр,True,10,нет,Тбилиси,0.3 гр,0.0069,6223,2346,209,85.0,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
1,1,17-08-2020 07:00:12,Tbilisi,8ddca45a78,"0,5G ☠️DURBAN POISON (100% sativa)",True,5,нет,Тбилиси,0.5 гр,0.0024,2123,800,71,29.0,,,,,,,,,,"0,5G ☠️DURBAN POISON (100% sativa)"
2,2,17-08-2020 07:00:12,Tbilisi,8ddca45a78,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,4,нет,Тбилиси,0.5 гр,0.0024,2123,800,71,29.0,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
3,3,17-08-2020 07:00:12,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,0.5 гр,0.0025,2196,828,74,30.0,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
4,4,17-08-2020 07:00:12,Tbilisi,69672fee0d,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,5,нет,Тбилиси,0.5 гр,0.0028,2416,911,81,33.0,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
5,5,17-08-2020 07:00:12,Tbilisi,4a91350669,0.5 шишки Girl Scout Cookies тгк thc 28%,True,9,нет,Тбилиси,0.5 гр,0.0028,2416,911,81,33.0,,,,,,,,,,0.5 shishki Girl Scout Cookies tgk thc 28%
6,6,17-08-2020 07:00:12,Tbilisi,2f51af8159,VERY STRONG HYBRID SHIVA SKUNK WEED THC 26%++ 0.5G,,14,нет,Тбилиси,0.5 гр,0.0024,2123,800,71,29.0,True,,,,,,,,,VERY STRONG HYBRID SHIVA SKUNK WEED THC 26%++ 0.5G
7,7,17-08-2020 07:00:12,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,1 G Hybrid Marijuana Buds
8,8,17-08-2020 07:00:12,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,12,нет,Тбилиси,1 гр,0.0046,3954,1490,133,54.0,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
9,9,17-08-2020 07:00:12,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,1 гр,0.0051,4393,1656,147,60.0,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
