,time_stamp,region,sell_code,sell_name,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Saburtalo,$,Vake,Тбилиси,Gldani,Nadzaladevi,Авлобари,Батуми,Центр,Кутаиси,desc_en
47,14-06-2020 07:05:19,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2434,165893,64560,5707,,,2400,,True,,,,,,,100 gr marijuana buds
48,14-06-2020 07:05:19,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2028,138244,53800,4756,,,2000,,True,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
49,14-06-2020 07:05:19,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2536,172805,67250,5945,,,2500,,True,,,,,,,Marihuana [Shishki] [Gali] 100G
50,14-06-2020 07:05:19,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.5984,407819,158710,14031,,,5900,,True,,,,,,,180 gr marihuana persoalno
51,14-06-2020 07:05:19,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.435,293768,114325,10107,,,4250,,True,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
52,14-06-2020 07:05:19,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4665,317961,123740,10939,,,4600,,True,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
53,14-06-2020 07:05:19,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7607,518414,201750,17836,,,7500,,True,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
54,14-06-2020 07:05:19,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8621,587536,228650,20214,,,8500,,True,,,,,,,10000sht marki 25i-nbome. predoplata
55,14-06-2020 07:05:19,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0184,13824,5380,476,,,200,,True,,,,,,,KURYER..500RUB.+BONUS
56,14-06-2020 07:05:19,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0203,13824,5380,476,,,200,,True,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
57,14-06-2020 07:05:19,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5351,1036829,403500,35672,,,15000,,True,,,,,,,Vakansija optovogo kur'era na mef
58,14-06-2020 07:06:36,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,1,нет,Батуми,10 гр,0.0419,29031,11298,999,,,420,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
59,14-06-2020 07:06:36,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1663,112990,51992,3855,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
60,14-06-2020 07:06:36,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2633,178900,82321,6103,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
61,14-06-2020 07:06:36,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,6912,2690,238,,,100,,,,,,True,,,kur'er v Batumi
62,14-06-2020 07:06:36,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0231,17280,6725,595,,,250,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
63,14-06-2020 07:06:36,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0231,17280,6725,595,,,250,,,,,,True,,,Ischu kur'era v Gruzii!
64,14-06-2020 07:06:36,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0203,13824,5380,476,,,200,,,,,,True,,,Kur'er Batumi na marihuanu
65,14-06-2020 07:06:36,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5397,1036829,403500,35672,,,15000,,,,,,True,,,Vakansija optovogo kur'era na mef
66,14-06-2020 07:06:36,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0509,34561,13450,1189,,,500,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
67,14-06-2020 07:07:36,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,1 гр,0.0025,1728,673,59,,,25,,,,,,,,True,Rabota na marki (kur'er)
