,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Vake,Varketili,Didube,Дигоми,Gldani,Saburtalo,Авлобари,Батуми,€,Центр,Кутаиси,desc_en
10,20-04-2020 17:09:32,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.0109,5899,2165,193,79,,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
11,20-04-2020 17:09:32,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA. Варкетили,True,1,нет,Тбилиси,2 гр,0.0097,5227,1918,171,70,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA. Varketili
12,20-04-2020 17:09:32,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.Авламбари,True,2,нет,Тбилиси,2 гр,0.0097,5227,1918,171,70,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
13,20-04-2020 17:09:32,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0645,35093,12878,1149,470,,,,,,,,,,,,,Cocaine Pure VHQ 2 g
14,20-04-2020 17:09:32,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0652,35840,13152,1174,480,,,,,,,,,,,,,VHQ BEST Cocaine 2g.
15,20-04-2020 17:09:32,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.0579,32853,12056,1076,440,,,,,,,,,,,,,Kokain HQ 2g.
16,20-04-2020 17:09:32,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0117,6347,2329,208,85,,,,True,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
17,20-04-2020 17:09:32,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds. Indica,,8,нет,Тбилиси,3 гр,0.0165,8885,3261,291,119,,,,,True,True,,,,,,,3g superskunk top class buds. Indica
18,20-04-2020 17:09:32,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA Варкетили,True,1,нет,Тбилиси,3 гр,0.0146,7840,2877,257,105,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA Varketili
19,20-04-2020 17:09:32,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA. Авламбари,True,2,нет,Тбилиси,3 гр,0.0146,7840,2877,257,105,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
20,20-04-2020 17:09:32,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 3g.,True,1,нет,Тбилиси,3 гр,0.0967,52639,19317,1724,705,,,,,,,,,,,,,Cocaine Pure VHQ 3g.
21,20-04-2020 17:09:32,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 3g.,True,1,нет,Тбилиси,3 гр,0.0918,51519,18906,1687,690,,,,,,,,,,,,,VHQ BEST Cocaine 3g.
22,20-04-2020 17:09:32,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (300 арагвели),True,3,нет,Тбилиси,4 гр,0.0075,4107,1507,134,55,,,,,,,,,,,,,N booom 4 shtuki (300 aragveli)
23,20-04-2020 17:09:32,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (Авлабври),True,1,нет,Тбилиси,4 гр,0.0075,4107,1507,134,55,,,,,,,,,,,,,N booom 4 shtuki (Avlabvri)
24,20-04-2020 17:09:32,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (вазисубани),True,1,нет,Тбилиси,4 гр,0.0075,4107,1507,134,55,,,,,,,,,,,,,N booom 4 shtuki (vazisubani)
25,20-04-2020 17:09:32,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (глдани),,3,нет,Тбилиси,4 гр,0.0075,4107,1507,134,55,,,,,,True,,,,,,,N booom 4 shtuki (gldani)
26,20-04-2020 17:09:32,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0276,14858,5453,487,199,,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
27,20-04-2020 17:09:32,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0421,23893,8768,782,320,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
28,20-04-2020 17:09:32,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0407,22400,8220,734,300,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
29,20-04-2020 17:09:32,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,,3,нет,Тбилиси,5 гр,0.0232,12619,4631,413,169,,,True,,,,,,,,,,5gr Stardawg Auto WEED BUDS
30,20-04-2020 17:09:32,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),True,4,нет,Тбилиси,5 гр,0.0184,10005,3672,328,134,,,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
