,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Gldani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,13-06-2020 11:22:28,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,5,нет,Тбилиси,0.5 гр,0.0033,2212,861,76,32,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
1,13-06-2020 11:22:28,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0087,5875,2287,202,85,True,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
2,13-06-2020 11:22:28,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,True,2,нет,Тбилиси,3 гр,0.0089,6014,2340,207,87,,,,,,,,,3 gr georgian weed. Package on magnet
3,13-06-2020 11:22:28,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,True,14,нет,Тбилиси,3 гр,0.007,4769,1856,164,69,,True,,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
4,13-06-2020 11:22:28,Tbilisi,3TGJ9,Elegant,4g.марихуана шишки white widow,True,1,нет,Тбилиси,4 гр,0.018,13479,5246,464,195,,,,,,,,,4g.marihuana shishki white widow
5,13-06-2020 11:22:28,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,1,нет,Тбилиси,5 гр,0.0141,9608,3739,331,139,,,,,,,,,5 gr georgian weed. Package on magnet
6,13-06-2020 11:22:28,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,1,нет,Тбилиси,5 гр,0.0222,16589,6456,571,240,,,,,,,,,5g. marihuana shishki Critical
7,13-06-2020 11:22:28,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,6,нет,Тбилиси,5 гр,0.018,12096,4708,416,175,,,,,,,,,5x Extasy Duracell 223mg MDMA.
8,13-06-2020 11:22:28,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),True,11,нет,Тбилиси,5 гр,0.0101,6843,2663,235,99,,True,,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
9,13-06-2020 11:22:28,Tbilisi,2LY77,SveetWeed,10 - GRAMM BEASTWEED,True,2,нет,Тбилиси,10 гр,0.0185,13824,5380,476,200,,,,,,,,,10 - GRAMM BEASTWEED
10,13-06-2020 11:22:28,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,True,1,нет,Тбилиси,10 гр,0.0264,17903,6967,616,259,,,,,,,,,10 gr georgian weed. Package on magnet
11,13-06-2020 11:22:28,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),True,8,нет,Тбилиси,10 гр,0.0203,13755,5353,473,199,,True,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
12,13-06-2020 11:22:28,Tbilisi,8B31,GEOWEEDSHOP,"Отходы, листья и шишки. 🍃 Leafs and Buds (Good for making bubble hash)",True,1,нет,Тбилиси,10 гр,0.0097,6497,2529,224,94,,,,,,,,,"Othody, list'ja i shishki. 🍃 Leafs and Buds (Good for making bubble hash)"
13,13-06-2020 11:22:28,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0463,34561,13450,1189,500,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
14,13-06-2020 11:22:28,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2054,138244,53800,4756,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
15,13-06-2020 11:22:28,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,9,Тбилиси,2 гр,0.0379,25506,9926,878,369,,,,,,,,,❄❄2g HQ COCAINE❄❄
16,13-06-2020 11:22:28,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,6,Тбилиси,3 гр,0.0595,40022,15575,1377,579,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
17,13-06-2020 11:22:28,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0407,27649,10760,951,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
18,13-06-2020 11:22:28,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,1,Тбилиси,4 гр,0.0142,9677,3766,333,140,,,True,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
19,13-06-2020 11:22:28,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.056,38017,14795,1308,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
20,13-06-2020 11:22:28,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,7,Тбилиси,5 гр,0.0239,16244,6322,559,235,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
21,13-06-2020 11:22:28,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0244,16589,6456,571,240,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
22,13-06-2020 11:22:28,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,7,Тбилиси,5 гр,0.0234,15898,6187,547,230,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
23,13-06-2020 11:22:28,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0244,16589,6456,571,240,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
24,13-06-2020 11:22:28,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,8,Тбилиси,5 гр,0.0244,16589,6456,571,240,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
25,13-06-2020 11:22:28,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0234,15898,6187,547,230,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
26,13-06-2020 11:22:28,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0203,15138,5891,521,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
27,13-06-2020 11:22:28,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - INDICA - 5 G.,True,нет,2,Тбилиси,5 гр,0.0257,17280,6725,595,250,,,,,,,,,MARIXYANA - INDICA - 5 G.
28,13-06-2020 11:22:28,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0239,16244,6322,559,235,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
29,13-06-2020 11:22:28,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2543,190000,87429,6482,,,,,,,,,,reagent 25i nbome. 5gr
30,13-06-2020 11:22:28,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2776,207366,80700,7134,3000,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
31,13-06-2020 11:22:28,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0986,66288,25797,2281,959,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
32,13-06-2020 11:22:28,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,9,Тбилиси,5 гр,0.0195,13133,5111,452,190,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
33,13-06-2020 11:22:28,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,10,Тбилиси,5 гр,0.0503,33801,13154,1163,489,,,,,,,,,💘✨5g. MDMA ✨💘
34,13-06-2020 11:22:56,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0915,62210,24210,2140,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
35,13-06-2020 11:22:56,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0407,27649,10760,951,400,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
36,13-06-2020 11:22:56,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0712,48385,18830,1665,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
37,13-06-2020 11:22:56,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0427,29031,11298,999,420,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
38,13-06-2020 11:22:56,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0813,55298,21520,1902,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
39,13-06-2020 11:22:56,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2262,153796,59853,5291,2225,,,,,,,,,Amfetamin [White] [Import] 10G
40,13-06-2020 11:22:56,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1601,107761,41937,3707,1559,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
41,13-06-2020 11:22:56,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,True,нет,5,Тбилиси,10 гр,0.081,54537,21224,1876,789,,,,,,,,,💘✨10gram MDMA ✨💘
42,13-06-2020 11:22:56,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,8,Тбилиси,10 гр,0.0379,25506,9926,878,369,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
